"year","K_ME_gross_real","K_NRC_gross_real","K_ME_NRC_component_gross_real","s_ME_over_ME_NRC_gross_real","IG_ME_real","IG_NRC_real","IG_ME_NRC_component_real","phi_ME_over_ME_NRC_real","K_ME_gross_cc","K_NRC_gross_cc","K_ME_NRC_component_gross_cc","s_ME_over_ME_NRC_gross_cc","IG_ME_cc","IG_NRC_cc","IG_ME_NRC_component_cc","phi_ME_over_ME_NRC_cc","pK_ME","pK_NRC","pK_relative_ME_NRC","K_IP_gross_real","K_IP_gross_cc","sector_target","composition_basis","composition_tier","direct_sector_asset_split","capacity_register","profitability_register","notes"
1925,76771.6297521049,2498860.67481364,2575632.30456574,0.0298069059065668,10927.8696777049,128685.116513811,139612.986191516,0.0782725874992349,4819.36,87810.0613157895,92629.4213157895,0.0520283936954543,686,4522,5208,0.131720430107527,0.0627752727871179,0.0351400388988626,1.78643151101207,434817.361280996,24588.84,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1926,81295.4741564713,2583807.41092319,2665102.88507966,0.030503690724886,9641.9530545067,150706.227552007,160348.180606514,0.060131353022131,5235.91944140113,90592.3967515324,95828.3161929335,0.0546385416066325,621,5284,5905,0.105165114309907,0.0644060385369478,0.03506159025961,1.83694002639526,377318.422357249,21334.547693475,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1927,85724.0027153001,2667796.68267061,2753520.68538591,0.0311325072552654,9848.22683592689,151984.203613819,161832.430449746,0.0608544703219116,5553.47827010262,92610.2513491099,98163.7296192125,0.0565736274655125,638,5276,5914,0.107879607710517,0.064783235665586,0.0347141339333259,1.8661919029872,331688.725087569,18666.8099592461,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1928,89983.5238223673,2746030.81182169,2836014.33564406,0.0317288677604417,9974.45462142049,148439.305010835,158413.759632255,0.062964572298362,5827.82303349342,95401.1533234459,101228.976356939,0.0575707000428827,646,5157,5803,0.111321730139583,0.0647654457831401,0.0347414722780032,1.86421131680556,299214.732376098,16955.9789547382,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1929,94680.5605278803,2838150.43310411,2932830.99363199,0.0322829923488461,10695.9382936709,164383.590014569,175079.52830824,0.0610918843397838,6125.59142418228,94752.5819061068,100878.173330289,0.0607226640011239,692,5488,6180,0.111974110032362,0.0646974562680001,0.0333853275714054,1.93790089762107,282207.352705819,15093.463055903,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1930,98044.9194234274,2910003.82301502,3008048.74243845,0.0325941923879691,9676.3962640724,146541.559203121,156217.955467193,0.0619416393917951,6231.41341051602,90134.8902283541,96366.3036388701,0.0646638210164007,615,4539,5154,0.119324796274738,0.0635567191768944,0.0309741483895944,2.05192789733796,260627.919974695,12611.9793510948,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1931,97648.9792933972,2932596.82486293,3030245.80415633,0.0322247717196607,6140.38783153159,99172.0498219954,105312.437653527,0.0583063878146395,5947.62403576407,79959.4424907272,85907.0665264913,0.0692332339613761,374,2704,3078,0.121507472384665,0.0609082048660619,0.0272657467991579,2.23387260634075,233813.254155229,10096.7450101953,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1932,94911.409250254,2911430.67491821,3006342.08416846,0.031570395714467,3772.36190975,56007.4507095617,59779.8126193117,0.0631042779236037,5988.00325683955,74751.4349875173,80739.4382443569,0.0741645394994815,238,1438,1676,0.14200477326969,0.0630904472301208,0.0256751553906113,2.45725668531655,203699.464571891,8283.12131763086,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1933,91950.5949705566,2877166.75254823,2969117.34751879,0.0309689999445112,3366.61300365283,42352.6743383939,45719.2873420467,0.0736366028294726,5817.5610643332,76561.0904334882,82378.6514978214,0.0706197656620666,213,1127,1340,0.158955223880597,0.0632683351988754,0.0266098898736683,2.37762484171279,181695.960110456,8330.14484765157,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
1934,90581.4542410981,2848440.42618221,2939021.88042331,0.0308202721607679,4760.89893524528,46988.5881747226,51749.4871099679,0.0919989588520626,5441.47150891355,77532.7679891194,82974.239498033,0.0655802516760946,286,1279,1565,0.182747603833866,0.0600726887694929,0.0272193749521514,2.20698266859889,168191.766968008,8087.34701955723,"NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock","real_investment_flow_default_current_cost_diagnostics","Tier-B ME-NRC component proxy; not a direct NFCorp-by-asset-type split. Default denominator excludes IP; IP columns are auxiliary. Gross real GPIM stock is a constant-price purchasing-power stock-flow-consistency measure, not literal physical capital."
