"dataset","table_name","series_code","line_number","line_description","metric_name","time_period","cl_unit","unit_mult","data_value","note_ref","retrieved_at"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1929","Level","6",54806,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1930","Level","6",48178,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1931","Level","6",37846,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1932","Level","6",27861,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1933","Level","6",26876,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1934","Level","6",33500,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1935","Level","6",37147,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1936","Level","6",42724,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1937","Level","6",48339,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1938","Level","6",43000,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1939","Level","6",47323,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1940","Level","6",54105,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1941","Level","6",69955,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1942","Level","6",87478,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1943","Level","6",103482,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1944","Level","6",107266,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1945","Level","6",100821,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1946","Level","6",105807,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1947","Level","6",127503,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1948","Level","6",146063,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1949","Level","6",143022,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1950","Level","6",162114,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1951","Level","6",185791,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1952","Level","6",195027,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1953","Level","6",209184,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1954","Level","6",206865,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1955","Level","6",233051,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1956","Level","6",250053,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1957","Level","6",261661,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1958","Level","6",256831,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1959","Level","6",287446,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1960","Level","6",299879,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1961","Level","6",308729,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1962","Level","6",335950,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1963","Level","6",357362,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1964","Level","6",385982,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1965","Level","6",423777,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1966","Level","6",465090,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1967","Level","6",491172,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1968","Level","6",542111,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1969","Level","6",590653,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1970","Level","6",612127,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1971","Level","6",660922,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1972","Level","6",732902,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1973","Level","6",820208,"T11400,T11400.1","2026-06-11T11:27:46-0400"
"NIPA","T11400","A451RC",1,"Gross value added of corporate business","Current Dollars","1974","Level","6",889579,"T11400,T11400.1","2026-06-11T11:27:46-0400"
