"dataset","table_name","series_code","line_number","line_description","metric_name","time_period","cl_unit","unit_mult","data_value","note_ref","retrieved_at"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1925","Level","6",126977,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1926","Level","6",131537,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1927","Level","6",134175,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1928","Level","6",137774,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1929","Level","6",137070,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1930","Level","6",130220,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1931","Level","6",116244,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1932","Level","6",107642,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1933","Level","6",109278,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1934","Level","6",110648,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1935","Level","6",110315,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1936","Level","6",121360,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1937","Level","6",126498,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1938","Level","6",125187,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1939","Level","6",125500,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1940","Level","6",133587,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1941","Level","6",150956,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1942","Level","6",160521,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1943","Level","6",163319,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1944","Level","6",165236,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1945","Level","6",180207,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1946","Level","6",221007,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1947","Level","6",265725,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1948","Level","6",291557,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1949","Level","6",296671,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1950","Level","6",335868,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1951","Level","6",366226,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1952","Level","6",386310,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1953","Level","6",403718,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1954","Level","6",414924,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1955","Level","6",457052,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1956","Level","6",505534,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1957","Level","6",540636,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1958","Level","6",551356,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1959","Level","6",573959,"FAAt401","2026-06-11T11:28:15-0400"
"FixedAssets","FAAt401","k1ntotl1es00",1,"Private nonresidential fixed assets","Current Dollars","1960","Level","6",586872,"FAAt401","2026-06-11T11:28:15-0400"
