"dataset","table_name","series_code","line_number","line_description","metric_name","time_period","cl_unit","unit_mult","data_value","note_ref","retrieved_at"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1925","Level","0",9.5,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1926","Level","0",9.814,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1927","Level","0",10.083,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1928","Level","0",10.353,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1929","Level","0",10.683,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1930","Level","0",10.876,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1931","Level","0",10.833,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1932","Level","0",10.624,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1933","Level","0",10.402,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1934","Level","0",10.261,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1935","Level","0",10.2,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1936","Level","0",10.264,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1937","Level","0",10.413,"FAAt402","2026-06-11T11:28:27-0400"
"FixedAssets","FAAt402","kcntotl1es00",1,"Private nonresidential fixed assets","Fisher Quantity Index","1938","Level","0",10.411,"FAAt402","2026-06-11T11:28:27-0400"
