year,VAcorp,NOScorp,Pcorpnipa,NMINT,KGCcorp,INVcorp,KTCcorp,Rcorp,Profshcorp,rcorp,VAcorpnipa,KNCcorpbea,Rcorpnipa,Profshcorpnipa,rcorpnipa,uK,uFRB,Rcorpn,Profshcorpn,rcorpn,IGCcorpbea,DEPCcorp,pIGcorpbea,GOSRcorp,ECcorp,WEQ2,VAcorp_check,Pcorp,rcorp_sectoral,exploit_rate,pKN,GVAcorp,Py
1946,,,,,,20.679205132210768,173.22216753006873,,,,,,,,,,,,,,12.0,,19.91072825877894,,,,,,,,10.186284027201914,,
1947,118.6,24.9,22.5,2.3999999999999995,170.5828337097477,25.1924207661426,195.77525447589028,0.684669876212078,0.2099494097807757,0.1437460364054025,117.1,190.1,0.7346298619824341,0.1921434671221178,0.1411543287327478,0.885106384754181,,0.7735452912840868,0.229449284911671,0.1774894139319239,15.7,8.9,23.2917448596751,145.11579189808916,82.1,22.133173996175906,118.6,22.5,0.1410658307210031,0.3032886723507917,11.687301316453992,127.5,12.474580718518357
1948,136.0,32.1,29.6,2.5,191.68359280651973,28.798097438081573,220.48169024460137,0.694674106613144,0.2360294117647059,0.1639635207520729,134.1,208.1,0.70541820094687,0.2207307979120059,0.1557075223566544,0.923893213272095,,0.7518987006656971,0.229324174783279,0.1724285490507807,17.8,10.4,25.34578629720218,167.68073202247191,91.1,23.49115492957747,136.0,29.6,0.1557075223566544,0.3523600439077937,12.328702827178615,146.4,13.181947390287103
1949,132.4,30.2,27.6,2.699999999999999,200.7047696097666,28.522770172059257,229.22753978182587,0.6005033790022022,0.2280966767371601,0.1369728251198376,130.3,212.2,0.6261412782316195,0.2118188795088257,0.1326285439692455,0.869800388813019,,0.6903921712678062,0.22900357180577,0.1581022731670685,16.2,11.2,26.095421355358813,158.6485208888889,88.8,20.64184536082473,132.4,27.6,0.1326923076923077,0.3400900900900901,12.2771097593625,143.6,13.176480878140513
1950,150.6,37.2,34.4,2.8000000000000007,230.20600652901385,35.69829666230825,265.9043031913221,0.6569891215660126,0.2470119521912351,0.1622841654864254,148.4,238.1,0.699340245051838,0.2318059299191374,0.1621112158341187,0.879007756710052,,0.7474213015195563,0.228358741382195,0.1706801876972479,17.8,12.0,26.736763049192643,184.01629213483145,98.7,21.08311044327573,150.6,34.4,0.1621112158341187,0.3768996960486322,13.416174233016012,162.6,13.301117355082765
1951,172.9,42.5,39.1,3.5,255.84979414602253,42.236510818829736,298.0863049648523,0.6502339297442505,0.2458068247541931,0.1598319376178753,170.3,258.5,0.7152456950860984,0.2295948326482677,0.1642167156656866,0.925842940807343,,0.702315588405568,0.227251913197548,0.1596025611336269,21.7,13.6,29.409212027733457,190.75655596313365,114.6,24.431116460637604,172.9,39.1,0.1641477749790092,0.3708551483420593,14.108519660463656,186.5,14.203091859270112
1952,180.9,40.6,37.0,3.700000000000001,276.7328418152084,44.2476572792157,320.9804990944241,0.6068712214783908,0.2244333886124931,0.136202164687798,178.1,273.5,0.6889748549323017,0.2077484559236384,0.1431334622823984,0.910232961177826,,0.6667207707937863,0.225731729522999,0.1505000327001883,22.7,14.5,30.02754968157305,183.4981561409692,123.0,25.97801875,180.9,37.0,0.143244289585753,0.3300813008130081,14.471325701210484,195.4,14.512496446767104
1953,193.6,41.1,37.3,3.7999999999999976,296.53555848647704,46.10110690219687,342.6366653886739,0.6031519065681555,0.212293388429752,0.1280451619832189,190.8,287.0,0.6976234003656306,0.1954926624737945,0.136380255941499,0.924771666526794,,0.6522171130452558,0.224032313497744,0.1461177087383482,24.8,15.4,30.56986970529857,184.82250838709675,134.0,25.81271453590193,193.6,37.3,0.1365300146412884,0.3067164179104477,14.684464749597003,209.0,14.698357859751166
1954,190.4,40.3,36.4,4.000000000000001,311.23510269058767,46.03747911853146,357.2725818091191,0.5556906753806325,0.2116596638655462,0.117617301564283,187.4,295.3,0.6529616724738676,0.1942369263607257,0.1268292682926829,0.8767209649086,,0.6338284330163868,0.222374470965749,0.1409472624750687,24.1,16.2,30.75701356902445,183.69793892116184,132.2,26.224844602609725,190.4,36.4,0.1269619811649808,0.3048411497730711,14.704855179218828,206.6,14.84814029256773
1955,215.7,51.3,46.6,4.700000000000004,347.98339125729046,52.78384952113242,400.7672407784229,0.6037407038283239,0.2378303198887343,0.1435878447213399,212.4,325.0,0.7192685404673214,0.2193973634651601,0.1578056214019641,0.903114199638367,,0.6685098120150021,0.220861684636002,0.1476482032773304,26.6,17.1,31.109799769375808,219.86641028571427,144.6,25.34998326359831,215.7,46.6,0.1579661016949152,0.3547717842323651,15.68831476496418,232.79999999999998,15.058054358996786
1956,230.0,50.3,45.2,5.100000000000001,391.8473726280085,58.82817443841661,450.6755470664251,0.573899202822226,0.218695652173913,0.1255092604432955,226.4,360.7,0.6966153846153846,0.1996466431095406,0.1390769230769231,0.86929577589035,,0.6601886477987622,0.219490692507833,0.1449052634911601,32.2,19.2,33.505946535497614,207.42586670807447,158.2,27.890666666666657,230.0,45.2,0.1392054203880505,0.3179519595448799,16.764998238397013,249.2,15.572999803205565
1957,239.7,50.5,44.5,6.000000000000001,426.5861093605473,61.55584121263325,488.14195057318057,0.5318682177461707,0.2106800166875261,0.112054004990328,235.6,386.9,0.6531743831438868,0.1888794567062818,0.1233712226226781,0.843951225280762,,0.6302120333663015,0.218427615734215,0.1376557118552128,34.9,21.3,35.39736411550324,202.8399622234957,166.5,30.074447867298563,239.7,44.5,0.1236111111111111,0.3033033033033033,17.34134558121361,261.0,16.117464413005926
1958,233.50000000000003,46.4,39.9,6.499999999999999,442.5900830932797,64.38519516355932,506.975278256839,0.4783444646087522,0.1987152034261241,0.0950543175924886,229.1,394.4,0.5921426725252004,0.1741597555652553,0.1031274231067459,0.798105180263519,,0.5993501563926851,0.217830668543038,0.1305568452583929,30.2,22.7,35.74767783321535,193.29926917880792,164.0,33.240445316331524,233.50000000000003,39.9,0.1033411033411033,0.2829268292682926,17.339403814644832,256.20000000000005,16.49356044869132
1959,263.5,57.7,51.1,6.6,469.2512596112735,71.88719080210795,541.1384504133814,0.5197492092829586,0.2189753320683111,0.113812255694978,258.2,411.6,0.6546653144016227,0.1979085979860573,0.1295638945233266,0.861047804355621,,0.603624103857882,0.217780789004854,0.1314577336005175,32.7,23.7,36.59370650021059,222.44262138226296,180.3,30.727640017286085,263.5,51.1,0.1298602287166455,0.3200221852468108,17.69761255001583,287.2,16.7111276321256
1960,275.79999999999995,57.2,50.0,7.299999999999999,484.9322528829036,75.13160245469801,560.0638553376016,0.5096662412166673,0.2073966642494561,0.1057030783088954,269.9,419.9,0.6557337220602526,0.1852537977028529,0.1214771622934888,0.880931198596954,,0.5785539688325321,0.218167608504783,0.1262217357711443,35.6,24.0,36.59362072866615,221.89659941573032,190.7,32.21911092646448,275.79999999999995,50.0,0.1217730150998538,0.2999475616151023,17.550672647731936,299.79999999999995,16.939627839853063
1961,283.40000000000003,58.900000000000006,50.9,8.100000000000009,503.27763471608745,79.95142420211542,583.2290589182029,0.5060137291473112,0.207833450952717,0.1051665795581391,277.5,430.3,0.6608716361038343,0.1834234234234234,0.1212193379376042,0.882777214050293,,0.5732066042185848,0.218892950537896,0.125470884865214,35.2,24.7,36.45789659811367,229.305604,195.6,34.41015659229209,283.40000000000003,50.9,0.1215377268385864,0.3011247443762782,17.543961999809294,308.1,17.120022740690533
1962,309.9,67.7,58.6,9.1,525.4492389980019,85.59891331410986,611.0481523121117,0.5313521253121632,0.2184575669570829,0.1160778924931702,303.5,444.2,0.7053218684638624,0.1930807248764415,0.1361840576342086,0.939095973968506,,0.5658123770531498,0.219750962514216,0.1243378144598861,38.3,25.6,36.37767004499661,256.4760191749348,211.0,34.86042433234423,309.9,58.6,0.1365649032859473,0.3208530805687204,17.589420133427467,335.5,17.32775020226095
1963,330.0,74.2,64.3,10.000000000000004,548.4317201515985,92.28682901402844,640.7185491656269,0.5400556384162706,0.2248484848484848,0.1214306920317796,322.8,458.3,0.7266996848266547,0.1991945477075588,0.144754615038271,0.97143566608429,,0.5559355676049584,0.22042486233839,0.1225420209583376,40.4,26.7,36.43688138247444,276.91722280198024,222.7,34.9292543554007,330.0,64.3,0.1451794987581847,0.3331836551414459,17.617396713583393,356.7,17.52563794196751
