"date","year","value","variable_id","canonical_name","source_system","bea_dataset","bea_table","bea_line","bea_line_description","series_code","sector_boundary","asset_block","account_boundary","frequency","unit","price_basis","stock_flow_type","role_tag","priority","required_for_downstream_object","download_date","vintage","source_url_or_query","status","notes","source_file","aggregation_group"
"1925-12-31",1925,183,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1926-12-31",1926,194,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1927-12-31",1927,202,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1928-12-31",1928,215,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1929-12-31",1929,235,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1930-12-31",1930,246,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1931-12-31",1931,249,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1932-12-31",1932,242,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1933-12-31",1933,229,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
"1934-12-31",1934,244,"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","BEA","FixedAssets","FAAt404",20,"Intellectual property products","m1ntotl2ip00","CORP","IPP","fixed_assets","A","Millions of current dollars","current_cost","cfc","frontier_conditioner","required","frontier_conditioning_variables","2026-06-09","BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows","https://apps.bea.gov/api/data?UserID=${BEA_API_KEY}&method=GetData&datasetname=FixedAssets&TableName=FAAt404&Frequency=A&Year=ALL&ResultFormat=JSON","staged","Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.","C:/ReposGitHub/US-BEA-Income-FixedAssets-Dataset/data/raw/provider/2026-06-09/FixedAssets_FAAt404.csv","not_applicable"
