"year","line_number","line_desc","value","series_code","unit","table_name","source"
1925,1,"Private nonresidential fixed assets",126977,"k1ntotl1es00","6","FAAt401","BEA_API"
1926,1,"Private nonresidential fixed assets",131537,"k1ntotl1es00","6","FAAt401","BEA_API"
1927,1,"Private nonresidential fixed assets",134175,"k1ntotl1es00","6","FAAt401","BEA_API"
1928,1,"Private nonresidential fixed assets",137774,"k1ntotl1es00","6","FAAt401","BEA_API"
1929,1,"Private nonresidential fixed assets",137070,"k1ntotl1es00","6","FAAt401","BEA_API"
1930,1,"Private nonresidential fixed assets",130220,"k1ntotl1es00","6","FAAt401","BEA_API"
1931,1,"Private nonresidential fixed assets",116244,"k1ntotl1es00","6","FAAt401","BEA_API"
1932,1,"Private nonresidential fixed assets",107642,"k1ntotl1es00","6","FAAt401","BEA_API"
1933,1,"Private nonresidential fixed assets",109278,"k1ntotl1es00","6","FAAt401","BEA_API"
1934,1,"Private nonresidential fixed assets",110648,"k1ntotl1es00","6","FAAt401","BEA_API"
1935,1,"Private nonresidential fixed assets",110315,"k1ntotl1es00","6","FAAt401","BEA_API"
1936,1,"Private nonresidential fixed assets",121360,"k1ntotl1es00","6","FAAt401","BEA_API"
1937,1,"Private nonresidential fixed assets",126498,"k1ntotl1es00","6","FAAt401","BEA_API"
1938,1,"Private nonresidential fixed assets",125187,"k1ntotl1es00","6","FAAt401","BEA_API"
1939,1,"Private nonresidential fixed assets",125500,"k1ntotl1es00","6","FAAt401","BEA_API"
1940,1,"Private nonresidential fixed assets",133587,"k1ntotl1es00","6","FAAt401","BEA_API"
1941,1,"Private nonresidential fixed assets",150956,"k1ntotl1es00","6","FAAt401","BEA_API"
1942,1,"Private nonresidential fixed assets",160521,"k1ntotl1es00","6","FAAt401","BEA_API"
1943,1,"Private nonresidential fixed assets",163319,"k1ntotl1es00","6","FAAt401","BEA_API"
1944,1,"Private nonresidential fixed assets",165236,"k1ntotl1es00","6","FAAt401","BEA_API"
1945,1,"Private nonresidential fixed assets",180207,"k1ntotl1es00","6","FAAt401","BEA_API"
1946,1,"Private nonresidential fixed assets",221007,"k1ntotl1es00","6","FAAt401","BEA_API"
1947,1,"Private nonresidential fixed assets",265725,"k1ntotl1es00","6","FAAt401","BEA_API"
1948,1,"Private nonresidential fixed assets",291557,"k1ntotl1es00","6","FAAt401","BEA_API"
1949,1,"Private nonresidential fixed assets",296671,"k1ntotl1es00","6","FAAt401","BEA_API"
1950,1,"Private nonresidential fixed assets",335868,"k1ntotl1es00","6","FAAt401","BEA_API"
1951,1,"Private nonresidential fixed assets",366226,"k1ntotl1es00","6","FAAt401","BEA_API"
1952,1,"Private nonresidential fixed assets",386310,"k1ntotl1es00","6","FAAt401","BEA_API"
1953,1,"Private nonresidential fixed assets",403718,"k1ntotl1es00","6","FAAt401","BEA_API"
1954,1,"Private nonresidential fixed assets",414924,"k1ntotl1es00","6","FAAt401","BEA_API"
1955,1,"Private nonresidential fixed assets",457052,"k1ntotl1es00","6","FAAt401","BEA_API"
1956,1,"Private nonresidential fixed assets",505534,"k1ntotl1es00","6","FAAt401","BEA_API"
1957,1,"Private nonresidential fixed assets",540636,"k1ntotl1es00","6","FAAt401","BEA_API"
1958,1,"Private nonresidential fixed assets",551356,"k1ntotl1es00","6","FAAt401","BEA_API"
1959,1,"Private nonresidential fixed assets",573959,"k1ntotl1es00","6","FAAt401","BEA_API"
1960,1,"Private nonresidential fixed assets",586872,"k1ntotl1es00","6","FAAt401","BEA_API"
1961,1,"Private nonresidential fixed assets",604328,"k1ntotl1es00","6","FAAt401","BEA_API"
1962,1,"Private nonresidential fixed assets",626795,"k1ntotl1es00","6","FAAt401","BEA_API"
1963,1,"Private nonresidential fixed assets",650603,"k1ntotl1es00","6","FAAt401","BEA_API"
1964,1,"Private nonresidential fixed assets",689318,"k1ntotl1es00","6","FAAt401","BEA_API"
1965,1,"Private nonresidential fixed assets",738843,"k1ntotl1es00","6","FAAt401","BEA_API"
1966,1,"Private nonresidential fixed assets",804263,"k1ntotl1es00","6","FAAt401","BEA_API"
1967,1,"Private nonresidential fixed assets",871188,"k1ntotl1es00","6","FAAt401","BEA_API"
1968,1,"Private nonresidential fixed assets",957886,"k1ntotl1es00","6","FAAt401","BEA_API"
1969,1,"Private nonresidential fixed assets",1055775,"k1ntotl1es00","6","FAAt401","BEA_API"
1970,1,"Private nonresidential fixed assets",1161635,"k1ntotl1es00","6","FAAt401","BEA_API"
1971,1,"Private nonresidential fixed assets",1275119,"k1ntotl1es00","6","FAAt401","BEA_API"
1972,1,"Private nonresidential fixed assets",1385696,"k1ntotl1es00","6","FAAt401","BEA_API"
1973,1,"Private nonresidential fixed assets",1560649,"k1ntotl1es00","6","FAAt401","BEA_API"
1974,1,"Private nonresidential fixed assets",1893965,"k1ntotl1es00","6","FAAt401","BEA_API"
1975,1,"Private nonresidential fixed assets",2083536,"k1ntotl1es00","6","FAAt401","BEA_API"
1976,1,"Private nonresidential fixed assets",2280237,"k1ntotl1es00","6","FAAt401","BEA_API"
