"year","line_number","line_desc","value","series_code","unit","table_name","source"
1925,1,"Government fixed assets",38417,"k1gtotl1es00","6","FAAt701","BEA_API"
1926,1,"Government fixed assets",39000,"k1gtotl1es00","6","FAAt701","BEA_API"
1927,1,"Government fixed assets",40485,"k1gtotl1es00","6","FAAt701","BEA_API"
1928,1,"Government fixed assets",40824,"k1gtotl1es00","6","FAAt701","BEA_API"
1929,1,"Government fixed assets",42708,"k1gtotl1es00","6","FAAt701","BEA_API"
1930,1,"Government fixed assets",42341,"k1gtotl1es00","6","FAAt701","BEA_API"
1931,1,"Government fixed assets",40039,"k1gtotl1es00","6","FAAt701","BEA_API"
1932,1,"Government fixed assets",34744,"k1gtotl1es00","6","FAAt701","BEA_API"
1933,1,"Government fixed assets",39787,"k1gtotl1es00","6","FAAt701","BEA_API"
1934,1,"Government fixed assets",47435,"k1gtotl1es00","6","FAAt701","BEA_API"
1935,1,"Government fixed assets",47721,"k1gtotl1es00","6","FAAt701","BEA_API"
1936,1,"Government fixed assets",54634,"k1gtotl1es00","6","FAAt701","BEA_API"
1937,1,"Government fixed assets",58128,"k1gtotl1es00","6","FAAt701","BEA_API"
1938,1,"Government fixed assets",60704,"k1gtotl1es00","6","FAAt701","BEA_API"
1939,1,"Government fixed assets",62538,"k1gtotl1es00","6","FAAt701","BEA_API"
1940,1,"Government fixed assets",66075,"k1gtotl1es00","6","FAAt701","BEA_API"
1941,1,"Government fixed assets",82658,"k1gtotl1es00","6","FAAt701","BEA_API"
1942,1,"Government fixed assets",122468,"k1gtotl1es00","6","FAAt701","BEA_API"
1943,1,"Government fixed assets",161591,"k1gtotl1es00","6","FAAt701","BEA_API"
1944,1,"Government fixed assets",183988,"k1gtotl1es00","6","FAAt701","BEA_API"
1945,1,"Government fixed assets",201825,"k1gtotl1es00","6","FAAt701","BEA_API"
1946,1,"Government fixed assets",205567,"k1gtotl1es00","6","FAAt701","BEA_API"
1947,1,"Government fixed assets",217519,"k1gtotl1es00","6","FAAt701","BEA_API"
1948,1,"Government fixed assets",217840,"k1gtotl1es00","6","FAAt701","BEA_API"
1949,1,"Government fixed assets",203931,"k1gtotl1es00","6","FAAt701","BEA_API"
1950,1,"Government fixed assets",216205,"k1gtotl1es00","6","FAAt701","BEA_API"
1951,1,"Government fixed assets",243401,"k1gtotl1es00","6","FAAt701","BEA_API"
1952,1,"Government fixed assets",261037,"k1gtotl1es00","6","FAAt701","BEA_API"
1953,1,"Government fixed assets",268009,"k1gtotl1es00","6","FAAt701","BEA_API"
1954,1,"Government fixed assets",284736,"k1gtotl1es00","6","FAAt701","BEA_API"
1955,1,"Government fixed assets",308296,"k1gtotl1es00","6","FAAt701","BEA_API"
1956,1,"Government fixed assets",343017,"k1gtotl1es00","6","FAAt701","BEA_API"
1957,1,"Government fixed assets",360537,"k1gtotl1es00","6","FAAt701","BEA_API"
1958,1,"Government fixed assets",381025,"k1gtotl1es00","6","FAAt701","BEA_API"
1959,1,"Government fixed assets",393056,"k1gtotl1es00","6","FAAt701","BEA_API"
1960,1,"Government fixed assets",409472,"k1gtotl1es00","6","FAAt701","BEA_API"
1961,1,"Government fixed assets",432451,"k1gtotl1es00","6","FAAt701","BEA_API"
1962,1,"Government fixed assets",462292,"k1gtotl1es00","6","FAAt701","BEA_API"
