"year","line_number","line_desc","value","series_code","unit","table_name","source"
1914,1,"Government fixed assets",620,"i3gtotl1es00","6","FAAt705","BEA_API"
1915,1,"Government fixed assets",786,"i3gtotl1es00","6","FAAt705","BEA_API"
1916,1,"Government fixed assets",767,"i3gtotl1es00","6","FAAt705","BEA_API"
1917,1,"Government fixed assets",2187,"i3gtotl1es00","6","FAAt705","BEA_API"
1918,1,"Government fixed assets",4963,"i3gtotl1es00","6","FAAt705","BEA_API"
1919,1,"Government fixed assets",2231,"i3gtotl1es00","6","FAAt705","BEA_API"
1920,1,"Government fixed assets",1474,"i3gtotl1es00","6","FAAt705","BEA_API"
1921,1,"Government fixed assets",1624,"i3gtotl1es00","6","FAAt705","BEA_API"
1922,1,"Government fixed assets",1799,"i3gtotl1es00","6","FAAt705","BEA_API"
1923,1,"Government fixed assets",1799,"i3gtotl1es00","6","FAAt705","BEA_API"
1924,1,"Government fixed assets",2097,"i3gtotl1es00","6","FAAt705","BEA_API"
1925,1,"Government fixed assets",2356,"i3gtotl1es00","6","FAAt705","BEA_API"
1926,1,"Government fixed assets",2371,"i3gtotl1es00","6","FAAt705","BEA_API"
1927,1,"Government fixed assets",2696,"i3gtotl1es00","6","FAAt705","BEA_API"
1928,1,"Government fixed assets",2778,"i3gtotl1es00","6","FAAt705","BEA_API"
1929,1,"Government fixed assets",2902,"i3gtotl1es00","6","FAAt705","BEA_API"
1930,1,"Government fixed assets",3256,"i3gtotl1es00","6","FAAt705","BEA_API"
1931,1,"Government fixed assets",3089,"i3gtotl1es00","6","FAAt705","BEA_API"
1932,1,"Government fixed assets",2265,"i3gtotl1es00","6","FAAt705","BEA_API"
1933,1,"Government fixed assets",2032,"i3gtotl1es00","6","FAAt705","BEA_API"
1934,1,"Government fixed assets",2654,"i3gtotl1es00","6","FAAt705","BEA_API"
1935,1,"Government fixed assets",2837,"i3gtotl1es00","6","FAAt705","BEA_API"
1936,1,"Government fixed assets",4215,"i3gtotl1es00","6","FAAt705","BEA_API"
1937,1,"Government fixed assets",3884,"i3gtotl1es00","6","FAAt705","BEA_API"
1938,1,"Government fixed assets",4285,"i3gtotl1es00","6","FAAt705","BEA_API"
1939,1,"Government fixed assets",4618,"i3gtotl1es00","6","FAAt705","BEA_API"
1940,1,"Government fixed assets",4432,"i3gtotl1es00","6","FAAt705","BEA_API"
1941,1,"Government fixed assets",10746,"i3gtotl1es00","6","FAAt705","BEA_API"
1942,1,"Government fixed assets",28940,"i3gtotl1es00","6","FAAt705","BEA_API"
1943,1,"Government fixed assets",39867,"i3gtotl1es00","6","FAAt705","BEA_API"
1944,1,"Government fixed assets",38231,"i3gtotl1es00","6","FAAt705","BEA_API"
1945,1,"Government fixed assets",25393,"i3gtotl1es00","6","FAAt705","BEA_API"
1946,1,"Government fixed assets",4703,"i3gtotl1es00","6","FAAt705","BEA_API"
1947,1,"Government fixed assets",5663,"i3gtotl1es00","6","FAAt705","BEA_API"
1948,1,"Government fixed assets",8463,"i3gtotl1es00","6","FAAt705","BEA_API"
1949,1,"Government fixed assets",11315,"i3gtotl1es00","6","FAAt705","BEA_API"
1950,1,"Government fixed assets",11429,"i3gtotl1es00","6","FAAt705","BEA_API"
1951,1,"Government fixed assets",19495,"i3gtotl1es00","6","FAAt705","BEA_API"
1952,1,"Government fixed assets",24578,"i3gtotl1es00","6","FAAt705","BEA_API"
1953,1,"Government fixed assets",26474,"i3gtotl1es00","6","FAAt705","BEA_API"
1954,1,"Government fixed assets",25370,"i3gtotl1es00","6","FAAt705","BEA_API"
1955,1,"Government fixed assets",24609,"i3gtotl1es00","6","FAAt705","BEA_API"
1956,1,"Government fixed assets",27238,"i3gtotl1es00","6","FAAt705","BEA_API"
1957,1,"Government fixed assets",30213,"i3gtotl1es00","6","FAAt705","BEA_API"
1958,1,"Government fixed assets",32591,"i3gtotl1es00","6","FAAt705","BEA_API"
1959,1,"Government fixed assets",35873,"i3gtotl1es00","6","FAAt705","BEA_API"
1960,1,"Government fixed assets",35980,"i3gtotl1es00","6","FAAt705","BEA_API"
1961,1,"Government fixed assets",39802,"i3gtotl1es00","6","FAAt705","BEA_API"
1962,1,"Government fixed assets",42545,"i3gtotl1es00","6","FAAt705","BEA_API"
1963,1,"Government fixed assets",44442,"i3gtotl1es00","6","FAAt705","BEA_API"
1964,1,"Government fixed assets",46399,"i3gtotl1es00","6","FAAt705","BEA_API"
1965,1,"Government fixed assets",47899,"i3gtotl1es00","6","FAAt705","BEA_API"
1966,1,"Government fixed assets",53594,"i3gtotl1es00","6","FAAt705","BEA_API"
1967,1,"Government fixed assets",57657,"i3gtotl1es00","6","FAAt705","BEA_API"
1968,1,"Government fixed assets",59130,"i3gtotl1es00","6","FAAt705","BEA_API"
1969,1,"Government fixed assets",59404,"i3gtotl1es00","6","FAAt705","BEA_API"
1970,1,"Government fixed assets",59562,"i3gtotl1es00","6","FAAt705","BEA_API"
1971,1,"Government fixed assets",58103,"i3gtotl1es00","6","FAAt705","BEA_API"
1972,1,"Government fixed assets",60453,"i3gtotl1es00","6","FAAt705","BEA_API"
1973,1,"Government fixed assets",65500,"i3gtotl1es00","6","FAAt705","BEA_API"
1974,1,"Government fixed assets",75939,"i3gtotl1es00","6","FAAt705","BEA_API"
1975,1,"Government fixed assets",83926,"i3gtotl1es00","6","FAAt705","BEA_API"
1976,1,"Government fixed assets",88923,"i3gtotl1es00","6","FAAt705","BEA_API"
1977,1,"Government fixed assets",92308,"i3gtotl1es00","6","FAAt705","BEA_API"
1978,1,"Government fixed assets",104239,"i3gtotl1es00","6","FAAt705","BEA_API"
1979,1,"Government fixed assets",118694,"i3gtotl1es00","6","FAAt705","BEA_API"
1980,1,"Government fixed assets",134437,"i3gtotl1es00","6","FAAt705","BEA_API"
1981,1,"Government fixed assets",146873,"i3gtotl1es00","6","FAAt705","BEA_API"
1982,1,"Government fixed assets",156677,"i3gtotl1es00","6","FAAt705","BEA_API"
1983,1,"Government fixed assets",170411,"i3gtotl1es00","6","FAAt705","BEA_API"
1984,1,"Government fixed assets",192456,"i3gtotl1es00","6","FAAt705","BEA_API"
1985,1,"Government fixed assets",218838,"i3gtotl1es00","6","FAAt705","BEA_API"
1986,1,"Government fixed assets",237185,"i3gtotl1es00","6","FAAt705","BEA_API"
1987,1,"Government fixed assets",253661,"i3gtotl1es00","6","FAAt705","BEA_API"
1988,1,"Government fixed assets",257503,"i3gtotl1es00","6","FAAt705","BEA_API"
1989,1,"Government fixed assets",269861,"i3gtotl1es00","6","FAAt705","BEA_API"
1990,1,"Government fixed assets",289736,"i3gtotl1es00","6","FAAt705","BEA_API"
1991,1,"Government fixed assets",293693,"i3gtotl1es00","6","FAAt705","BEA_API"
1992,1,"Government fixed assets",294791,"i3gtotl1es00","6","FAAt705","BEA_API"
1993,1,"Government fixed assets",290525,"i3gtotl1es00","6","FAAt705","BEA_API"
1994,1,"Government fixed assets",293553,"i3gtotl1es00","6","FAAt705","BEA_API"
1995,1,"Government fixed assets",309195,"i3gtotl1es00","6","FAAt705","BEA_API"
1996,1,"Government fixed assets",327187,"i3gtotl1es00","6","FAAt705","BEA_API"
1997,1,"Government fixed assets",326714,"i3gtotl1es00","6","FAAt705","BEA_API"
1998,1,"Government fixed assets",343989,"i3gtotl1es00","6","FAAt705","BEA_API"
1999,1,"Government fixed assets",368315,"i3gtotl1es00","6","FAAt705","BEA_API"
2000,1,"Government fixed assets",388763,"i3gtotl1es00","6","FAAt705","BEA_API"
2001,1,"Government fixed assets",411746,"i3gtotl1es00","6","FAAt705","BEA_API"
2002,1,"Government fixed assets",443367,"i3gtotl1es00","6","FAAt705","BEA_API"
2003,1,"Government fixed assets",463384,"i3gtotl1es00","6","FAAt705","BEA_API"
2004,1,"Government fixed assets",485654,"i3gtotl1es00","6","FAAt705","BEA_API"
2005,1,"Government fixed assets",512170,"i3gtotl1es00","6","FAAt705","BEA_API"
2006,1,"Government fixed assets",549744,"i3gtotl1es00","6","FAAt705","BEA_API"
2007,1,"Government fixed assets",593112,"i3gtotl1es00","6","FAAt705","BEA_API"
2008,1,"Government fixed assets",627789,"i3gtotl1es00","6","FAAt705","BEA_API"
2009,1,"Government fixed assets",640631,"i3gtotl1es00","6","FAAt705","BEA_API"
2010,1,"Government fixed assets",641689,"i3gtotl1es00","6","FAAt705","BEA_API"
2011,1,"Government fixed assets",632679,"i3gtotl1es00","6","FAAt705","BEA_API"
2012,1,"Government fixed assets",616482,"i3gtotl1es00","6","FAAt705","BEA_API"
2013,1,"Government fixed assets",600871,"i3gtotl1es00","6","FAAt705","BEA_API"
2014,1,"Government fixed assets",605277,"i3gtotl1es00","6","FAAt705","BEA_API"
2015,1,"Government fixed assets",628405,"i3gtotl1es00","6","FAAt705","BEA_API"
2016,1,"Government fixed assets",650236,"i3gtotl1es00","6","FAAt705","BEA_API"
2017,1,"Government fixed assets",686159,"i3gtotl1es00","6","FAAt705","BEA_API"
2018,1,"Government fixed assets",728571,"i3gtotl1es00","6","FAAt705","BEA_API"
2019,1,"Government fixed assets",774103,"i3gtotl1es00","6","FAAt705","BEA_API"
2020,1,"Government fixed assets",818476,"i3gtotl1es00","6","FAAt705","BEA_API"
2021,1,"Government fixed assets",831823,"i3gtotl1es00","6","FAAt705","BEA_API"
2022,1,"Government fixed assets",894948,"i3gtotl1es00","6","FAAt705","BEA_API"
2023,1,"Government fixed assets",977165,"i3gtotl1es00","6","FAAt705","BEA_API"
2024,1,"Government fixed assets",1051368,"i3gtotl1es00","6","FAAt705","BEA_API"
1914,2,"Equipment",41,"i3gtotl1eq00","6","FAAt705","BEA_API"
1915,2,"Equipment",65,"i3gtotl1eq00","6","FAAt705","BEA_API"
1916,2,"Equipment",51,"i3gtotl1eq00","6","FAAt705","BEA_API"
1917,2,"Equipment",918,"i3gtotl1eq00","6","FAAt705","BEA_API"
1918,2,"Equipment",2805,"i3gtotl1eq00","6","FAAt705","BEA_API"
1919,2,"Equipment",311,"i3gtotl1eq00","6","FAAt705","BEA_API"
1920,2,"Equipment",102,"i3gtotl1eq00","6","FAAt705","BEA_API"
1921,2,"Equipment",37,"i3gtotl1eq00","6","FAAt705","BEA_API"
1922,2,"Equipment",92,"i3gtotl1eq00","6","FAAt705","BEA_API"
1923,2,"Equipment",120,"i3gtotl1eq00","6","FAAt705","BEA_API"
1924,2,"Equipment",177,"i3gtotl1eq00","6","FAAt705","BEA_API"
1925,2,"Equipment",195,"i3gtotl1eq00","6","FAAt705","BEA_API"
1926,2,"Equipment",188,"i3gtotl1eq00","6","FAAt705","BEA_API"
1927,2,"Equipment",247,"i3gtotl1eq00","6","FAAt705","BEA_API"
1928,2,"Equipment",255,"i3gtotl1eq00","6","FAAt705","BEA_API"
1929,2,"Equipment",266,"i3gtotl1eq00","6","FAAt705","BEA_API"
1930,2,"Equipment",242,"i3gtotl1eq00","6","FAAt705","BEA_API"
1931,2,"Equipment",264,"i3gtotl1eq00","6","FAAt705","BEA_API"
1932,2,"Equipment",227,"i3gtotl1eq00","6","FAAt705","BEA_API"
1933,2,"Equipment",227,"i3gtotl1eq00","6","FAAt705","BEA_API"
1934,2,"Equipment",317,"i3gtotl1eq00","6","FAAt705","BEA_API"
1935,2,"Equipment",473,"i3gtotl1eq00","6","FAAt705","BEA_API"
1936,2,"Equipment",410,"i3gtotl1eq00","6","FAAt705","BEA_API"
1937,2,"Equipment",463,"i3gtotl1eq00","6","FAAt705","BEA_API"
1938,2,"Equipment",529,"i3gtotl1eq00","6","FAAt705","BEA_API"
1939,2,"Equipment",568,"i3gtotl1eq00","6","FAAt705","BEA_API"
1940,2,"Equipment",572,"i3gtotl1eq00","6","FAAt705","BEA_API"
1941,2,"Equipment",4222,"i3gtotl1eq00","6","FAAt705","BEA_API"
1942,2,"Equipment",16364,"i3gtotl1eq00","6","FAAt705","BEA_API"
1943,2,"Equipment",31963,"i3gtotl1eq00","6","FAAt705","BEA_API"
1944,2,"Equipment",33319,"i3gtotl1eq00","6","FAAt705","BEA_API"
1945,2,"Equipment",21237,"i3gtotl1eq00","6","FAAt705","BEA_API"
1946,2,"Equipment",1612,"i3gtotl1eq00","6","FAAt705","BEA_API"
1947,2,"Equipment",1271,"i3gtotl1eq00","6","FAAt705","BEA_API"
1948,2,"Equipment",2250,"i3gtotl1eq00","6","FAAt705","BEA_API"
1949,2,"Equipment",3249,"i3gtotl1eq00","6","FAAt705","BEA_API"
1950,2,"Equipment",2618,"i3gtotl1eq00","6","FAAt705","BEA_API"
1951,2,"Equipment",7952,"i3gtotl1eq00","6","FAAt705","BEA_API"
1952,2,"Equipment",11141,"i3gtotl1eq00","6","FAAt705","BEA_API"
1953,2,"Equipment",12324,"i3gtotl1eq00","6","FAAt705","BEA_API"
1954,2,"Equipment",10242,"i3gtotl1eq00","6","FAAt705","BEA_API"
1955,2,"Equipment",8760,"i3gtotl1eq00","6","FAAt705","BEA_API"
1956,2,"Equipment",8902,"i3gtotl1eq00","6","FAAt705","BEA_API"
1957,2,"Equipment",9476,"i3gtotl1eq00","6","FAAt705","BEA_API"
1958,2,"Equipment",9691,"i3gtotl1eq00","6","FAAt705","BEA_API"
1959,2,"Equipment",12002,"i3gtotl1eq00","6","FAAt705","BEA_API"
1960,2,"Equipment",11577,"i3gtotl1eq00","6","FAAt705","BEA_API"
1961,2,"Equipment",13077,"i3gtotl1eq00","6","FAAt705","BEA_API"
1962,2,"Equipment",14096,"i3gtotl1eq00","6","FAAt705","BEA_API"
1963,2,"Equipment",12806,"i3gtotl1eq00","6","FAAt705","BEA_API"
1964,2,"Equipment",12417,"i3gtotl1eq00","6","FAAt705","BEA_API"
1965,2,"Equipment",11213,"i3gtotl1eq00","6","FAAt705","BEA_API"
1966,2,"Equipment",13078,"i3gtotl1eq00","6","FAAt705","BEA_API"
1967,2,"Equipment",15035,"i3gtotl1eq00","6","FAAt705","BEA_API"
1968,2,"Equipment",13654,"i3gtotl1eq00","6","FAAt705","BEA_API"
1969,2,"Equipment",12864,"i3gtotl1eq00","6","FAAt705","BEA_API"
1970,2,"Equipment",13045,"i3gtotl1eq00","6","FAAt705","BEA_API"
1971,2,"Equipment",9216,"i3gtotl1eq00","6","FAAt705","BEA_API"
1972,2,"Equipment",9781,"i3gtotl1eq00","6","FAAt705","BEA_API"
1973,2,"Equipment",10940,"i3gtotl1eq00","6","FAAt705","BEA_API"
1974,2,"Equipment",14360,"i3gtotl1eq00","6","FAAt705","BEA_API"
1975,2,"Equipment",16596,"i3gtotl1eq00","6","FAAt705","BEA_API"
1976,2,"Equipment",19246,"i3gtotl1eq00","6","FAAt705","BEA_API"
1977,2,"Equipment",20984,"i3gtotl1eq00","6","FAAt705","BEA_API"
