"year","line_number","line_desc","value","series_code","unit","table_name","source"
1960,1,"Monetary interest paid",46051,"A2061C","6","T71100","BEA_API"
1961,1,"Monetary interest paid",48569,"A2061C","6","T71100","BEA_API"
1962,1,"Monetary interest paid",54414,"A2061C","6","T71100","BEA_API"
1963,1,"Monetary interest paid",60403,"A2061C","6","T71100","BEA_API"
1964,1,"Monetary interest paid",67150,"A2061C","6","T71100","BEA_API"
1965,1,"Monetary interest paid",74437,"A2061C","6","T71100","BEA_API"
1966,1,"Monetary interest paid",84105,"A2061C","6","T71100","BEA_API"
1967,1,"Monetary interest paid",92205,"A2061C","6","T71100","BEA_API"
1968,1,"Monetary interest paid",104637,"A2061C","6","T71100","BEA_API"
1969,1,"Monetary interest paid",123384,"A2061C","6","T71100","BEA_API"
1970,1,"Monetary interest paid",141759,"A2061C","6","T71100","BEA_API"
1971,1,"Monetary interest paid",151023,"A2061C","6","T71100","BEA_API"
1972,1,"Monetary interest paid",168568,"A2061C","6","T71100","BEA_API"
1973,1,"Monetary interest paid",213534,"A2061C","6","T71100","BEA_API"
1974,1,"Monetary interest paid",266980,"A2061C","6","T71100","BEA_API"
1975,1,"Monetary interest paid",276120,"A2061C","6","T71100","BEA_API"
1976,1,"Monetary interest paid",298219,"A2061C","6","T71100","BEA_API"
1977,1,"Monetary interest paid",338110,"A2061C","6","T71100","BEA_API"
1978,1,"Monetary interest paid",412828,"A2061C","6","T71100","BEA_API"
1979,1,"Monetary interest paid",538759,"A2061C","6","T71100","BEA_API"
1980,1,"Monetary interest paid",690414,"A2061C","6","T71100","BEA_API"
1981,1,"Monetary interest paid",921039,"A2061C","6","T71100","BEA_API"
1982,1,"Monetary interest paid",1032435,"A2061C","6","T71100","BEA_API"
1983,1,"Monetary interest paid",1019410,"A2061C","6","T71100","BEA_API"
1984,1,"Monetary interest paid",1185534,"A2061C","6","T71100","BEA_API"
1985,1,"Monetary interest paid",1268362,"A2061C","6","T71100","BEA_API"
1986,1,"Monetary interest paid",1318733,"A2061C","6","T71100","BEA_API"
1987,1,"Monetary interest paid",1375931,"A2061C","6","T71100","BEA_API"
1988,1,"Monetary interest paid",1551404,"A2061C","6","T71100","BEA_API"
1989,1,"Monetary interest paid",1827714,"A2061C","6","T71100","BEA_API"
1990,1,"Monetary interest paid",1864410,"A2061C","6","T71100","BEA_API"
1991,1,"Monetary interest paid",1768697,"A2061C","6","T71100","BEA_API"
1992,1,"Monetary interest paid",1587061,"A2061C","6","T71100","BEA_API"
1993,1,"Monetary interest paid",1523520,"A2061C","6","T71100","BEA_API"
1994,1,"Monetary interest paid",1640642,"A2061C","6","T71100","BEA_API"
1995,1,"Monetary interest paid",1904276,"A2061C","6","T71100","BEA_API"
1996,1,"Monetary interest paid",1988978,"A2061C","6","T71100","BEA_API"
1997,1,"Monetary interest paid",2159989,"A2061C","6","T71100","BEA_API"
1998,1,"Monetary interest paid",2345979,"A2061C","6","T71100","BEA_API"
1999,1,"Monetary interest paid",2453779,"A2061C","6","T71100","BEA_API"
2000,1,"Monetary interest paid",2888911,"A2061C","6","T71100","BEA_API"
2001,1,"Monetary interest paid",2776824,"A2061C","6","T71100","BEA_API"
2002,1,"Monetary interest paid",2323428,"A2061C","6","T71100","BEA_API"
2003,1,"Monetary interest paid",2180242,"A2061C","6","T71100","BEA_API"
2004,1,"Monetary interest paid",2355366,"A2061C","6","T71100","BEA_API"
2005,1,"Monetary interest paid",3017840,"A2061C","6","T71100","BEA_API"
2006,1,"Monetary interest paid",3859648,"A2061C","6","T71100","BEA_API"
2007,1,"Monetary interest paid",4488772,"A2061C","6","T71100","BEA_API"
2008,1,"Monetary interest paid",3866673,"A2061C","6","T71100","BEA_API"
2009,1,"Monetary interest paid",2919162,"A2061C","6","T71100","BEA_API"
2010,1,"Monetary interest paid",2688931,"A2061C","6","T71100","BEA_API"
2011,1,"Monetary interest paid",2650080,"A2061C","6","T71100","BEA_API"
2012,1,"Monetary interest paid",2577676,"A2061C","6","T71100","BEA_API"
2013,1,"Monetary interest paid",2423776,"A2061C","6","T71100","BEA_API"
2014,1,"Monetary interest paid",2468655,"A2061C","6","T71100","BEA_API"
2015,1,"Monetary interest paid",2534913,"A2061C","6","T71100","BEA_API"
2016,1,"Monetary interest paid",2708410,"A2061C","6","T71100","BEA_API"
2017,1,"Monetary interest paid",3005715,"A2061C","6","T71100","BEA_API"
2018,1,"Monetary interest paid",3418096,"A2061C","6","T71100","BEA_API"
2019,1,"Monetary interest paid",3688828,"A2061C","6","T71100","BEA_API"
2020,1,"Monetary interest paid",3034479,"A2061C","6","T71100","BEA_API"
2021,1,"Monetary interest paid",2993959,"A2061C","6","T71100","BEA_API"
2022,1,"Monetary interest paid",3976642,"A2061C","6","T71100","BEA_API"
2023,1,"Monetary interest paid",5693761,"A2061C","6","T71100","BEA_API"
2024,1,"Monetary interest paid",6341403,"A2061C","6","T71100","BEA_API"
1946,2,"Domestic business",3949,"A2062C","6","T71100","BEA_API"
1947,2,"Domestic business",4412,"A2062C","6","T71100","BEA_API"
1948,2,"Domestic business",4954,"A2062C","6","T71100","BEA_API"
1949,2,"Domestic business",5535,"A2062C","6","T71100","BEA_API"
1950,2,"Domestic business",6029,"A2062C","6","T71100","BEA_API"
1951,2,"Domestic business",6946,"A2062C","6","T71100","BEA_API"
1952,2,"Domestic business",7873,"A2062C","6","T71100","BEA_API"
1953,2,"Domestic business",8702,"A2062C","6","T71100","BEA_API"
1954,2,"Domestic business",9492,"A2062C","6","T71100","BEA_API"
1955,2,"Domestic business",10678,"A2062C","6","T71100","BEA_API"
1956,2,"Domestic business",12263,"A2062C","6","T71100","BEA_API"
1957,2,"Domestic business",14465,"A2062C","6","T71100","BEA_API"
1958,2,"Domestic business",15905,"A2062C","6","T71100","BEA_API"
1959,2,"Domestic business",17939,"A2062C","6","T71100","BEA_API"
1960,2,"Domestic business",20439,"A2062C","6","T71100","BEA_API"
1961,2,"Domestic business",22025,"A2062C","6","T71100","BEA_API"
1962,2,"Domestic business",25283,"A2062C","6","T71100","BEA_API"
1963,2,"Domestic business",28455,"A2062C","6","T71100","BEA_API"
1964,2,"Domestic business",31917,"A2062C","6","T71100","BEA_API"
1965,2,"Domestic business",35995,"A2062C","6","T71100","BEA_API"
1966,2,"Domestic business",42096,"A2062C","6","T71100","BEA_API"
1967,2,"Domestic business",47293,"A2062C","6","T71100","BEA_API"
1968,2,"Domestic business",54434,"A2062C","6","T71100","BEA_API"
1969,2,"Domestic business",67340,"A2062C","6","T71100","BEA_API"
1970,2,"Domestic business",80075,"A2062C","6","T71100","BEA_API"
1971,2,"Domestic business",84974,"A2062C","6","T71100","BEA_API"
1972,2,"Domestic business",95564,"A2062C","6","T71100","BEA_API"
1973,2,"Domestic business",127512,"A2062C","6","T71100","BEA_API"
1974,2,"Domestic business",167376,"A2062C","6","T71100","BEA_API"
1975,2,"Domestic business",167724,"A2062C","6","T71100","BEA_API"
1976,2,"Domestic business",174729,"A2062C","6","T71100","BEA_API"
1977,2,"Domestic business",196797,"A2062C","6","T71100","BEA_API"
1978,2,"Domestic business",241699,"A2062C","6","T71100","BEA_API"
1979,2,"Domestic business",326204,"A2062C","6","T71100","BEA_API"
1980,2,"Domestic business",429464,"A2062C","6","T71100","BEA_API"
1981,2,"Domestic business",591459,"A2062C","6","T71100","BEA_API"
1982,2,"Domestic business",651317,"A2062C","6","T71100","BEA_API"
1983,2,"Domestic business",608586,"A2062C","6","T71100","BEA_API"
1984,2,"Domestic business",701006,"A2062C","6","T71100","BEA_API"
1985,2,"Domestic business",742801,"A2062C","6","T71100","BEA_API"
1986,2,"Domestic business",759799,"A2062C","6","T71100","BEA_API"
1987,2,"Domestic business",793791,"A2062C","6","T71100","BEA_API"
1988,2,"Domestic business",917761,"A2062C","6","T71100","BEA_API"
1989,2,"Domestic business",1119826,"A2062C","6","T71100","BEA_API"
1990,2,"Domestic business",1109841,"A2062C","6","T71100","BEA_API"
1991,2,"Domestic business",1004932,"A2062C","6","T71100","BEA_API"
1992,2,"Domestic business",842660,"A2062C","6","T71100","BEA_API"
1993,2,"Domestic business",787106,"A2062C","6","T71100","BEA_API"
1994,2,"Domestic business",872188,"A2062C","6","T71100","BEA_API"
