"year","line_number","line_desc","value","series_code","unit","table_name","source"
1929,1,"Gross value added of corporate business",54806,"A451RC","6","T11400","BEA_API"
1930,1,"Gross value added of corporate business",48178,"A451RC","6","T11400","BEA_API"
1931,1,"Gross value added of corporate business",37846,"A451RC","6","T11400","BEA_API"
1932,1,"Gross value added of corporate business",27861,"A451RC","6","T11400","BEA_API"
1933,1,"Gross value added of corporate business",26876,"A451RC","6","T11400","BEA_API"
1934,1,"Gross value added of corporate business",33500,"A451RC","6","T11400","BEA_API"
1935,1,"Gross value added of corporate business",37147,"A451RC","6","T11400","BEA_API"
1936,1,"Gross value added of corporate business",42724,"A451RC","6","T11400","BEA_API"
1937,1,"Gross value added of corporate business",48339,"A451RC","6","T11400","BEA_API"
1938,1,"Gross value added of corporate business",43000,"A451RC","6","T11400","BEA_API"
1939,1,"Gross value added of corporate business",47323,"A451RC","6","T11400","BEA_API"
1940,1,"Gross value added of corporate business",54105,"A451RC","6","T11400","BEA_API"
1941,1,"Gross value added of corporate business",69955,"A451RC","6","T11400","BEA_API"
1942,1,"Gross value added of corporate business",87478,"A451RC","6","T11400","BEA_API"
1943,1,"Gross value added of corporate business",103482,"A451RC","6","T11400","BEA_API"
1944,1,"Gross value added of corporate business",107266,"A451RC","6","T11400","BEA_API"
1945,1,"Gross value added of corporate business",100821,"A451RC","6","T11400","BEA_API"
1946,1,"Gross value added of corporate business",105807,"A451RC","6","T11400","BEA_API"
1947,1,"Gross value added of corporate business",127503,"A451RC","6","T11400","BEA_API"
1948,1,"Gross value added of corporate business",146063,"A451RC","6","T11400","BEA_API"
1949,1,"Gross value added of corporate business",143022,"A451RC","6","T11400","BEA_API"
1950,1,"Gross value added of corporate business",162114,"A451RC","6","T11400","BEA_API"
1951,1,"Gross value added of corporate business",185791,"A451RC","6","T11400","BEA_API"
1952,1,"Gross value added of corporate business",195027,"A451RC","6","T11400","BEA_API"
1953,1,"Gross value added of corporate business",209184,"A451RC","6","T11400","BEA_API"
1954,1,"Gross value added of corporate business",206865,"A451RC","6","T11400","BEA_API"
1955,1,"Gross value added of corporate business",233051,"A451RC","6","T11400","BEA_API"
1956,1,"Gross value added of corporate business",250053,"A451RC","6","T11400","BEA_API"
1957,1,"Gross value added of corporate business",261661,"A451RC","6","T11400","BEA_API"
1958,1,"Gross value added of corporate business",256831,"A451RC","6","T11400","BEA_API"
1959,1,"Gross value added of corporate business",287446,"A451RC","6","T11400","BEA_API"
1960,1,"Gross value added of corporate business",299879,"A451RC","6","T11400","BEA_API"
1961,1,"Gross value added of corporate business",308729,"A451RC","6","T11400","BEA_API"
1962,1,"Gross value added of corporate business",335950,"A451RC","6","T11400","BEA_API"
1963,1,"Gross value added of corporate business",357362,"A451RC","6","T11400","BEA_API"
1964,1,"Gross value added of corporate business",385982,"A451RC","6","T11400","BEA_API"
1965,1,"Gross value added of corporate business",423777,"A451RC","6","T11400","BEA_API"
1966,1,"Gross value added of corporate business",465090,"A451RC","6","T11400","BEA_API"
1967,1,"Gross value added of corporate business",491172,"A451RC","6","T11400","BEA_API"
1968,1,"Gross value added of corporate business",542111,"A451RC","6","T11400","BEA_API"
1969,1,"Gross value added of corporate business",590653,"A451RC","6","T11400","BEA_API"
1970,1,"Gross value added of corporate business",612127,"A451RC","6","T11400","BEA_API"
1971,1,"Gross value added of corporate business",660922,"A451RC","6","T11400","BEA_API"
1972,1,"Gross value added of corporate business",732902,"A451RC","6","T11400","BEA_API"
1973,1,"Gross value added of corporate business",820208,"A451RC","6","T11400","BEA_API"
1974,1,"Gross value added of corporate business",889579,"A451RC","6","T11400","BEA_API"
1975,1,"Gross value added of corporate business",965545,"A451RC","6","T11400","BEA_API"
1976,1,"Gross value added of corporate business",1087308,"A451RC","6","T11400","BEA_API"
1977,1,"Gross value added of corporate business",1232519,"A451RC","6","T11400","BEA_API"
1978,1,"Gross value added of corporate business",1406890,"A451RC","6","T11400","BEA_API"
1979,1,"Gross value added of corporate business",1564355,"A451RC","6","T11400","BEA_API"
1980,1,"Gross value added of corporate business",1702381,"A451RC","6","T11400","BEA_API"
1981,1,"Gross value added of corporate business",1935130,"A451RC","6","T11400","BEA_API"
1982,1,"Gross value added of corporate business",2018565,"A451RC","6","T11400","BEA_API"
1983,1,"Gross value added of corporate business",2172454,"A451RC","6","T11400","BEA_API"
1984,1,"Gross value added of corporate business",2434777,"A451RC","6","T11400","BEA_API"
1985,1,"Gross value added of corporate business",2601493,"A451RC","6","T11400","BEA_API"
1986,1,"Gross value added of corporate business",2706772,"A451RC","6","T11400","BEA_API"
1987,1,"Gross value added of corporate business",2895133,"A451RC","6","T11400","BEA_API"
1988,1,"Gross value added of corporate business",3142537,"A451RC","6","T11400","BEA_API"
1989,1,"Gross value added of corporate business",3320147,"A451RC","6","T11400","BEA_API"
1990,1,"Gross value added of corporate business",3467335,"A451RC","6","T11400","BEA_API"
1991,1,"Gross value added of corporate business",3554697,"A451RC","6","T11400","BEA_API"
1992,1,"Gross value added of corporate business",3742365,"A451RC","6","T11400","BEA_API"
1993,1,"Gross value added of corporate business",3918863,"A451RC","6","T11400","BEA_API"
1994,1,"Gross value added of corporate business",4210085,"A451RC","6","T11400","BEA_API"
1995,1,"Gross value added of corporate business",4474232,"A451RC","6","T11400","BEA_API"
1996,1,"Gross value added of corporate business",4770205,"A451RC","6","T11400","BEA_API"
1997,1,"Gross value added of corporate business",5143154,"A451RC","6","T11400","BEA_API"
1998,1,"Gross value added of corporate business",5474446,"A451RC","6","T11400","BEA_API"
1999,1,"Gross value added of corporate business",5802061,"A451RC","6","T11400","BEA_API"
2000,1,"Gross value added of corporate business",6216190,"A451RC","6","T11400","BEA_API"
2001,1,"Gross value added of corporate business",6202593,"A451RC","6","T11400","BEA_API"
2002,1,"Gross value added of corporate business",6298540,"A451RC","6","T11400","BEA_API"
2003,1,"Gross value added of corporate business",6524950,"A451RC","6","T11400","BEA_API"
2004,1,"Gross value added of corporate business",6960008,"A451RC","6","T11400","BEA_API"
