"year","line_number","line_desc","value","series_code","unit","table_name","source"
1925,1,"Government fixed assets",897,"m1gtotl1es00","6","FAAt703","BEA_API"
1926,1,"Government fixed assets",916,"m1gtotl1es00","6","FAAt703","BEA_API"
1927,1,"Government fixed assets",949,"m1gtotl1es00","6","FAAt703","BEA_API"
1928,1,"Government fixed assets",964,"m1gtotl1es00","6","FAAt703","BEA_API"
1929,1,"Government fixed assets",998,"m1gtotl1es00","6","FAAt703","BEA_API"
1930,1,"Government fixed assets",996,"m1gtotl1es00","6","FAAt703","BEA_API"
1931,1,"Government fixed assets",964,"m1gtotl1es00","6","FAAt703","BEA_API"
1932,1,"Government fixed assets",873,"m1gtotl1es00","6","FAAt703","BEA_API"
1933,1,"Government fixed assets",970,"m1gtotl1es00","6","FAAt703","BEA_API"
1934,1,"Government fixed assets",1142,"m1gtotl1es00","6","FAAt703","BEA_API"
1935,1,"Government fixed assets",1156,"m1gtotl1es00","6","FAAt703","BEA_API"
1936,1,"Government fixed assets",1293,"m1gtotl1es00","6","FAAt703","BEA_API"
1937,1,"Government fixed assets",1396,"m1gtotl1es00","6","FAAt703","BEA_API"
1938,1,"Government fixed assets",1462,"m1gtotl1es00","6","FAAt703","BEA_API"
1939,1,"Government fixed assets",1513,"m1gtotl1es00","6","FAAt703","BEA_API"
1940,1,"Government fixed assets",1601,"m1gtotl1es00","6","FAAt703","BEA_API"
1941,1,"Government fixed assets",2112,"m1gtotl1es00","6","FAAt703","BEA_API"
1942,1,"Government fixed assets",3665,"m1gtotl1es00","6","FAAt703","BEA_API"
1943,1,"Government fixed assets",6492,"m1gtotl1es00","6","FAAt703","BEA_API"
1944,1,"Government fixed assets",9303,"m1gtotl1es00","6","FAAt703","BEA_API"
1945,1,"Government fixed assets",10600,"m1gtotl1es00","6","FAAt703","BEA_API"
1946,1,"Government fixed assets",11444,"m1gtotl1es00","6","FAAt703","BEA_API"
1947,1,"Government fixed assets",11405,"m1gtotl1es00","6","FAAt703","BEA_API"
1948,1,"Government fixed assets",10521,"m1gtotl1es00","6","FAAt703","BEA_API"
1949,1,"Government fixed assets",9686,"m1gtotl1es00","6","FAAt703","BEA_API"
1950,1,"Government fixed assets",9082,"m1gtotl1es00","6","FAAt703","BEA_API"
1951,1,"Government fixed assets",10079,"m1gtotl1es00","6","FAAt703","BEA_API"
1952,1,"Government fixed assets",11147,"m1gtotl1es00","6","FAAt703","BEA_API"
1953,1,"Government fixed assets",12256,"m1gtotl1es00","6","FAAt703","BEA_API"
1954,1,"Government fixed assets",13017,"m1gtotl1es00","6","FAAt703","BEA_API"
1955,1,"Government fixed assets",13861,"m1gtotl1es00","6","FAAt703","BEA_API"
1956,1,"Government fixed assets",15312,"m1gtotl1es00","6","FAAt703","BEA_API"
1957,1,"Government fixed assets",16651,"m1gtotl1es00","6","FAAt703","BEA_API"
1958,1,"Government fixed assets",17542,"m1gtotl1es00","6","FAAt703","BEA_API"
1959,1,"Government fixed assets",18620,"m1gtotl1es00","6","FAAt703","BEA_API"
1960,1,"Government fixed assets",19686,"m1gtotl1es00","6","FAAt703","BEA_API"
1961,1,"Government fixed assets",20820,"m1gtotl1es00","6","FAAt703","BEA_API"
1962,1,"Government fixed assets",22291,"m1gtotl1es00","6","FAAt703","BEA_API"
1963,1,"Government fixed assets",23860,"m1gtotl1es00","6","FAAt703","BEA_API"
1964,1,"Government fixed assets",25118,"m1gtotl1es00","6","FAAt703","BEA_API"
1965,1,"Government fixed assets",26434,"m1gtotl1es00","6","FAAt703","BEA_API"
1966,1,"Government fixed assets",28138,"m1gtotl1es00","6","FAAt703","BEA_API"
1967,1,"Government fixed assets",30226,"m1gtotl1es00","6","FAAt703","BEA_API"
1968,1,"Government fixed assets",32745,"m1gtotl1es00","6","FAAt703","BEA_API"
1969,1,"Government fixed assets",35430,"m1gtotl1es00","6","FAAt703","BEA_API"
1970,1,"Government fixed assets",38564,"m1gtotl1es00","6","FAAt703","BEA_API"
1971,1,"Government fixed assets",41286,"m1gtotl1es00","6","FAAt703","BEA_API"
1972,1,"Government fixed assets",43490,"m1gtotl1es00","6","FAAt703","BEA_API"
1973,1,"Government fixed assets",47010,"m1gtotl1es00","6","FAAt703","BEA_API"
1974,1,"Government fixed assets",53681,"m1gtotl1es00","6","FAAt703","BEA_API"
1975,1,"Government fixed assets",59741,"m1gtotl1es00","6","FAAt703","BEA_API"
1976,1,"Government fixed assets",63757,"m1gtotl1es00","6","FAAt703","BEA_API"
1977,1,"Government fixed assets",68656,"m1gtotl1es00","6","FAAt703","BEA_API"
