"year","line_number","line_desc","value","series_code","unit","table_name","source"
1901,1,"Private nonresidential fixed assets",2051,"i3ntotl1es00","6","FAAt407","BEA_API"
1902,1,"Private nonresidential fixed assets",2533,"i3ntotl1es00","6","FAAt407","BEA_API"
1903,1,"Private nonresidential fixed assets",2751,"i3ntotl1es00","6","FAAt407","BEA_API"
1904,1,"Private nonresidential fixed assets",2492,"i3ntotl1es00","6","FAAt407","BEA_API"
1905,1,"Private nonresidential fixed assets",2646,"i3ntotl1es00","6","FAAt407","BEA_API"
1906,1,"Private nonresidential fixed assets",3183,"i3ntotl1es00","6","FAAt407","BEA_API"
1907,1,"Private nonresidential fixed assets",3614,"i3ntotl1es00","6","FAAt407","BEA_API"
1908,1,"Private nonresidential fixed assets",2827,"i3ntotl1es00","6","FAAt407","BEA_API"
1909,1,"Private nonresidential fixed assets",3297,"i3ntotl1es00","6","FAAt407","BEA_API"
1910,1,"Private nonresidential fixed assets",3805,"i3ntotl1es00","6","FAAt407","BEA_API"
1911,1,"Private nonresidential fixed assets",3617,"i3ntotl1es00","6","FAAt407","BEA_API"
1912,1,"Private nonresidential fixed assets",4253,"i3ntotl1es00","6","FAAt407","BEA_API"
1913,1,"Private nonresidential fixed assets",4477,"i3ntotl1es00","6","FAAt407","BEA_API"
1914,1,"Private nonresidential fixed assets",3610,"i3ntotl1es00","6","FAAt407","BEA_API"
1915,1,"Private nonresidential fixed assets",3469,"i3ntotl1es00","6","FAAt407","BEA_API"
1916,1,"Private nonresidential fixed assets",4948,"i3ntotl1es00","6","FAAt407","BEA_API"
1917,1,"Private nonresidential fixed assets",6473,"i3ntotl1es00","6","FAAt407","BEA_API"
1918,1,"Private nonresidential fixed assets",7874,"i3ntotl1es00","6","FAAt407","BEA_API"
1919,1,"Private nonresidential fixed assets",8701,"i3ntotl1es00","6","FAAt407","BEA_API"
1920,1,"Private nonresidential fixed assets",10719,"i3ntotl1es00","6","FAAt407","BEA_API"
1921,1,"Private nonresidential fixed assets",7751,"i3ntotl1es00","6","FAAt407","BEA_API"
1922,1,"Private nonresidential fixed assets",8196,"i3ntotl1es00","6","FAAt407","BEA_API"
1923,1,"Private nonresidential fixed assets",10785,"i3ntotl1es00","6","FAAt407","BEA_API"
1924,1,"Private nonresidential fixed assets",9165,"i3ntotl1es00","6","FAAt407","BEA_API"
1925,1,"Private nonresidential fixed assets",11004,"i3ntotl1es00","6","FAAt407","BEA_API"
1926,1,"Private nonresidential fixed assets",11087,"i3ntotl1es00","6","FAAt407","BEA_API"
1927,1,"Private nonresidential fixed assets",10708,"i3ntotl1es00","6","FAAt407","BEA_API"
1928,1,"Private nonresidential fixed assets",10855,"i3ntotl1es00","6","FAAt407","BEA_API"
1929,1,"Private nonresidential fixed assets",11764,"i3ntotl1es00","6","FAAt407","BEA_API"
1930,1,"Private nonresidential fixed assets",9686,"i3ntotl1es00","6","FAAt407","BEA_API"
1931,1,"Private nonresidential fixed assets",6329,"i3ntotl1es00","6","FAAt407","BEA_API"
1932,1,"Private nonresidential fixed assets",3889,"i3ntotl1es00","6","FAAt407","BEA_API"
