"year","line_number","line_desc","value","series_code","unit","table_name","source"
1925,1,"Private nonresidential fixed assets",6424,"m1ntotl1es00","6","FAAt404","BEA_API"
1926,1,"Private nonresidential fixed assets",6887,"m1ntotl1es00","6","FAAt404","BEA_API"
1927,1,"Private nonresidential fixed assets",7124,"m1ntotl1es00","6","FAAt404","BEA_API"
1928,1,"Private nonresidential fixed assets",7301,"m1ntotl1es00","6","FAAt404","BEA_API"
1929,1,"Private nonresidential fixed assets",7507,"m1ntotl1es00","6","FAAt404","BEA_API"
1930,1,"Private nonresidential fixed assets",7336,"m1ntotl1es00","6","FAAt404","BEA_API"
1931,1,"Private nonresidential fixed assets",6840,"m1ntotl1es00","6","FAAt404","BEA_API"
1932,1,"Private nonresidential fixed assets",6085,"m1ntotl1es00","6","FAAt404","BEA_API"
1933,1,"Private nonresidential fixed assets",5695,"m1ntotl1es00","6","FAAt404","BEA_API"
1934,1,"Private nonresidential fixed assets",5795,"m1ntotl1es00","6","FAAt404","BEA_API"
1935,1,"Private nonresidential fixed assets",5844,"m1ntotl1es00","6","FAAt404","BEA_API"
1936,1,"Private nonresidential fixed assets",5956,"m1ntotl1es00","6","FAAt404","BEA_API"
1937,1,"Private nonresidential fixed assets",6647,"m1ntotl1es00","6","FAAt404","BEA_API"
1938,1,"Private nonresidential fixed assets",6797,"m1ntotl1es00","6","FAAt404","BEA_API"
1939,1,"Private nonresidential fixed assets",6788,"m1ntotl1es00","6","FAAt404","BEA_API"
1940,1,"Private nonresidential fixed assets",7087,"m1ntotl1es00","6","FAAt404","BEA_API"
1941,1,"Private nonresidential fixed assets",7856,"m1ntotl1es00","6","FAAt404","BEA_API"
1942,1,"Private nonresidential fixed assets",8987,"m1ntotl1es00","6","FAAt404","BEA_API"
1943,1,"Private nonresidential fixed assets",9115,"m1ntotl1es00","6","FAAt404","BEA_API"
1944,1,"Private nonresidential fixed assets",9412,"m1ntotl1es00","6","FAAt404","BEA_API"
1945,1,"Private nonresidential fixed assets",9704,"m1ntotl1es00","6","FAAt404","BEA_API"
1946,1,"Private nonresidential fixed assets",11133,"m1ntotl1es00","6","FAAt404","BEA_API"
1947,1,"Private nonresidential fixed assets",13814,"m1ntotl1es00","6","FAAt404","BEA_API"
1948,1,"Private nonresidential fixed assets",16365,"m1ntotl1es00","6","FAAt404","BEA_API"
1949,1,"Private nonresidential fixed assets",17884,"m1ntotl1es00","6","FAAt404","BEA_API"
1950,1,"Private nonresidential fixed assets",19286,"m1ntotl1es00","6","FAAt404","BEA_API"
1951,1,"Private nonresidential fixed assets",22071,"m1ntotl1es00","6","FAAt404","BEA_API"
1952,1,"Private nonresidential fixed assets",23465,"m1ntotl1es00","6","FAAt404","BEA_API"
1953,1,"Private nonresidential fixed assets",24960,"m1ntotl1es00","6","FAAt404","BEA_API"
1954,1,"Private nonresidential fixed assets",26266,"m1ntotl1es00","6","FAAt404","BEA_API"
1955,1,"Private nonresidential fixed assets",27834,"m1ntotl1es00","6","FAAt404","BEA_API"
1956,1,"Private nonresidential fixed assets",31101,"m1ntotl1es00","6","FAAt404","BEA_API"
1957,1,"Private nonresidential fixed assets",34199,"m1ntotl1es00","6","FAAt404","BEA_API"
1958,1,"Private nonresidential fixed assets",36551,"m1ntotl1es00","6","FAAt404","BEA_API"
1959,1,"Private nonresidential fixed assets",38036,"m1ntotl1es00","6","FAAt404","BEA_API"
1960,1,"Private nonresidential fixed assets",38940,"m1ntotl1es00","6","FAAt404","BEA_API"
1961,1,"Private nonresidential fixed assets",40109,"m1ntotl1es00","6","FAAt404","BEA_API"
1962,1,"Private nonresidential fixed assets",41686,"m1ntotl1es00","6","FAAt404","BEA_API"
1963,1,"Private nonresidential fixed assets",43630,"m1ntotl1es00","6","FAAt404","BEA_API"
1964,1,"Private nonresidential fixed assets",46123,"m1ntotl1es00","6","FAAt404","BEA_API"
1965,1,"Private nonresidential fixed assets",49572,"m1ntotl1es00","6","FAAt404","BEA_API"
1966,1,"Private nonresidential fixed assets",54208,"m1ntotl1es00","6","FAAt404","BEA_API"
1967,1,"Private nonresidential fixed assets",59421,"m1ntotl1es00","6","FAAt404","BEA_API"
1968,1,"Private nonresidential fixed assets",65379,"m1ntotl1es00","6","FAAt404","BEA_API"
1969,1,"Private nonresidential fixed assets",72375,"m1ntotl1es00","6","FAAt404","BEA_API"
1970,1,"Private nonresidential fixed assets",79890,"m1ntotl1es00","6","FAAt404","BEA_API"
1971,1,"Private nonresidential fixed assets",87265,"m1ntotl1es00","6","FAAt404","BEA_API"
1972,1,"Private nonresidential fixed assets",94651,"m1ntotl1es00","6","FAAt404","BEA_API"
1973,1,"Private nonresidential fixed assets",105236,"m1ntotl1es00","6","FAAt404","BEA_API"
1974,1,"Private nonresidential fixed assets",122815,"m1ntotl1es00","6","FAAt404","BEA_API"
1975,1,"Private nonresidential fixed assets",144510,"m1ntotl1es00","6","FAAt404","BEA_API"
