"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Government fixed assets",897,"govt_dep_cc","FAAt703","API"
1926,1,"Government fixed assets",916,"govt_dep_cc","FAAt703","API"
1927,1,"Government fixed assets",949,"govt_dep_cc","FAAt703","API"
1928,1,"Government fixed assets",964,"govt_dep_cc","FAAt703","API"
1929,1,"Government fixed assets",998,"govt_dep_cc","FAAt703","API"
1930,1,"Government fixed assets",996,"govt_dep_cc","FAAt703","API"
1931,1,"Government fixed assets",964,"govt_dep_cc","FAAt703","API"
1932,1,"Government fixed assets",873,"govt_dep_cc","FAAt703","API"
1933,1,"Government fixed assets",970,"govt_dep_cc","FAAt703","API"
1934,1,"Government fixed assets",1142,"govt_dep_cc","FAAt703","API"
1935,1,"Government fixed assets",1156,"govt_dep_cc","FAAt703","API"
1936,1,"Government fixed assets",1293,"govt_dep_cc","FAAt703","API"
1937,1,"Government fixed assets",1396,"govt_dep_cc","FAAt703","API"
1938,1,"Government fixed assets",1462,"govt_dep_cc","FAAt703","API"
1939,1,"Government fixed assets",1513,"govt_dep_cc","FAAt703","API"
1940,1,"Government fixed assets",1601,"govt_dep_cc","FAAt703","API"
1941,1,"Government fixed assets",2112,"govt_dep_cc","FAAt703","API"
1942,1,"Government fixed assets",3665,"govt_dep_cc","FAAt703","API"
1943,1,"Government fixed assets",6492,"govt_dep_cc","FAAt703","API"
1944,1,"Government fixed assets",9303,"govt_dep_cc","FAAt703","API"
1945,1,"Government fixed assets",10600,"govt_dep_cc","FAAt703","API"
1946,1,"Government fixed assets",11444,"govt_dep_cc","FAAt703","API"
1947,1,"Government fixed assets",11405,"govt_dep_cc","FAAt703","API"
1948,1,"Government fixed assets",10521,"govt_dep_cc","FAAt703","API"
1949,1,"Government fixed assets",9686,"govt_dep_cc","FAAt703","API"
1950,1,"Government fixed assets",9082,"govt_dep_cc","FAAt703","API"
1951,1,"Government fixed assets",10079,"govt_dep_cc","FAAt703","API"
1952,1,"Government fixed assets",11147,"govt_dep_cc","FAAt703","API"
1953,1,"Government fixed assets",12256,"govt_dep_cc","FAAt703","API"
1954,1,"Government fixed assets",13017,"govt_dep_cc","FAAt703","API"
1955,1,"Government fixed assets",13861,"govt_dep_cc","FAAt703","API"
1956,1,"Government fixed assets",15312,"govt_dep_cc","FAAt703","API"
1957,1,"Government fixed assets",16651,"govt_dep_cc","FAAt703","API"
1958,1,"Government fixed assets",17542,"govt_dep_cc","FAAt703","API"
1959,1,"Government fixed assets",18620,"govt_dep_cc","FAAt703","API"
1960,1,"Government fixed assets",19686,"govt_dep_cc","FAAt703","API"
1961,1,"Government fixed assets",20820,"govt_dep_cc","FAAt703","API"
1962,1,"Government fixed assets",22291,"govt_dep_cc","FAAt703","API"
1963,1,"Government fixed assets",23860,"govt_dep_cc","FAAt703","API"
1964,1,"Government fixed assets",25118,"govt_dep_cc","FAAt703","API"
1965,1,"Government fixed assets",26434,"govt_dep_cc","FAAt703","API"
1966,1,"Government fixed assets",28138,"govt_dep_cc","FAAt703","API"
1967,1,"Government fixed assets",30226,"govt_dep_cc","FAAt703","API"
1968,1,"Government fixed assets",32745,"govt_dep_cc","FAAt703","API"
1969,1,"Government fixed assets",35430,"govt_dep_cc","FAAt703","API"
1970,1,"Government fixed assets",38564,"govt_dep_cc","FAAt703","API"
1971,1,"Government fixed assets",41286,"govt_dep_cc","FAAt703","API"
1972,1,"Government fixed assets",43490,"govt_dep_cc","FAAt703","API"
1973,1,"Government fixed assets",47010,"govt_dep_cc","FAAt703","API"
1974,1,"Government fixed assets",53681,"govt_dep_cc","FAAt703","API"
1975,1,"Government fixed assets",59741,"govt_dep_cc","FAAt703","API"
1976,1,"Government fixed assets",63757,"govt_dep_cc","FAAt703","API"
1977,1,"Government fixed assets",68656,"govt_dep_cc","FAAt703","API"
1978,1,"Government fixed assets",74959,"govt_dep_cc","FAAt703","API"
1979,1,"Government fixed assets",83106,"govt_dep_cc","FAAt703","API"
1980,1,"Government fixed assets",93380,"govt_dep_cc","FAAt703","API"
1981,1,"Government fixed assets",105237,"govt_dep_cc","FAAt703","API"
1982,1,"Government fixed assets",116611,"govt_dep_cc","FAAt703","API"
1983,1,"Government fixed assets",124328,"govt_dep_cc","FAAt703","API"
1984,1,"Government fixed assets",135189,"govt_dep_cc","FAAt703","API"
1985,1,"Government fixed assets",143832,"govt_dep_cc","FAAt703","API"
1986,1,"Government fixed assets",153531,"govt_dep_cc","FAAt703","API"
1987,1,"Government fixed assets",164074,"govt_dep_cc","FAAt703","API"
1988,1,"Government fixed assets",176482,"govt_dep_cc","FAAt703","API"
1989,1,"Government fixed assets",188604,"govt_dep_cc","FAAt703","API"
1990,1,"Government fixed assets",200111,"govt_dep_cc","FAAt703","API"
1991,1,"Government fixed assets",210901,"govt_dep_cc","FAAt703","API"
1992,1,"Government fixed assets",217349,"govt_dep_cc","FAAt703","API"
1993,1,"Government fixed assets",225055,"govt_dep_cc","FAAt703","API"
1994,1,"Government fixed assets",233012,"govt_dep_cc","FAAt703","API"
1995,1,"Government fixed assets",241571,"govt_dep_cc","FAAt703","API"
1996,1,"Government fixed assets",246177,"govt_dep_cc","FAAt703","API"
1997,1,"Government fixed assets",251294,"govt_dep_cc","FAAt703","API"
1998,1,"Government fixed assets",257510,"govt_dep_cc","FAAt703","API"
1999,1,"Government fixed assets",266747,"govt_dep_cc","FAAt703","API"
2000,1,"Government fixed assets",279350,"govt_dep_cc","FAAt703","API"
2001,1,"Government fixed assets",288086,"govt_dep_cc","FAAt703","API"
2002,1,"Government fixed assets",296253,"govt_dep_cc","FAAt703","API"
2003,1,"Government fixed assets",307186,"govt_dep_cc","FAAt703","API"
2004,1,"Government fixed assets",324472,"govt_dep_cc","FAAt703","API"
2005,1,"Government fixed assets",348298,"govt_dep_cc","FAAt703","API"
2006,1,"Government fixed assets",372136,"govt_dep_cc","FAAt703","API"
2007,1,"Government fixed assets",399415,"govt_dep_cc","FAAt703","API"
2008,1,"Government fixed assets",426962,"govt_dep_cc","FAAt703","API"
2009,1,"Government fixed assets",442754,"govt_dep_cc","FAAt703","API"
2010,1,"Government fixed assets",457105,"govt_dep_cc","FAAt703","API"
2011,1,"Government fixed assets",477047,"govt_dep_cc","FAAt703","API"
2012,1,"Government fixed assets",493485,"govt_dep_cc","FAAt703","API"
2013,1,"Government fixed assets",504936,"govt_dep_cc","FAAt703","API"
2014,1,"Government fixed assets",518278,"govt_dep_cc","FAAt703","API"
2015,1,"Government fixed assets",524994,"govt_dep_cc","FAAt703","API"
2016,1,"Government fixed assets",532571,"govt_dep_cc","FAAt703","API"
2017,1,"Government fixed assets",549942,"govt_dep_cc","FAAt703","API"
2018,1,"Government fixed assets",575317,"govt_dep_cc","FAAt703","API"
2019,1,"Government fixed assets",597649,"govt_dep_cc","FAAt703","API"
2020,1,"Government fixed assets",616997,"govt_dep_cc","FAAt703","API"
2021,1,"Government fixed assets",658406,"govt_dep_cc","FAAt703","API"
2022,1,"Government fixed assets",728768,"govt_dep_cc","FAAt703","API"
2023,1,"Government fixed assets",770341,"govt_dep_cc","FAAt703","API"
2024,1,"Government fixed assets",816686,"govt_dep_cc","FAAt703","API"
