"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Private nonresidential fixed assets",9.5,"private_net_chain","FAAt402","API"
1926,1,"Private nonresidential fixed assets",9.814,"private_net_chain","FAAt402","API"
1927,1,"Private nonresidential fixed assets",10.083,"private_net_chain","FAAt402","API"
1928,1,"Private nonresidential fixed assets",10.353,"private_net_chain","FAAt402","API"
1929,1,"Private nonresidential fixed assets",10.683,"private_net_chain","FAAt402","API"
1930,1,"Private nonresidential fixed assets",10.876,"private_net_chain","FAAt402","API"
1931,1,"Private nonresidential fixed assets",10.833,"private_net_chain","FAAt402","API"
1932,1,"Private nonresidential fixed assets",10.624,"private_net_chain","FAAt402","API"
1933,1,"Private nonresidential fixed assets",10.402,"private_net_chain","FAAt402","API"
1934,1,"Private nonresidential fixed assets",10.261,"private_net_chain","FAAt402","API"
1935,1,"Private nonresidential fixed assets",10.2,"private_net_chain","FAAt402","API"
1936,1,"Private nonresidential fixed assets",10.264,"private_net_chain","FAAt402","API"
1937,1,"Private nonresidential fixed assets",10.413,"private_net_chain","FAAt402","API"
1938,1,"Private nonresidential fixed assets",10.411,"private_net_chain","FAAt402","API"
1939,1,"Private nonresidential fixed assets",10.449,"private_net_chain","FAAt402","API"
1940,1,"Private nonresidential fixed assets",10.583,"private_net_chain","FAAt402","API"
1941,1,"Private nonresidential fixed assets",10.798,"private_net_chain","FAAt402","API"
1942,1,"Private nonresidential fixed assets",10.741,"private_net_chain","FAAt402","API"
1943,1,"Private nonresidential fixed assets",10.61,"private_net_chain","FAAt402","API"
1944,1,"Private nonresidential fixed assets",10.593,"private_net_chain","FAAt402","API"
1945,1,"Private nonresidential fixed assets",10.771,"private_net_chain","FAAt402","API"
1946,1,"Private nonresidential fixed assets",11.194,"private_net_chain","FAAt402","API"
1947,1,"Private nonresidential fixed assets",11.713,"private_net_chain","FAAt402","API"
1948,1,"Private nonresidential fixed assets",12.237,"private_net_chain","FAAt402","API"
1949,1,"Private nonresidential fixed assets",12.616,"private_net_chain","FAAt402","API"
1950,1,"Private nonresidential fixed assets",13.058,"private_net_chain","FAAt402","API"
1951,1,"Private nonresidential fixed assets",13.512,"private_net_chain","FAAt402","API"
1952,1,"Private nonresidential fixed assets",13.934,"private_net_chain","FAAt402","API"
1953,1,"Private nonresidential fixed assets",14.431,"private_net_chain","FAAt402","API"
1954,1,"Private nonresidential fixed assets",14.862,"private_net_chain","FAAt402","API"
1955,1,"Private nonresidential fixed assets",15.391,"private_net_chain","FAAt402","API"
1956,1,"Private nonresidential fixed assets",15.987,"private_net_chain","FAAt402","API"
1957,1,"Private nonresidential fixed assets",16.565,"private_net_chain","FAAt402","API"
1958,1,"Private nonresidential fixed assets",16.941,"private_net_chain","FAAt402","API"
1959,1,"Private nonresidential fixed assets",17.389,"private_net_chain","FAAt402","API"
1960,1,"Private nonresidential fixed assets",17.905,"private_net_chain","FAAt402","API"
1961,1,"Private nonresidential fixed assets",18.397,"private_net_chain","FAAt402","API"
1962,1,"Private nonresidential fixed assets",18.986,"private_net_chain","FAAt402","API"
1963,1,"Private nonresidential fixed assets",19.616,"private_net_chain","FAAt402","API"
1964,1,"Private nonresidential fixed assets",20.39,"private_net_chain","FAAt402","API"
1965,1,"Private nonresidential fixed assets",21.425,"private_net_chain","FAAt402","API"
1966,1,"Private nonresidential fixed assets",22.635,"private_net_chain","FAAt402","API"
1967,1,"Private nonresidential fixed assets",23.715,"private_net_chain","FAAt402","API"
1968,1,"Private nonresidential fixed assets",24.815,"private_net_chain","FAAt402","API"
1969,1,"Private nonresidential fixed assets",25.994,"private_net_chain","FAAt402","API"
1970,1,"Private nonresidential fixed assets",27.022,"private_net_chain","FAAt402","API"
1971,1,"Private nonresidential fixed assets",27.949,"private_net_chain","FAAt402","API"
1972,1,"Private nonresidential fixed assets",29.008,"private_net_chain","FAAt402","API"
1973,1,"Private nonresidential fixed assets",30.331,"private_net_chain","FAAt402","API"
1974,1,"Private nonresidential fixed assets",31.538,"private_net_chain","FAAt402","API"
1975,1,"Private nonresidential fixed assets",32.352,"private_net_chain","FAAt402","API"
1976,1,"Private nonresidential fixed assets",33.233,"private_net_chain","FAAt402","API"
1977,1,"Private nonresidential fixed assets",34.332,"private_net_chain","FAAt402","API"
1978,1,"Private nonresidential fixed assets",35.761,"private_net_chain","FAAt402","API"
1979,1,"Private nonresidential fixed assets",37.399,"private_net_chain","FAAt402","API"
1980,1,"Private nonresidential fixed assets",38.861,"private_net_chain","FAAt402","API"
1981,1,"Private nonresidential fixed assets",40.427,"private_net_chain","FAAt402","API"
1982,1,"Private nonresidential fixed assets",41.664,"private_net_chain","FAAt402","API"
1983,1,"Private nonresidential fixed assets",42.728,"private_net_chain","FAAt402","API"
1984,1,"Private nonresidential fixed assets",44.341,"private_net_chain","FAAt402","API"
1985,1,"Private nonresidential fixed assets",46.07,"private_net_chain","FAAt402","API"
1986,1,"Private nonresidential fixed assets",47.485,"private_net_chain","FAAt402","API"
1987,1,"Private nonresidential fixed assets",48.76,"private_net_chain","FAAt402","API"
1988,1,"Private nonresidential fixed assets",50.092,"private_net_chain","FAAt402","API"
1989,1,"Private nonresidential fixed assets",51.483,"private_net_chain","FAAt402","API"
1990,1,"Private nonresidential fixed assets",52.812,"private_net_chain","FAAt402","API"
1991,1,"Private nonresidential fixed assets",53.761,"private_net_chain","FAAt402","API"
1992,1,"Private nonresidential fixed assets",54.648,"private_net_chain","FAAt402","API"
1993,1,"Private nonresidential fixed assets",55.81,"private_net_chain","FAAt402","API"
1994,1,"Private nonresidential fixed assets",57.134,"private_net_chain","FAAt402","API"
1995,1,"Private nonresidential fixed assets",58.786,"private_net_chain","FAAt402","API"
1996,1,"Private nonresidential fixed assets",60.716,"private_net_chain","FAAt402","API"
1997,1,"Private nonresidential fixed assets",62.947,"private_net_chain","FAAt402","API"
1998,1,"Private nonresidential fixed assets",65.47,"private_net_chain","FAAt402","API"
1999,1,"Private nonresidential fixed assets",68.203,"private_net_chain","FAAt402","API"
2000,1,"Private nonresidential fixed assets",71.152,"private_net_chain","FAAt402","API"
2001,1,"Private nonresidential fixed assets",73.336,"private_net_chain","FAAt402","API"
2002,1,"Private nonresidential fixed assets",74.707,"private_net_chain","FAAt402","API"
2003,1,"Private nonresidential fixed assets",76.027,"private_net_chain","FAAt402","API"
2004,1,"Private nonresidential fixed assets",77.463,"private_net_chain","FAAt402","API"
2005,1,"Private nonresidential fixed assets",79.087,"private_net_chain","FAAt402","API"
2006,1,"Private nonresidential fixed assets",81.139,"private_net_chain","FAAt402","API"
2007,1,"Private nonresidential fixed assets",83.421,"private_net_chain","FAAt402","API"
2008,1,"Private nonresidential fixed assets",85.418,"private_net_chain","FAAt402","API"
2009,1,"Private nonresidential fixed assets",85.965,"private_net_chain","FAAt402","API"
2010,1,"Private nonresidential fixed assets",86.76,"private_net_chain","FAAt402","API"
2011,1,"Private nonresidential fixed assets",88.024,"private_net_chain","FAAt402","API"
2012,1,"Private nonresidential fixed assets",89.707,"private_net_chain","FAAt402","API"
2013,1,"Private nonresidential fixed assets",91.577,"private_net_chain","FAAt402","API"
2014,1,"Private nonresidential fixed assets",93.842,"private_net_chain","FAAt402","API"
2015,1,"Private nonresidential fixed assets",96.012,"private_net_chain","FAAt402","API"
2016,1,"Private nonresidential fixed assets",97.996,"private_net_chain","FAAt402","API"
