"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Private nonresidential fixed assets",126977,"private_net_cc","FAAt401","API"
1926,1,"Private nonresidential fixed assets",131537,"private_net_cc","FAAt401","API"
1927,1,"Private nonresidential fixed assets",134175,"private_net_cc","FAAt401","API"
1928,1,"Private nonresidential fixed assets",137774,"private_net_cc","FAAt401","API"
1929,1,"Private nonresidential fixed assets",137070,"private_net_cc","FAAt401","API"
1930,1,"Private nonresidential fixed assets",130220,"private_net_cc","FAAt401","API"
1931,1,"Private nonresidential fixed assets",116244,"private_net_cc","FAAt401","API"
1932,1,"Private nonresidential fixed assets",107642,"private_net_cc","FAAt401","API"
1933,1,"Private nonresidential fixed assets",109278,"private_net_cc","FAAt401","API"
1934,1,"Private nonresidential fixed assets",110648,"private_net_cc","FAAt401","API"
1935,1,"Private nonresidential fixed assets",110315,"private_net_cc","FAAt401","API"
1936,1,"Private nonresidential fixed assets",121360,"private_net_cc","FAAt401","API"
1937,1,"Private nonresidential fixed assets",126498,"private_net_cc","FAAt401","API"
1938,1,"Private nonresidential fixed assets",125187,"private_net_cc","FAAt401","API"
1939,1,"Private nonresidential fixed assets",125500,"private_net_cc","FAAt401","API"
1940,1,"Private nonresidential fixed assets",133587,"private_net_cc","FAAt401","API"
1941,1,"Private nonresidential fixed assets",150956,"private_net_cc","FAAt401","API"
1942,1,"Private nonresidential fixed assets",160521,"private_net_cc","FAAt401","API"
1943,1,"Private nonresidential fixed assets",163319,"private_net_cc","FAAt401","API"
1944,1,"Private nonresidential fixed assets",165236,"private_net_cc","FAAt401","API"
1945,1,"Private nonresidential fixed assets",180207,"private_net_cc","FAAt401","API"
1946,1,"Private nonresidential fixed assets",221007,"private_net_cc","FAAt401","API"
1947,1,"Private nonresidential fixed assets",265725,"private_net_cc","FAAt401","API"
1948,1,"Private nonresidential fixed assets",291557,"private_net_cc","FAAt401","API"
1949,1,"Private nonresidential fixed assets",296671,"private_net_cc","FAAt401","API"
1950,1,"Private nonresidential fixed assets",335868,"private_net_cc","FAAt401","API"
1951,1,"Private nonresidential fixed assets",366226,"private_net_cc","FAAt401","API"
1952,1,"Private nonresidential fixed assets",386310,"private_net_cc","FAAt401","API"
1953,1,"Private nonresidential fixed assets",403718,"private_net_cc","FAAt401","API"
1954,1,"Private nonresidential fixed assets",414924,"private_net_cc","FAAt401","API"
1955,1,"Private nonresidential fixed assets",457052,"private_net_cc","FAAt401","API"
1956,1,"Private nonresidential fixed assets",505534,"private_net_cc","FAAt401","API"
1957,1,"Private nonresidential fixed assets",540636,"private_net_cc","FAAt401","API"
1958,1,"Private nonresidential fixed assets",551356,"private_net_cc","FAAt401","API"
1959,1,"Private nonresidential fixed assets",573959,"private_net_cc","FAAt401","API"
1960,1,"Private nonresidential fixed assets",586872,"private_net_cc","FAAt401","API"
1961,1,"Private nonresidential fixed assets",604328,"private_net_cc","FAAt401","API"
1962,1,"Private nonresidential fixed assets",626795,"private_net_cc","FAAt401","API"
