"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Government fixed assets",38417,"govt_net_cc","FAAt701","API"
1926,1,"Government fixed assets",39000,"govt_net_cc","FAAt701","API"
1927,1,"Government fixed assets",40485,"govt_net_cc","FAAt701","API"
1928,1,"Government fixed assets",40824,"govt_net_cc","FAAt701","API"
1929,1,"Government fixed assets",42708,"govt_net_cc","FAAt701","API"
1930,1,"Government fixed assets",42341,"govt_net_cc","FAAt701","API"
1931,1,"Government fixed assets",40039,"govt_net_cc","FAAt701","API"
1932,1,"Government fixed assets",34744,"govt_net_cc","FAAt701","API"
1933,1,"Government fixed assets",39787,"govt_net_cc","FAAt701","API"
1934,1,"Government fixed assets",47435,"govt_net_cc","FAAt701","API"
1935,1,"Government fixed assets",47721,"govt_net_cc","FAAt701","API"
1936,1,"Government fixed assets",54634,"govt_net_cc","FAAt701","API"
1937,1,"Government fixed assets",58128,"govt_net_cc","FAAt701","API"
1938,1,"Government fixed assets",60704,"govt_net_cc","FAAt701","API"
1939,1,"Government fixed assets",62538,"govt_net_cc","FAAt701","API"
1940,1,"Government fixed assets",66075,"govt_net_cc","FAAt701","API"
1941,1,"Government fixed assets",82658,"govt_net_cc","FAAt701","API"
1942,1,"Government fixed assets",122468,"govt_net_cc","FAAt701","API"
1943,1,"Government fixed assets",161591,"govt_net_cc","FAAt701","API"
1944,1,"Government fixed assets",183988,"govt_net_cc","FAAt701","API"
1945,1,"Government fixed assets",201825,"govt_net_cc","FAAt701","API"
1946,1,"Government fixed assets",205567,"govt_net_cc","FAAt701","API"
1947,1,"Government fixed assets",217519,"govt_net_cc","FAAt701","API"
1948,1,"Government fixed assets",217840,"govt_net_cc","FAAt701","API"
1949,1,"Government fixed assets",203931,"govt_net_cc","FAAt701","API"
1950,1,"Government fixed assets",216205,"govt_net_cc","FAAt701","API"
1951,1,"Government fixed assets",243401,"govt_net_cc","FAAt701","API"
1952,1,"Government fixed assets",261037,"govt_net_cc","FAAt701","API"
1953,1,"Government fixed assets",268009,"govt_net_cc","FAAt701","API"
1954,1,"Government fixed assets",284736,"govt_net_cc","FAAt701","API"
1955,1,"Government fixed assets",308296,"govt_net_cc","FAAt701","API"
1956,1,"Government fixed assets",343017,"govt_net_cc","FAAt701","API"
1957,1,"Government fixed assets",360537,"govt_net_cc","FAAt701","API"
1958,1,"Government fixed assets",381025,"govt_net_cc","FAAt701","API"
1959,1,"Government fixed assets",393056,"govt_net_cc","FAAt701","API"
1960,1,"Government fixed assets",409472,"govt_net_cc","FAAt701","API"
1961,1,"Government fixed assets",432451,"govt_net_cc","FAAt701","API"
1962,1,"Government fixed assets",462292,"govt_net_cc","FAAt701","API"
1963,1,"Government fixed assets",488620,"govt_net_cc","FAAt701","API"
1964,1,"Government fixed assets",515547,"govt_net_cc","FAAt701","API"
1965,1,"Government fixed assets",551245,"govt_net_cc","FAAt701","API"
1966,1,"Government fixed assets",597548,"govt_net_cc","FAAt701","API"
1967,1,"Government fixed assets",648590,"govt_net_cc","FAAt701","API"
1968,1,"Government fixed assets",706409,"govt_net_cc","FAAt701","API"
