"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Government fixed assets",5.167,"govt_net_chain","FAAt702","API"
1926,1,"Government fixed assets",5.371,"govt_net_chain","FAAt702","API"
1927,1,"Government fixed assets",5.616,"govt_net_chain","FAAt702","API"
1928,1,"Government fixed assets",5.88,"govt_net_chain","FAAt702","API"
1929,1,"Government fixed assets",6.32,"govt_net_chain","FAAt702","API"
1930,1,"Government fixed assets",6.675,"govt_net_chain","FAAt702","API"
1931,1,"Government fixed assets",7.047,"govt_net_chain","FAAt702","API"
1932,1,"Government fixed assets",7.344,"govt_net_chain","FAAt702","API"
1933,1,"Government fixed assets",7.551,"govt_net_chain","FAAt702","API"
1934,1,"Government fixed assets",7.799,"govt_net_chain","FAAt702","API"
1935,1,"Government fixed assets",8.079,"govt_net_chain","FAAt702","API"
1936,1,"Government fixed assets",8.543,"govt_net_chain","FAAt702","API"
1937,1,"Government fixed assets",8.931,"govt_net_chain","FAAt702","API"
1938,1,"Government fixed assets",9.368,"govt_net_chain","FAAt702","API"
1939,1,"Government fixed assets",9.861,"govt_net_chain","FAAt702","API"
1940,1,"Government fixed assets",10.329,"govt_net_chain","FAAt702","API"
1941,1,"Government fixed assets",11.773,"govt_net_chain","FAAt702","API"
1942,1,"Government fixed assets",15.62,"govt_net_chain","FAAt702","API"
1943,1,"Government fixed assets",19.953,"govt_net_chain","FAAt702","API"
1944,1,"Government fixed assets",23.48,"govt_net_chain","FAAt702","API"
1945,1,"Government fixed assets",24.827,"govt_net_chain","FAAt702","API"
1946,1,"Government fixed assets",23.002,"govt_net_chain","FAAt702","API"
1947,1,"Government fixed assets",21.412,"govt_net_chain","FAAt702","API"
1948,1,"Government fixed assets",20.295,"govt_net_chain","FAAt702","API"
1949,1,"Government fixed assets",19.969,"govt_net_chain","FAAt702","API"
1950,1,"Government fixed assets",19.709,"govt_net_chain","FAAt702","API"
1951,1,"Government fixed assets",20.519,"govt_net_chain","FAAt702","API"
1952,1,"Government fixed assets",21.647,"govt_net_chain","FAAt702","API"
1953,1,"Government fixed assets",22.859,"govt_net_chain","FAAt702","API"
1954,1,"Government fixed assets",23.9,"govt_net_chain","FAAt702","API"
1955,1,"Government fixed assets",24.791,"govt_net_chain","FAAt702","API"
1956,1,"Government fixed assets",25.711,"govt_net_chain","FAAt702","API"
1957,1,"Government fixed assets",26.713,"govt_net_chain","FAAt702","API"
1958,1,"Government fixed assets",27.83,"govt_net_chain","FAAt702","API"
1959,1,"Government fixed assets",29.098,"govt_net_chain","FAAt702","API"
1960,1,"Government fixed assets",30.305,"govt_net_chain","FAAt702","API"
1961,1,"Government fixed assets",31.713,"govt_net_chain","FAAt702","API"
1962,1,"Government fixed assets",33.186,"govt_net_chain","FAAt702","API"
1963,1,"Government fixed assets",34.658,"govt_net_chain","FAAt702","API"
1964,1,"Government fixed assets",36.163,"govt_net_chain","FAAt702","API"
1965,1,"Government fixed assets",37.652,"govt_net_chain","FAAt702","API"
1966,1,"Government fixed assets",39.334,"govt_net_chain","FAAt702","API"
1967,1,"Government fixed assets",41.081,"govt_net_chain","FAAt702","API"
1968,1,"Government fixed assets",42.672,"govt_net_chain","FAAt702","API"
1969,1,"Government fixed assets",44.042,"govt_net_chain","FAAt702","API"
1970,1,"Government fixed assets",45.145,"govt_net_chain","FAAt702","API"
1971,1,"Government fixed assets",45.975,"govt_net_chain","FAAt702","API"
1972,1,"Government fixed assets",46.779,"govt_net_chain","FAAt702","API"
1973,1,"Government fixed assets",47.582,"govt_net_chain","FAAt702","API"
1974,1,"Government fixed assets",48.39,"govt_net_chain","FAAt702","API"
1975,1,"Government fixed assets",49.181,"govt_net_chain","FAAt702","API"
1976,1,"Government fixed assets",49.992,"govt_net_chain","FAAt702","API"
1977,1,"Government fixed assets",50.725,"govt_net_chain","FAAt702","API"
1978,1,"Government fixed assets",51.579,"govt_net_chain","FAAt702","API"
1979,1,"Government fixed assets",52.53,"govt_net_chain","FAAt702","API"
1980,1,"Government fixed assets",53.508,"govt_net_chain","FAAt702","API"
1981,1,"Government fixed assets",54.402,"govt_net_chain","FAAt702","API"
1982,1,"Government fixed assets",55.213,"govt_net_chain","FAAt702","API"
1983,1,"Government fixed assets",56.125,"govt_net_chain","FAAt702","API"
1984,1,"Government fixed assets",57.235,"govt_net_chain","FAAt702","API"
1985,1,"Government fixed assets",58.635,"govt_net_chain","FAAt702","API"
1986,1,"Government fixed assets",60.185,"govt_net_chain","FAAt702","API"
1987,1,"Government fixed assets",61.797,"govt_net_chain","FAAt702","API"
1988,1,"Government fixed assets",63.208,"govt_net_chain","FAAt702","API"
1989,1,"Government fixed assets",64.559,"govt_net_chain","FAAt702","API"
1990,1,"Government fixed assets",66.023,"govt_net_chain","FAAt702","API"
1991,1,"Government fixed assets",67.339,"govt_net_chain","FAAt702","API"
1992,1,"Government fixed assets",68.567,"govt_net_chain","FAAt702","API"
1993,1,"Government fixed assets",69.582,"govt_net_chain","FAAt702","API"
1994,1,"Government fixed assets",70.452,"govt_net_chain","FAAt702","API"
