"year","line_number","line_desc","value","table_label","table_name","source"
1925,1,"Private fixed assets",223353,"private_lf_net_cc","FAAt601","API"
1926,1,"Private fixed assets",231574,"private_lf_net_cc","FAAt601","API"
1927,1,"Private fixed assets",236861,"private_lf_net_cc","FAAt601","API"
1928,1,"Private fixed assets",248565,"private_lf_net_cc","FAAt601","API"
1929,1,"Private fixed assets",251681,"private_lf_net_cc","FAAt601","API"
1930,1,"Private fixed assets",239391,"private_lf_net_cc","FAAt601","API"
1931,1,"Private fixed assets",205434,"private_lf_net_cc","FAAt601","API"
1932,1,"Private fixed assets",187564,"private_lf_net_cc","FAAt601","API"
1933,1,"Private fixed assets",196468,"private_lf_net_cc","FAAt601","API"
1934,1,"Private fixed assets",198572,"private_lf_net_cc","FAAt601","API"
1935,1,"Private fixed assets",199534,"private_lf_net_cc","FAAt601","API"
1936,1,"Private fixed assets",220420,"private_lf_net_cc","FAAt601","API"
1937,1,"Private fixed assets",231723,"private_lf_net_cc","FAAt601","API"
1938,1,"Private fixed assets",231970,"private_lf_net_cc","FAAt601","API"
1939,1,"Private fixed assets",235616,"private_lf_net_cc","FAAt601","API"
1940,1,"Private fixed assets",254421,"private_lf_net_cc","FAAt601","API"
1941,1,"Private fixed assets",282829,"private_lf_net_cc","FAAt601","API"
1942,1,"Private fixed assets",302339,"private_lf_net_cc","FAAt601","API"
1943,1,"Private fixed assets",317093,"private_lf_net_cc","FAAt601","API"
1944,1,"Private fixed assets",329330,"private_lf_net_cc","FAAt601","API"
1945,1,"Private fixed assets",353016,"private_lf_net_cc","FAAt601","API"
1946,1,"Private fixed assets",433994,"private_lf_net_cc","FAAt601","API"
1947,1,"Private fixed assets",516636,"private_lf_net_cc","FAAt601","API"
1948,1,"Private fixed assets",562155,"private_lf_net_cc","FAAt601","API"
1949,1,"Private fixed assets",581107,"private_lf_net_cc","FAAt601","API"
1950,1,"Private fixed assets",655791,"private_lf_net_cc","FAAt601","API"
1951,1,"Private fixed assets",713905,"private_lf_net_cc","FAAt601","API"
1952,1,"Private fixed assets",751932,"private_lf_net_cc","FAAt601","API"
1953,1,"Private fixed assets",783259,"private_lf_net_cc","FAAt601","API"
1954,1,"Private fixed assets",815219,"private_lf_net_cc","FAAt601","API"
1955,1,"Private fixed assets",888797,"private_lf_net_cc","FAAt601","API"
1956,1,"Private fixed assets",958480,"private_lf_net_cc","FAAt601","API"
1957,1,"Private fixed assets",1008901,"private_lf_net_cc","FAAt601","API"
1958,1,"Private fixed assets",1034000,"private_lf_net_cc","FAAt601","API"
1959,1,"Private fixed assets",1078066,"private_lf_net_cc","FAAt601","API"
1960,1,"Private fixed assets",1110974,"private_lf_net_cc","FAAt601","API"
1961,1,"Private fixed assets",1147643,"private_lf_net_cc","FAAt601","API"
1962,1,"Private fixed assets",1190386,"private_lf_net_cc","FAAt601","API"
1963,1,"Private fixed assets",1228733,"private_lf_net_cc","FAAt601","API"
1964,1,"Private fixed assets",1313939,"private_lf_net_cc","FAAt601","API"
1965,1,"Private fixed assets",1402886,"private_lf_net_cc","FAAt601","API"
1966,1,"Private fixed assets",1522082,"private_lf_net_cc","FAAt601","API"
1967,1,"Private fixed assets",1636531,"private_lf_net_cc","FAAt601","API"
1968,1,"Private fixed assets",1804747,"private_lf_net_cc","FAAt601","API"
1969,1,"Private fixed assets",1962901,"private_lf_net_cc","FAAt601","API"
1970,1,"Private fixed assets",2120971,"private_lf_net_cc","FAAt601","API"
1971,1,"Private fixed assets",2352693,"private_lf_net_cc","FAAt601","API"
1972,1,"Private fixed assets",2593933,"private_lf_net_cc","FAAt601","API"
1973,1,"Private fixed assets",2947079,"private_lf_net_cc","FAAt601","API"
1974,1,"Private fixed assets",3468501,"private_lf_net_cc","FAAt601","API"
1975,1,"Private fixed assets",3786126,"private_lf_net_cc","FAAt601","API"
1976,1,"Private fixed assets",4168964,"private_lf_net_cc","FAAt601","API"
1977,1,"Private fixed assets",4735809,"private_lf_net_cc","FAAt601","API"
1978,1,"Private fixed assets",5412663,"private_lf_net_cc","FAAt601","API"
1979,1,"Private fixed assets",6264478,"private_lf_net_cc","FAAt601","API"
1980,1,"Private fixed assets",7117861,"private_lf_net_cc","FAAt601","API"
1981,1,"Private fixed assets",7860432,"private_lf_net_cc","FAAt601","API"
1982,1,"Private fixed assets",8297204,"private_lf_net_cc","FAAt601","API"
1983,1,"Private fixed assets",8599570,"private_lf_net_cc","FAAt601","API"
1984,1,"Private fixed assets",9112473,"private_lf_net_cc","FAAt601","API"
1985,1,"Private fixed assets",9619035,"private_lf_net_cc","FAAt601","API"
1986,1,"Private fixed assets",10230761,"private_lf_net_cc","FAAt601","API"
1987,1,"Private fixed assets",10843464,"private_lf_net_cc","FAAt601","API"
1988,1,"Private fixed assets",11536165,"private_lf_net_cc","FAAt601","API"
1989,1,"Private fixed assets",12203075,"private_lf_net_cc","FAAt601","API"
1990,1,"Private fixed assets",12773557,"private_lf_net_cc","FAAt601","API"
1991,1,"Private fixed assets",13058846,"private_lf_net_cc","FAAt601","API"
1992,1,"Private fixed assets",13609239,"private_lf_net_cc","FAAt601","API"
1993,1,"Private fixed assets",14321803,"private_lf_net_cc","FAAt601","API"
1994,1,"Private fixed assets",15203006,"private_lf_net_cc","FAAt601","API"
1995,1,"Private fixed assets",15951511,"private_lf_net_cc","FAAt601","API"
1996,1,"Private fixed assets",16767551,"private_lf_net_cc","FAAt601","API"
1997,1,"Private fixed assets",17703444,"private_lf_net_cc","FAAt601","API"
1998,1,"Private fixed assets",18775357,"private_lf_net_cc","FAAt601","API"
1999,1,"Private fixed assets",20026897,"private_lf_net_cc","FAAt601","API"
2000,1,"Private fixed assets",21418042,"private_lf_net_cc","FAAt601","API"
2001,1,"Private fixed assets",22706389,"private_lf_net_cc","FAAt601","API"
2002,1,"Private fixed assets",23838715,"private_lf_net_cc","FAAt601","API"
2003,1,"Private fixed assets",25199215,"private_lf_net_cc","FAAt601","API"
2004,1,"Private fixed assets",27736825,"private_lf_net_cc","FAAt601","API"
2005,1,"Private fixed assets",30579829,"private_lf_net_cc","FAAt601","API"
2006,1,"Private fixed assets",32899164,"private_lf_net_cc","FAAt601","API"
2007,1,"Private fixed assets",34054828,"private_lf_net_cc","FAAt601","API"
2008,1,"Private fixed assets",34883695,"private_lf_net_cc","FAAt601","API"
2009,1,"Private fixed assets",33991830,"private_lf_net_cc","FAAt601","API"
2010,1,"Private fixed assets",34464729,"private_lf_net_cc","FAAt601","API"
2011,1,"Private fixed assets",35442108,"private_lf_net_cc","FAAt601","API"
2012,1,"Private fixed assets",36554177,"private_lf_net_cc","FAAt601","API"
2013,1,"Private fixed assets",38535411,"private_lf_net_cc","FAAt601","API"
2014,1,"Private fixed assets",40336033,"private_lf_net_cc","FAAt601","API"
2015,1,"Private fixed assets",41462448,"private_lf_net_cc","FAAt601","API"
2016,1,"Private fixed assets",43394946,"private_lf_net_cc","FAAt601","API"
2017,1,"Private fixed assets",45255386,"private_lf_net_cc","FAAt601","API"
2018,1,"Private fixed assets",47621638,"private_lf_net_cc","FAAt601","API"
2019,1,"Private fixed assets",49625450,"private_lf_net_cc","FAAt601","API"
2020,1,"Private fixed assets",51901186,"private_lf_net_cc","FAAt601","API"
2021,1,"Private fixed assets",59239637,"private_lf_net_cc","FAAt601","API"
2022,1,"Private fixed assets",66311551,"private_lf_net_cc","FAAt601","API"
2023,1,"Private fixed assets",68014626,"private_lf_net_cc","FAAt601","API"
2024,1,"Private fixed assets",70276521,"private_lf_net_cc","FAAt601","API"
1925,2,"Corporate",100112,"private_lf_net_cc","FAAt601","API"
1926,2,"Corporate",103072,"private_lf_net_cc","FAAt601","API"
1927,2,"Corporate",104569,"private_lf_net_cc","FAAt601","API"
1928,2,"Corporate",106916,"private_lf_net_cc","FAAt601","API"
1929,2,"Corporate",106016,"private_lf_net_cc","FAAt601","API"
1930,2,"Corporate",100962,"private_lf_net_cc","FAAt601","API"
1931,2,"Corporate",90747,"private_lf_net_cc","FAAt601","API"
1932,2,"Corporate",84747,"private_lf_net_cc","FAAt601","API"
1933,2,"Corporate",85527,"private_lf_net_cc","FAAt601","API"
1934,2,"Corporate",86754,"private_lf_net_cc","FAAt601","API"
1935,2,"Corporate",86308,"private_lf_net_cc","FAAt601","API"
1936,2,"Corporate",94927,"private_lf_net_cc","FAAt601","API"
1937,2,"Corporate",98381,"private_lf_net_cc","FAAt601","API"
1938,2,"Corporate",97249,"private_lf_net_cc","FAAt601","API"
1939,2,"Corporate",97933,"private_lf_net_cc","FAAt601","API"
1940,2,"Corporate",104103,"private_lf_net_cc","FAAt601","API"
1941,2,"Corporate",116896,"private_lf_net_cc","FAAt601","API"
1942,2,"Corporate",124270,"private_lf_net_cc","FAAt601","API"
1943,2,"Corporate",125280,"private_lf_net_cc","FAAt601","API"
1944,2,"Corporate",126747,"private_lf_net_cc","FAAt601","API"
1945,2,"Corporate",138239,"private_lf_net_cc","FAAt601","API"
1946,2,"Corporate",167109,"private_lf_net_cc","FAAt601","API"
1947,2,"Corporate",199192,"private_lf_net_cc","FAAt601","API"
1948,2,"Corporate",218012,"private_lf_net_cc","FAAt601","API"
1949,2,"Corporate",222118,"private_lf_net_cc","FAAt601","API"
1950,2,"Corporate",249086,"private_lf_net_cc","FAAt601","API"
1951,2,"Corporate",270446,"private_lf_net_cc","FAAt601","API"
1952,2,"Corporate",286492,"private_lf_net_cc","FAAt601","API"
1953,2,"Corporate",301404,"private_lf_net_cc","FAAt601","API"
1954,2,"Corporate",310857,"private_lf_net_cc","FAAt601","API"
1955,2,"Corporate",342231,"private_lf_net_cc","FAAt601","API"
1956,2,"Corporate",380295,"private_lf_net_cc","FAAt601","API"
1957,2,"Corporate",408618,"private_lf_net_cc","FAAt601","API"
1958,2,"Corporate",417497,"private_lf_net_cc","FAAt601","API"
1959,2,"Corporate",435207,"private_lf_net_cc","FAAt601","API"
1960,2,"Corporate",445400,"private_lf_net_cc","FAAt601","API"
1961,2,"Corporate",457811,"private_lf_net_cc","FAAt601","API"
1962,2,"Corporate",473530,"private_lf_net_cc","FAAt601","API"
1963,2,"Corporate",489979,"private_lf_net_cc","FAAt601","API"
1964,2,"Corporate",517915,"private_lf_net_cc","FAAt601","API"
1965,2,"Corporate",554788,"private_lf_net_cc","FAAt601","API"
1966,2,"Corporate",604733,"private_lf_net_cc","FAAt601","API"
1967,2,"Corporate",657407,"private_lf_net_cc","FAAt601","API"
1968,2,"Corporate",724564,"private_lf_net_cc","FAAt601","API"
1969,2,"Corporate",799646,"private_lf_net_cc","FAAt601","API"
1970,2,"Corporate",879918,"private_lf_net_cc","FAAt601","API"
1971,2,"Corporate",963210,"private_lf_net_cc","FAAt601","API"
1972,2,"Corporate",1045186,"private_lf_net_cc","FAAt601","API"
1973,2,"Corporate",1179246,"private_lf_net_cc","FAAt601","API"
1974,2,"Corporate",1440265,"private_lf_net_cc","FAAt601","API"
1975,2,"Corporate",1596037,"private_lf_net_cc","FAAt601","API"
1976,2,"Corporate",1753560,"private_lf_net_cc","FAAt601","API"
1977,2,"Corporate",1950421,"private_lf_net_cc","FAAt601","API"
1978,2,"Corporate",2214151,"private_lf_net_cc","FAAt601","API"
1979,2,"Corporate",2554540,"private_lf_net_cc","FAAt601","API"
1980,2,"Corporate",2934852,"private_lf_net_cc","FAAt601","API"
1981,2,"Corporate",3322949,"private_lf_net_cc","FAAt601","API"
1982,2,"Corporate",3544276,"private_lf_net_cc","FAAt601","API"
1983,2,"Corporate",3662057,"private_lf_net_cc","FAAt601","API"
1984,2,"Corporate",3891586,"private_lf_net_cc","FAAt601","API"
1985,2,"Corporate",4116228,"private_lf_net_cc","FAAt601","API"
1986,2,"Corporate",4316632,"private_lf_net_cc","FAAt601","API"
1987,2,"Corporate",4552033,"private_lf_net_cc","FAAt601","API"
1988,2,"Corporate",4847374,"private_lf_net_cc","FAAt601","API"
1989,2,"Corporate",5142230,"private_lf_net_cc","FAAt601","API"
1990,2,"Corporate",5441062,"private_lf_net_cc","FAAt601","API"
1991,2,"Corporate",5585582,"private_lf_net_cc","FAAt601","API"
1992,2,"Corporate",5786950,"private_lf_net_cc","FAAt601","API"
1993,2,"Corporate",6069009,"private_lf_net_cc","FAAt601","API"
1994,2,"Corporate",6415484,"private_lf_net_cc","FAAt601","API"
1995,2,"Corporate",6794677,"private_lf_net_cc","FAAt601","API"
1996,2,"Corporate",7152908,"private_lf_net_cc","FAAt601","API"
1997,2,"Corporate",7573981,"private_lf_net_cc","FAAt601","API"
1998,2,"Corporate",8001999,"private_lf_net_cc","FAAt601","API"
1999,2,"Corporate",8487993,"private_lf_net_cc","FAAt601","API"
2000,2,"Corporate",9087285,"private_lf_net_cc","FAAt601","API"
2001,2,"Corporate",9528266,"private_lf_net_cc","FAAt601","API"
2002,2,"Corporate",9830512,"private_lf_net_cc","FAAt601","API"
2003,2,"Corporate",10127063,"private_lf_net_cc","FAAt601","API"
2004,2,"Corporate",10967477,"private_lf_net_cc","FAAt601","API"
2005,2,"Corporate",11936357,"private_lf_net_cc","FAAt601","API"
2006,2,"Corporate",12896598,"private_lf_net_cc","FAAt601","API"
2007,2,"Corporate",13605165,"private_lf_net_cc","FAAt601","API"
2008,2,"Corporate",14481024,"private_lf_net_cc","FAAt601","API"
2009,2,"Corporate",14051422,"private_lf_net_cc","FAAt601","API"
2010,2,"Corporate",14428541,"private_lf_net_cc","FAAt601","API"
2011,2,"Corporate",15124608,"private_lf_net_cc","FAAt601","API"
2012,2,"Corporate",15641553,"private_lf_net_cc","FAAt601","API"
2013,2,"Corporate",16233055,"private_lf_net_cc","FAAt601","API"
2014,2,"Corporate",17005192,"private_lf_net_cc","FAAt601","API"
2015,2,"Corporate",17324832,"private_lf_net_cc","FAAt601","API"
2016,2,"Corporate",17832363,"private_lf_net_cc","FAAt601","API"
2017,2,"Corporate",18522028,"private_lf_net_cc","FAAt601","API"
2018,2,"Corporate",19387389,"private_lf_net_cc","FAAt601","API"
2019,2,"Corporate",20271382,"private_lf_net_cc","FAAt601","API"
2020,2,"Corporate",20683088,"private_lf_net_cc","FAAt601","API"
2021,2,"Corporate",22973076,"private_lf_net_cc","FAAt601","API"
2022,2,"Corporate",25624438,"private_lf_net_cc","FAAt601","API"
2023,2,"Corporate",26507748,"private_lf_net_cc","FAAt601","API"
2024,2,"Corporate",27370152,"private_lf_net_cc","FAAt601","API"
1925,3,"Financial",3048,"private_lf_net_cc","FAAt601","API"
1926,3,"Financial",3187,"private_lf_net_cc","FAAt601","API"
1927,3,"Financial",3235,"private_lf_net_cc","FAAt601","API"
1928,3,"Financial",3342,"private_lf_net_cc","FAAt601","API"
1929,3,"Financial",3416,"private_lf_net_cc","FAAt601","API"
1930,3,"Financial",3385,"private_lf_net_cc","FAAt601","API"
1931,3,"Financial",2885,"private_lf_net_cc","FAAt601","API"
1932,3,"Financial",2624,"private_lf_net_cc","FAAt601","API"
1933,3,"Financial",2843,"private_lf_net_cc","FAAt601","API"
1934,3,"Financial",2842,"private_lf_net_cc","FAAt601","API"
1935,3,"Financial",2872,"private_lf_net_cc","FAAt601","API"
1936,3,"Financial",3061,"private_lf_net_cc","FAAt601","API"
1937,3,"Financial",3314,"private_lf_net_cc","FAAt601","API"
1938,3,"Financial",3261,"private_lf_net_cc","FAAt601","API"
1939,3,"Financial",3103,"private_lf_net_cc","FAAt601","API"
1940,3,"Financial",3556,"private_lf_net_cc","FAAt601","API"
1941,3,"Financial",4279,"private_lf_net_cc","FAAt601","API"
1942,3,"Financial",4124,"private_lf_net_cc","FAAt601","API"
1943,3,"Financial",4236,"private_lf_net_cc","FAAt601","API"
1944,3,"Financial",4236,"private_lf_net_cc","FAAt601","API"
1945,3,"Financial",4235,"private_lf_net_cc","FAAt601","API"
1946,3,"Financial",5394,"private_lf_net_cc","FAAt601","API"
1947,3,"Financial",6465,"private_lf_net_cc","FAAt601","API"
1948,3,"Financial",6973,"private_lf_net_cc","FAAt601","API"
1949,3,"Financial",6448,"private_lf_net_cc","FAAt601","API"
1950,3,"Financial",7163,"private_lf_net_cc","FAAt601","API"
1951,3,"Financial",8329,"private_lf_net_cc","FAAt601","API"
1952,3,"Financial",8705,"private_lf_net_cc","FAAt601","API"
1953,3,"Financial",8904,"private_lf_net_cc","FAAt601","API"
1954,3,"Financial",8891,"private_lf_net_cc","FAAt601","API"
1955,3,"Financial",9926,"private_lf_net_cc","FAAt601","API"
1956,3,"Financial",11441,"private_lf_net_cc","FAAt601","API"
1957,3,"Financial",12194,"private_lf_net_cc","FAAt601","API"
1958,3,"Financial",12587,"private_lf_net_cc","FAAt601","API"
1959,3,"Financial",13152,"private_lf_net_cc","FAAt601","API"
1960,3,"Financial",13718,"private_lf_net_cc","FAAt601","API"
1961,3,"Financial",14559,"private_lf_net_cc","FAAt601","API"
1962,3,"Financial",15620,"private_lf_net_cc","FAAt601","API"
1963,3,"Financial",16581,"private_lf_net_cc","FAAt601","API"
1964,3,"Financial",18346,"private_lf_net_cc","FAAt601","API"
1965,3,"Financial",20185,"private_lf_net_cc","FAAt601","API"
1966,3,"Financial",22327,"private_lf_net_cc","FAAt601","API"
1967,3,"Financial",24666,"private_lf_net_cc","FAAt601","API"
1968,3,"Financial",28497,"private_lf_net_cc","FAAt601","API"
1969,3,"Financial",32552,"private_lf_net_cc","FAAt601","API"
1970,3,"Financial",36504,"private_lf_net_cc","FAAt601","API"
1971,3,"Financial",41667,"private_lf_net_cc","FAAt601","API"
1972,3,"Financial",46783,"private_lf_net_cc","FAAt601","API"
1973,3,"Financial",54324,"private_lf_net_cc","FAAt601","API"
1974,3,"Financial",68067,"private_lf_net_cc","FAAt601","API"
1975,3,"Financial",77233,"private_lf_net_cc","FAAt601","API"
1976,3,"Financial",87181,"private_lf_net_cc","FAAt601","API"
1977,3,"Financial",99426,"private_lf_net_cc","FAAt601","API"
1978,3,"Financial",116204,"private_lf_net_cc","FAAt601","API"
1979,3,"Financial",140365,"private_lf_net_cc","FAAt601","API"
1980,3,"Financial",168440,"private_lf_net_cc","FAAt601","API"
1981,3,"Financial",197288,"private_lf_net_cc","FAAt601","API"
1982,3,"Financial",223522,"private_lf_net_cc","FAAt601","API"
1983,3,"Financial",246277,"private_lf_net_cc","FAAt601","API"
1984,3,"Financial",278148,"private_lf_net_cc","FAAt601","API"
1985,3,"Financial",314521,"private_lf_net_cc","FAAt601","API"
1986,3,"Financial",357082,"private_lf_net_cc","FAAt601","API"
1987,3,"Financial",397253,"private_lf_net_cc","FAAt601","API"
1988,3,"Financial",442844,"private_lf_net_cc","FAAt601","API"
