"variable_id","sector_scope","fetch_status","validation_status","validation_message"
"alpha_ME",,"not_fetchable_parameter","PASS","Explicit provider status and metadata are present."
"alpha_NRC",,"not_fetchable_parameter","PASS","Explicit provider status and metadata are present."
"business_transfers_net_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"business_transfers_net_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"business_transfers_net_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"ccadj_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"ccadj_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"ccadj_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"cfc_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"cfc_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"cfc_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"comp_emp_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"comp_emp_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"comp_emp_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"corp_profits_iva_ccadj_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"corp_profits_iva_ccadj_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"corp_profits_iva_ccadj_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"gva_current_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"gva_current_fc","FC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"gva_current_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"gva_price_or_deflator_corp","CORP","unresolved","PASS","Explicit provider status and metadata are present."
"gva_price_or_deflator_fc","FC","unresolved","PASS","Explicit provider status and metadata are present."
"gva_price_or_deflator_nfc","NFC","derivable_from_bea_components","PASS","Explicit provider status and metadata are present."
"gva_real_or_qindex_corp","CORP","unresolved","PASS","Explicit provider status and metadata are present."
"gva_real_or_qindex_fc","FC","unresolved","PASS","Explicit provider status and metadata are present."
"gva_real_or_qindex_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"iva_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"iva_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"iva_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"L_ME",,"not_fetchable_parameter","PASS","Explicit provider status and metadata are present."
"L_NRC",,"not_fetchable_parameter","PASS","Explicit provider status and metadata are present."
"me_cfc_corp","CORP","direct_bea","PASS","Verified in preserved FAAt404 snapshot."
"me_cfc_fc","FC","direct_bea","PASS","Verified in preserved FAAt404 snapshot."
"me_cfc_nfc","NFC","direct_bea","PASS","Verified in preserved FAAt404 snapshot."
"me_investment_current_dollar_corp","CORP","direct_bea","PASS","Verified in preserved FAAt407 snapshot."
"me_investment_current_dollar_fc","FC","direct_bea","PASS","Verified in preserved FAAt407 snapshot."
"me_investment_current_dollar_nfc","NFC","direct_bea","PASS","Verified in preserved FAAt407 snapshot."
"me_investment_implied_fallback_corp","CORP","direct_fetch_available_but_not_used","PASS","Explicit provider status and metadata are present."
"me_investment_implied_fallback_fc","FC","direct_fetch_available_but_not_used","PASS","Explicit provider status and metadata are present."
"me_investment_implied_fallback_nfc","NFC","direct_fetch_available_but_not_used","PASS","Explicit provider status and metadata are present."
"me_netstock_current_cost_corp","CORP","direct_bea","PASS","Verified in preserved FAAt401 snapshot."
"me_netstock_current_cost_fc","FC","direct_bea","PASS","Verified in preserved FAAt401 snapshot."
"me_netstock_current_cost_nfc","NFC","direct_bea","PASS","Verified in preserved FAAt401 snapshot."
"me_price_or_qindex",,"direct_bea","PASS","Verified in preserved FAAt402 snapshot."
"me_stock_price_or_revaluation_index",,"unresolved","PASS","Explicit provider status and metadata are present."
"net_interest_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"net_interest_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"net_interest_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"net_operating_surplus_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"net_operating_surplus_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"net_operating_surplus_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"nrc_cfc_corp","CORP","direct_bea","PASS","Verified in preserved FAAt404 snapshot."
"nrc_cfc_fc","FC","direct_bea","PASS","Verified in preserved FAAt404 snapshot."
"nrc_cfc_nfc","NFC","direct_bea","PASS","Verified in preserved FAAt404 snapshot."
"nrc_investment_current_dollar_corp","CORP","direct_bea","PASS","Verified in preserved FAAt407 snapshot."
"nrc_investment_current_dollar_fc","FC","direct_bea","PASS","Verified in preserved FAAt407 snapshot."
"nrc_investment_current_dollar_nfc","NFC","direct_bea","PASS","Verified in preserved FAAt407 snapshot."
"nrc_investment_implied_fallback_corp","CORP","direct_fetch_available_but_not_used","PASS","Explicit provider status and metadata are present."
"nrc_investment_implied_fallback_fc","FC","direct_fetch_available_but_not_used","PASS","Explicit provider status and metadata are present."
"nrc_investment_implied_fallback_nfc","NFC","direct_fetch_available_but_not_used","PASS","Explicit provider status and metadata are present."
"nrc_netstock_current_cost_corp","CORP","direct_bea","PASS","Verified in preserved FAAt401 snapshot."
"nrc_netstock_current_cost_fc","FC","direct_bea","PASS","Verified in preserved FAAt401 snapshot."
"nrc_netstock_current_cost_nfc","NFC","direct_bea","PASS","Verified in preserved FAAt401 snapshot."
"nrc_price_or_qindex",,"direct_bea","PASS","Verified in preserved FAAt402 snapshot."
"nrc_stock_price_or_revaluation_index",,"unresolved","PASS","Explicit provider status and metadata are present."
"nva_current_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"nva_current_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"nva_current_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
"taxes_prod_imports_less_subsidies_corp","CORP","direct_bea","PASS","Verified in preserved T11400 snapshot."
"taxes_prod_imports_less_subsidies_fc","FC","constructed_sector_residual","PASS","Explicit provider status and metadata are present."
"taxes_prod_imports_less_subsidies_nfc","NFC","direct_bea","PASS","Verified in preserved T11400 snapshot."
