"bea_dataset","key","description","retrieved_at"
"FixedAssets","FAAt209","Table 2.9. Current-Cost Average Age at Yearend of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt210","Table 2.10. Historical-Cost Average Age at Yearend of Private Fixed Assets,  Equipment, Structures, and Intellectual Property Products by Type (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt301E","Table 3.1E. Current-Cost Net Stock of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt301ESI","Table 3.1ESI. Current-Cost Net Stock of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt301I","Table 3.1I. Current-Cost Net Stock of Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt301S","Table 3.1S. Current-Cost net Stock of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt302E","Table 3.2E. Chain-Type Quantity Indexes for Net Stock of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt302ESI","Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt302I","Table 3.2I. Chain-Type Quantity Indexes for Net Stock of Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt302S","Table 3.2S. Chain-Type Quantity Indexes for Net Stock of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt303E","Table 3.3E. Historical-Cost Net Stock of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt303ESI","Table 3.3ESI. Historical-Cost Net Stock of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt303I","Table 3.3I. Historical-Cost Net Stock of Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt303S","Table 3.3S. Historical-Cost net Stock of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt304E","Table 3.4E. Current-Cost Depreciation of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt304ESI","Table 3.4ESI. Current-Cost Depreciation of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt304I","Table 3.4I. Current-Cost Depreciation of Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt304S","Table 3.4S. Current-Cost Depreciation of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt305E","Table 3.5E. Chain-Type Quantity Indexes for Depreciation of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt305ESI","Table 3.5ESI. Chain-Type Quantity Indexes for Depreciation of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt305I","Table 3.5I. Chain-Type Quantity Indexes for Depreciation of Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt305S","Table 3.5S. Chain-Type Quantity Indexes for Depreciation of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt306E","Table 3.6E. Historical-Cost Depreciation of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt306ESI","Table 3.6ESI. Historical-Cost Depreciation of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt306I","Table 3.6I. Historical-Cost Depreciation of Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt306S","Table 3.6S. Historical-Cost Depreciation of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt307E","Table 3.7E. Investment in Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt307ESI","Table 3.7ESI. Investment in Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt307I","Table 3.7I. Investment in Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt307S","Table 3.7S. Investment in Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt308E","Table 3.8E. Chain-Type Quantity Indexes for Investment in Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt308ESI","Table 3.8ESI. Chain-Type Quantity Indexes for Investment in Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt308I","Table 3.8I. Chain-Type Quantity Indexes for Investment in Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt308S","Table 3.8S. Chain-Type Quantity Indexes for Investment in Private Structures by  Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt309E","Table 3.9E. Current-Cost Average Age at Yearend of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt309ESI","Table 3.9ESI. Current-Cost Average Age at Yearend of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt309I","Table 3.9I. Current-Cost Average Age at Yearend of Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt309S","Table 3.9S. Current-Cost Average Age at Yearend of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt310E","Table 3.10E. Historical-Cost Average Age at Yearend of Private Equipment by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt310ESI","Table 3.10ESI. Historical-Cost Average Age at Yearend of Private Fixed Assets by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt310I","Table 3.10I. Historical-Cost Average Age at Yearend of Private Intellectual Property Products by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt310S","Table 3.10S. Historical-Cost Average Age at Yearend of Private Structures by Industry (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt401","Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt402","Table 4.2. Chain-Type Quantity Indexes for Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt403","Table 4.3. Historical-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt404","Table 4.4. Current-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt405","Table 4.5. Chain-Type Quantity Indexes for Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt406","Table 4.6. Historical-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt407","Table 4.7. Investment in Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt408","Table 4.8. Chain-Type Quantity Indexes for Investment in Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt409","Table 4.9. Current-Cost Average Age at Yearend of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt410","Table 4.10. Historical-Cost Average Age at Yearend of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt501","Table 5.1. Current-Cost Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt502","Table 5.2. Chain-Type Quantity Indexes for Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt503","Table 5.3. Historical-Cost Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt504","Table 5.4. Current-Cost Depreciation of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt505","Table 5.5. Chain-Type Quantity Indexes for Depreciation of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt506","Table 5.6. Historical-Cost Depreciation of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt507","Table 5.7. Investment in Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt508","Table 5.8. Chain-Type Quantity Indexes for Investment in Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt509","Table 5.9. Current-Cost Average Age at Yearend of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt510","Table 5.10. Historical-Cost Average Age at Yearend of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt601","Table 6.1. Current-Cost Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt602","Table 6.2. Chain-type Quantity Indexes for Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt603","Table 6.3. Historical-Cost Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt604","Table 6.4. Current-Cost Depreciation of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt605","Table 6.5. Chain-Type Quantity Indexes for Depreciation of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt606","Table 6.6. Historical-Cost Depreciation of Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt607","Table 6.7. Investment in Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
"FixedAssets","FAAt608","Table 6.8. Chain-Type Quantity Indexes for Investment in Private Fixed Assets by Industry Group and Legal Form of Organization (A)","2026-06-11T11:26:45-0400"
