"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_WITH_RC_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_WITH_RC_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_WITH_RC_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_WITH_RC_D_cc","TOTAL_ALL_D_cc","ME_Ret_cc","NRC_Ret_cc","RC_Ret_cc","IP_Ret_cc","NR_Ret_cc","TOTAL_PRODUCTIVE_Ret_cc","TOTAL_WITH_RC_Ret_cc","TOTAL_ALL_Ret_cc"
1925,2684,93999,99527,17362,96683,96683,196210,213572,4819.36,87810.0613157895,119689.5644,24588.84,92629.4213157895,92629.4213157895,212318.985715789,236907.825715789,686,4522,8498,1671,5208,5208,13706,15377,402,2310,4663,1182,2712,2712,7375,8557,295.24,2251.02868421053,2269.2156,5729.46,2546.26868421053,2546.26868421053,4815.48428421053,10544.9442842105
1926,2909,96690,103527,17787,99599,99599,203126,220913,5235.91944140113,90592.3967515324,126343.131365663,21334.547693475,95828.3161929336,95828.3161929336,222171.447558597,243505.995252072,621,5284,8659,1666,5905,5905,14564,16230,467,2374,4989,1254,2841,2841,7830,9084,329.637102957224,2305.63234463601,2401.71696664619,4917.13692336875,2635.26944759324,2635.26944759324,5036.98641423942,9954.12333760817
1927,3064,98545,105764,18109,101609,101609,207373,225482,5553.47827010262,92610.2513491099,131081.701662184,18666.8099592461,98163.7296192125,98163.7296192125,229245.431281396,247912.241240642,638,5276,8220,1679,5914,5914,14134,15813,500,2445,5166,1285,2945,2945,8111,9396,351.105590721616,2360.38517159756,2507.38166657518,4246.95248981153,2711.49076231918,2711.49076231918,5218.87242889436,9465.82491870589
1928,3182,101325,108504,18860,104507,104507,213011,231871,5827.82303349342,95401.1533234459,136428.530852305,16955.9789547382,101228.976356939,101228.976356939,237657.507209244,254613.486163983,646,5157,8138,1919,5803,5803,13941,15860,528,2492,5284,1317,3020,3020,8304,9621,370.130216678102,2439.03117090394,2618.17409902663,3759.24473868456,2809.16138758205,2809.16138758205,5427.33548660868,9186.58022529324
1929,3318,100283,108131,18712,103601,103601,211732,230444,6125.59142418228,94752.5819061068,137935.056299612,15093.463055903,100878.173330289,100878.173330289,238813.229629901,253906.692685804,692,5488,8642,2291,6180,6180,14822,17113,552,2558,5423,1361,3110,3110,8533,9894,388.113673155877,2412.55626773262,2638.6338020329,3200.61576397576,2800.66994088849,2800.66994088849,5439.3037429214,8639.91950689716
1930,3315,95051,103608,17292,98366,98366,201974,219266,6231.41341051602,90134.8902283541,134363.719160976,12611.9793510948,96366.3036388702,96366.3036388702,230730.022799846,243342.002150941,615,4539,7314,1687,5154,5154,12468,14155,559,2486,5306,1314,3045,3045,8351,9665,401.17238646543,2313.40243860417,2592.85141144849,2731.24483777371,2714.5748250696,2714.5748250696,5307.42623651809,8038.6710742918
1931,3023,84045,92855,15320,87068,87068,179923,195243,5947.62403576407,79959.4424907272,122965.755975001,10096.7450101953,85907.0665264913,85907.0665264913,208872.822501493,218969.567511688,374,2704,4832,1093,3078,3078,7910,9003,533,2315,4959,1216,2848,2848,7807,9023,398.116002554577,2087.98493218182,2410.89297908166,2250.93625254883,2486.10093473639,2486.10093473639,4896.99391381805,7147.93016636688
1932,2880,78572,86520,14024,81452,81452,167972,181996,5988.00325683955,74751.4349875173,117039.289028529,8283.12131763086,80739.4382443569,80739.4382443569,197778.727272886,206061.848590517,238,1438,2965,677,1676,1676,4641,5318,480,2028,4403,1089,2508,2508,6911,8000,410.714518345682,1981.44418885182,2328.04671486794,1901.53032940772,2392.1587071975,2392.1587071975,4720.20542206544,6621.73575147316
1933,2650,80518,86161,15603,83168,83168,169329,184932,5817.5610643332,76561.0904334882,118940.712892199,8330.14484765157,82378.6514978214,82378.6514978214,201319.364390021,209649.509237672,213,1127,2365,859,1340,1340,3705,4564,454,1999,4094,1046,2453,2453,6547,7593,400.325790309514,2038.75920090509,2379.09618147345,1867.78621191289,2439.0849912146,2439.0849912146,4818.18117268805,6685.96738460095
1934,2385,81600,86811,16296,83985,83985,170796,187092,5441.47150891355,77532.7679891194,121952.502943037,8087.34701955723,82974.2394980329,82974.2394980329,204926.74244107,213014.089460627,286,1279,2856,1098,1565,1565,4421,5519,423,2047,4081,1169,2470,2470,6551,7720,368.247964922396,2060.91264835458,2430.54087638851,1747.33675488931,2429.16061327697,2429.16061327697,4859.70148966548,6607.03824455479
