"year","ME_K_net_chain","NRC_K_net_chain","RC_K_net_chain","IP_K_net_chain","NR_K_net_chain","TOTAL_PRODUCTIVE_K_net_chain","TOTAL_WITH_RC_K_net_chain","TOTAL_ALL_K_net_chain"
2013,95.822,96.326,91.25,92.519,192.148,192.148,283.398,375.917
2014,103.659,97.407,93.512,94.437,201.066,201.066,294.578,389.015
2015,104.404,98.4,95.766,96.416,202.804,202.804,298.57,394.986
2016,101.721,99.221,97.854,98.329,200.942,200.942,298.796,397.125
2017,100,100,100,100,200,200,300,400
2018,98.506,101.146,102.608,101.967,199.652,199.652,302.26,404.227
2019,98.335,102.398,105.215,103.943,200.733,200.733,305.948,409.891
2020,98.166,103.192,106.823,105.28,201.358,201.358,308.181,413.461
2021,99.917,103.757,108.616,106.681,203.674,203.674,312.29,418.971
2022,101.457,104.561,110.688,108.483,206.018,206.018,316.706,425.189
2023,101.61,106.034,113.385,110.196,207.644,207.644,321.029,431.225
2024,102.178,107.458,116.025,111.899,209.636,209.636,325.661,437.56
