"year","urate","urate_source","mean_weeks_unemp","long_term_unemp_27w","nonfarm_payrolls"
1929,1.38,"NBER",NA,NA,NA
1930,5.90416666666667,"NBER",NA,NA,NA
1931,14.1975,"NBER",NA,NA,NA
1932,22.7225,"NBER",NA,NA,NA
1933,23.385,"NBER",NA,NA,NA
1934,19.0633333333333,"NBER",NA,NA,NA
1935,17.5808333333333,"NBER",NA,NA,NA
1936,14.2383333333333,"NBER",NA,NA,NA
1937,12.1625,"NBER",NA,NA,NA
1938,18.4191666666667,"NBER",NA,NA,NA
1939,16.3466666666667,"NBER",NA,NA,30645
1940,14.55,"NBER",NA,NA,32410
1941,9.87583333333333,"NBER",NA,NA,36609
1942,4.65583333333333,"NBER",NA,NA,40231
1943,1.88916666666667,"NBER",NA,NA,42593
1944,1.215,"NBER",NA,NA,42016
1945,1.99916666666667,"NBER",NA,NA,40504
1946,3.9725,"NBER",NA,NA,41737
1947,3.54166666666667,"NBER",NA,NA,43919
1948,3.8,"UNRATE",8.6,116,44934
1949,6.1,"UNRATE",10,263,43834
1950,5.2,"UNRATE",12,352,45282
1951,3.3,"UNRATE",9.7,136,47926
1952,3,"UNRATE",8.4,83,48903
1953,2.9,"UNRATE",8,79,50304
1954,5.6,"UNRATE",11.8,325,49087
1955,4.4,"UNRATE",13,330,50737
1956,4.1,"UNRATE",11.3,232,52468
1957,4.3,"UNRATE",10.5,241,52957
1958,6.8,"UNRATE",14,682,51425
1959,5.5,"UNRATE",14.4,565,53372
1960,5.5,"UNRATE",12.8,458,54294
1961,6.7,"UNRATE",15.7,804,54103
1962,5.6,"UNRATE",14.7,580,55660
1963,5.6,"UNRATE",14,550,56767
1964,5.2,"UNRATE",13.3,481,58394
1965,4.5,"UNRATE",11.8,350,60879
1966,3.8,"UNRATE",10.3,237,64025
1967,3.8,"UNRATE",8.8,177,65935
1968,3.6,"UNRATE",8.4,155,68027
1969,3.5,"UNRATE",7.9,133,70515
1970,5,"UNRATE",8.7,240,71007
1971,6,"UNRATE",11.4,522,71331
1972,5.6,"UNRATE",12,561,73788
1973,4.9,"UNRATE",10,342,76902
1974,5.6,"UNRATE",9.7,384,78383
1975,8.5,"UNRATE",14.3,1218,77071
1976,7.7,"UNRATE",15.8,1344,79507
1977,7.1,"UNRATE",14.3,1023,82600
1978,6.1,"UNRATE",11.9,645,86829
1979,5.9,"UNRATE",10.8,536,89936
1980,7.2,"UNRATE",11.9,832,90532
1981,7.6,"UNRATE",13.8,1162,91292
1982,9.7,"UNRATE",15.6,1798,89685
1983,9.6,"UNRATE",19.9,2545,90289
1984,7.5,"UNRATE",18.1,1624,94543
1985,7.2,"UNRATE",15.6,1277,97529
1986,7,"UNRATE",15,1186,99498
1987,6.2,"UNRATE",14.5,1037,102114
1988,5.5,"UNRATE",13.5,807,105375
1989,5.3,"UNRATE",11.9,643,108047
1990,5.6,"UNRATE",12,707,109528
1991,6.9,"UNRATE",13.7,1120,108434
1992,7.5,"UNRATE",17.8,1961,108791
1993,6.9,"UNRATE",18,1797,110934
1994,6.1,"UNRATE",18.8,1616,114386
1995,5.6,"UNRATE",16.6,1275,117411
1996,5.4,"UNRATE",16.7,1260,119820
1997,4.9,"UNRATE",15.8,1064,122930
1998,4.5,"UNRATE",14.5,873,126135
1999,4.2,"UNRATE",13.4,724,129228
2000,4,"UNRATE",12.7,648,132018
2001,4.7,"UNRATE",13.1,804,132079
2002,5.8,"UNRATE",16.7,1540,130634
2003,6,"UNRATE",19.2,1938,130325
2004,5.5,"UNRATE",19.6,1776,131755
2005,5.1,"UNRATE",18.4,1486,134023
2006,4.6,"UNRATE",16.8,1233,136433
2007,4.6,"UNRATE",16.9,1243,137978
2008,5.8,"UNRATE",17.8,1768,137226
2009,9.3,"UNRATE",24.3,4513,131291
2010,9.6,"UNRATE",33.1,6414,130335
2011,8.9,"UNRATE",39.4,6016,131917
2012,8.1,"UNRATE",39.4,5135,134155
2013,7.4,"UNRATE",36.6,4310,136361
2014,6.2,"UNRATE",33.7,3218,138923
2015,5.3,"UNRATE",29.1,2327,141801
2016,4.9,"UNRATE",27.5,2003,144332
2017,4.4,"UNRATE",25,1686,146610
2018,3.9,"UNRATE",22.7,1349,148894
2019,3.7,"UNRATE",21.7,1267,150905
2020,8.1,"UNRATE",18.2,1995,142162
2021,5.4,"UNRATE",28.7,3338,146284
2022,3.7,"UNRATE",22.6,1313,152549
2023,3.6,"UNRATE",20.6,1177,155895
2024,4,"UNRATE",21.7,1449,157694
