"year","KNC_NF_corp","KNR_NF_corp","KGC_NF_corp","KGR_NF_corp","IG_cc_NF_corp","IG_R_NF_corp","pK_NF_corp","z_NF_corp","rho_NF_corp","KNC_gov_trans","KNR_gov_trans","KGC_gov_trans","KGR_gov_trans","IG_cc_gov_trans","IG_R_gov_trans","pK_gov_trans","z_gov_trans","rho_gov_trans","KGC_productive","KNC_productive","KNR_productive","KGR_productive","IG_productive","pK_productive","GVA_NF","CCA_NF","NVA_NF","EC_NF","NOS_NF","TPI_NF","GOS_NF","ProfSh","WageSh","Py_fred","KGC_NF_IPP","KNC_NF_IPP","KNR_NF_IPP","pK_NF_IPP","z_NF_IPP","KGC_fin_corp","KNC_fin_corp","KNR_fin_corp","pK_fin_corp","z_fin_corp","KGC_total","R_NVA_KGC","k_Py","k_pK","y_t","y_GVA","y_GOS","y_NOS"
1929,102600,1891178.93316,37550.5906607121,692152.884846524,7769,143202.428184406,5.4251873369044,0.0877231614031146,0.0215501153535916,18080,625814.7871,6143.31832420606,106321.334323854,1428,24714.1459064934,5.77806736839249,0.0269971900356502,0.00717137665999204,37550.5906607121,102600,1891178.93316,692152.884846524,7769,5.4251873369044,50825,5016,45809,32147,10709,2953,15725,0.233775022375516,0.701761662555393,8.778,1966.26944924783,2451,23456.64374,10.4490652079964,0.16936290066886,1817.78600424658,3416,42584.98002,8.02160761469344,0.0978825692849896,39516.8601099599,1.21992754824835,12.9663659817696,13.4475621420571,13.1651574520697,13.2690652332186,12.0959286762907,11.7117613831229
1930,97578,1924280.47548,40798.7522910525,804569.087884741,6446,127117.915359447,5.07088240219554,0.119583572566569,0.0212405563035237,18086,673215.6537,7304.17904842333,135941.824417399,1634,30411.2124888256,5.37301825963171,0.0484161512870703,0.0074370999979328,40798.7522910525,97578,1924280.47548,804569.087884741,6446,5.07088240219554,45259,4872,40387,28791,8605,2991,13477,0.213063609577339,0.712877906256964,8.457,2194.67134561162,2510,25413.9949,9.87644803533033,0.214530840299636,2013.13877205162,3385,44136.79172,7.66933859052137,0.105328059496674,42993.4236366641,0.989907723449111,13.086582464011,13.5980621185263,13.076438915176,13.1903325095667,11.9789154929572,11.5302743938336
1931,87862,1918200.60036,40223.4511504233,878157.202718959,4175,91148.4772313742,4.58043856223955,0.157600675883979,0.0218257980098687,17270,723259.6913,7930.35661333534,166059.851651993,1488,31158.3792893573,4.77560140783142,0.0716638601358729,0.00765292108754719,40223.4511504233,87862,1918200.60036,878157.202718959,4175,4.58043856223955,35431,4560,30871,23522,4553,2796,9113,0.14748469437336,0.761944867351236,7.587,2278.77724061098,2484,26834.653,9.2566876120962,0.223592482571689,1870.57617695799,2885,44479.82378,6.48608684753202,0.246615960704376,42502.2283910343,0.767487600319325,13.1809393961007,13.6855809029673,12.9163064405136,13.0540763517617,11.6961911741283,11.0022755649669
1932,82123,1890165.62064,39819.2302004044,916490.385947353,2552,58737.5359384494,4.34475154469234,0.099482787637869,0.0232354214562935,14142,765198.0045,7152.46402373709,193503.436509039,1063,28758.5022904646,3.69629819127423,0.156767632387913,0.0079183343856867,39819.2302004044,82123,1890165.62064,916490.385947353,2552,4.34475154469234,25721,4076,21645,17432,1319,2894,5395,0.0609378609378609,0.805359205359205,6.7,2225.317191796,2386,27844.89876,8.56889450583156,0.234840491100044,1812.31643396652,2624,44055.11742,5.95617524970837,0.149473657103446,42044.5473922004,0.543581578324439,13.2951679050387,13.7283068562422,12.6855924194673,12.8581257174357,11.2962905372834,9.88769181230849
1933,82685,1859597.35962,42105.4840902302,946958.300050964,2380,53526.5370489883,4.44639263291363,0.021631478751722,0.0251596997621995,18084,789206.80775,9726.90747403765,212246.781598785,932,20336.7823717927,4.5828291956976,-0.0858339296040215,0.00823467174947188,42105.4840902302,82685,1859597.35962,946958.300050964,2380,4.44639263291363,24976,3860,21116,16597,1114,3405,4974,0.0527562038264823,0.785991665088085,6.514,2182.69938179933,2374,29012.99542,8.18254015358749,0.193116280491416,2056.41430919736,2843,43254.70928,6.57269473618804,-0.038679263615557,44288.1834720295,0.501502368545374,13.3791497537469,13.7610103374616,12.6890028050776,12.8568871218893,11.2431961034974,9.74692889962128
1934,83912,1840682.19258,44958.4354985846,986202.112075761,2956,64842.4130191925,4.55874459688146,0.020395333481987,0.0270324479895445,21846,813964.50945,12398.5759431337,230980.517839224,1104,20567.0790632793,5.36780160470669,-0.0627433492852014,0.0086377885640038,44958.4354985846,83912,1840682.19258,986202.112075761,2956,4.55874459688146,31484,3944,27540,19585,3938,4017,7882,0.142992011619463,0.711147421931736,6.871,2306.56070560556,2582,30875.63604,8.36258076321073,0.120763231512379,2151.69922016824,2842,42764.66348,6.64567371453568,0.0452242049022964,47264.9962041902,0.612565799823417,13.3913542162719,13.8016165944001,12.9012553022218,13.0350952892015,11.6501974876941,10.9562887891382
1935,83436,1829704.64028,47115.4706402907,1033215.82122245,3428,75174.1155721732,4.5600802535666,0.046511303634066,0.0285543967921706,21494,836607.67435,12738.9591944735,247918.280109055,977,19013.8107806818,5.13837026816655,0.0317756260377863,0.00898798102226011,47115.4706402907,83436,1829704.64028,1033215.82122245,3428,4.5600802535666,34931,4020,30911,21537,5298,4076,9318,0.171395296172883,0.69674226003688,7.012,2429.93522912684,2799,33148.689,8.44377284422922,0.132716110267251,2270.73374554255,2872,42503.30572,6.75712147878553,0.0401431273952984,49545.4058694176,0.656069006208048,13.4179039087017,13.8481866529229,12.9964146055216,13.1186771850061,11.7972505113058,11.2326318887611
1936,91866,1837642.25502,54534.9422243367,1090890.14658868,4422,88455.5118509398,4.99912318347295,-0.0438180336995967,0.0297916329313357,24603,879867.57305,15303.4580709986,273645.825960289,1568,28037.8887644271,5.59243248724701,-0.0329366970095832,0.00931896959020707,54534.9422243367,91866,1837642.25502,1090890.14658868,4422,4.99912318347295,40184,4080,36104,24641,7181,4282,11261,0.198897629071571,0.68250055395524,7.097,2652.32566277714,3134,35895.29466,8.73094936170667,0.106765429847753,2516.75719408897,3061,42617.64974,7.18247021756109,-0.00425840349481124,57187.2678871139,0.662034257806333,13.552094943384,13.9025045691761,13.1396569679521,13.2467222118751,11.9745987341423,11.5246919545556
1937,95067,1861792.87008,59714.1396997445,1169442.1780002,5723,112079.276672955,5.10620711507586,0.0268773029959792,0.030733841868747,23979,916651.7028,15587.4795579511,297933.393368282,1407,26892.8843120981,5.23186722432389,0.0441200399721408,0.00952076244891641,59714.1396997445,95067,1861792.87008,1169442.1780002,5723,5.10620711507586,45751,4556,41195,28781,7885,4529,12441,0.191406724117004,0.698652749120039,7.402,2871.37520253723,3447,38673.4705,8.91308681490067,0.12221122518938,2827.33132354462,3314,43107.69554,7.68772247851874,-0.0106826955483236,62585.5149022817,0.689870107936534,13.6007440692531,13.9720374221425,13.2294921207738,13.3343888804124,12.0321727009386,11.5761374514213
1938,93989,1863481.72428,61606.9520450536,1221456.0131989,4467,88565.3944861501,5.04373070985254,0.0590497817264569,0.0312555507019206,24336,962422.61395,16537.5499193564,327007.561261416,1617,31973.9761414602,5.05723777626537,0.0271802108997677,0.0097330756231889,61606.9520450536,93989,1863481.72428,1221456.0131989,4467,5.04373070985254,40242,4632,35610,25513,5613,4484,10245,0.157624262847515,0.716456051670879,7.19,3050.56390550158,3710,41735.77796,8.8892556490877,0.14282457780956,2878.01435821639,3261,42764.66348,7.62545460348376,0.066014477015968,64657.5159505552,0.57801918156831,13.661009015283,14.0155541585517,13.112860790527,13.2351455195829,11.8670240749281,11.2653196291973
