"year","KNC_NF_corp","KNR_NF_corp","KGC_NF_corp","KGR_NF_corp","IG_cc_NF_corp","IG_R_NF_corp","pK_NF_corp","z_NF_corp","rho_NF_corp","KNC_gov_trans","KNR_gov_trans","KGC_gov_trans","KGR_gov_trans","IG_cc_gov_trans","IG_R_gov_trans","pK_gov_trans","z_gov_trans","rho_gov_trans","KGC_productive","KNC_productive","KNR_productive","KGR_productive","IG_productive","pK_productive","GVA_NF","CCA_NF","NVA_NF","EC_NF","NOS_NF","TPI_NF","GOS_NF","ProfSh","WageSh","Py_fred","KGC_NF_IPP","KNC_NF_IPP","KNR_NF_IPP","pK_NF_IPP","z_NF_IPP","KGC_fin_corp","KNC_fin_corp","KNR_fin_corp","pK_fin_corp","z_fin_corp","KGC_total","R_NVA_KGC","k_Py","k_pK","y_t","y_GVA","y_GOS","y_NOS"
1939,94830,1868717.1723,64808.8873985036,1277122.01623158,4824,95061.6011723632,5.07460419402494,0.0421194793862446,0.0322529814532676,24799,1012158.2816,17494.5753446178,357015.994962098,1629,33243.393699875,4.90022172437264,0.0247239012351852,0.00989261528606289,64808.8873985036,94830,1868717.1723,1277122.01623158,4824,5.07460419402494,44443,4636,39807,28023,7132,4652,11768,0.179164468560806,0.703971663275303,7.12,3228.78524904565,3970,44545.52398,8.91223100615552,0.137380771824996,2832.94489313489,3103,42601.31488,7.28381273850485,0.107226624866101,68037.6726475492,0.614221314358177,13.7214604847117,14.0601196795743,13.2340605157688,13.34422520879,12.0154017228455,11.5146094395472
1940,100547,1888983.4227,71706.4121389663,1347153.30971388,5979,112327.885310584,5.32281007825279,0.00263400590545585,0.033118677221688,25227,1054272.8062,18404.9407114533,384584.542193057,1491,31155.5229326555,4.78566834914915,0.0219453359319109,0.010047100836693,71706.4121389663,100547,1888983.4227,1347153.30971388,5979,5.32281007825279,51078,4844,46234,31010,10197,5027,15041,0.220551974737206,0.67071851883895,7.205,3485.19750488814,4336,47292.12964,9.16854460352443,0.110915879711597,3329.36856199281,3556,43026.02124,8.26476605904265,-0.0644721700815006,75191.6096438544,0.644768000808616,13.8107304092368,14.1135042645907,13.3718656936781,13.4715041116487,12.2489300411918,11.8602437949008
1941,112617,1920733.88166,83664.1480143753,1426929.89310164,7339,125169.965080785,5.86322764831276,-0.0427157508538014,0.0336957801058744,29516,1077664.86955,22063.2881945282,402778.672482725,1212,22125.7931612447,5.4777697286031,-0.0532807979148673,0.0102231432630036,83664.1480143753,112617,1920733.88166,1426929.89310164,7339,5.86322764831276,66680,5364,61316,39642,15756,5918,21120,0.256963924587383,0.646519668601996,7.692,4125.26633655047,5140,52248.6479,9.8375751461312,0.0700713792189846,4073.63148545899,4279,44120.45686,9.6984489838304,-0.100171184412654,87789.4143509258,0.732882620037732,13.8995551838404,14.1710357663815,13.5887854575476,13.6726496951263,12.5229650960818,12.2299658823524
1942,120147,1918369.48578,92303.4839863076,1473796.15895957,5984,95545.6482717631,6.2629749321283,-0.0128517307644599,0.0341147681110155,37847,1079206.7193,28771.6349421668,410211.400571156,817,11648.3722576175,7.01385551501171,-0.0994101318624366,0.0104664036534049,92303.4839863076,120147,1918369.48578,1473796.15895957,5984,6.2629749321283,84033,6124,77909,50790,20842,6277,26966,0.267517231642044,0.651914412968977,8.304,4862.46743414063,6043,55973.92914,10.7960975633593,0.0519428486581313,4035.07842888633,4124,43026.02124,9.58489742055452,0.0730686375093321,97165.9514204482,0.844052647152053,13.9212700256737,14.2033520510961,13.7517296174843,13.8273977173847,12.6907649517586,12.4331583201169
1943,121044,1903338.6834,95657.4030573604,1504150.8508696,5216,82018.229508397,6.35956180871472,0.0354016703446049,0.035054737579748,41756,1070924.7835,32141.1334011593,412165.1538591,497,6373.33098715753,7.79812002548543,-0.0405428679109393,0.0107739026586291,95657.4030573604,121044,1903338.6834,1504150.8508696,5216,6.35956180871472,99680,6304,93376,61991,24744,6641,31048,0.264993145990404,0.663885795065113,8.683,5460.54715873585,6834,57678.71886,11.8483907671177,0.0529251324743853,4236.93494874253,4236,41572.2187,10.1894970546761,-0.00091238062870733,101117.950216096,0.976150271861422,13.9123314641417,14.2237390782426,13.888192726792,13.9535234289309,12.7870927679583,12.5601414092745
1944,122510,1906209.73554,99818.751722149,1553142.40733173,6646,103409.271915753,6.42688984931109,0.0423460424830322,0.0361783629761313,37969,1060704.5223,29564.2617756858,412954.596696396,384,5363.72483556586,7.1592039445008,0.0544022029532655,0.0110981774064133,99818.751722149,122510,1906209.73554,1553142.40733173,6646,6.42688984931109,103244,6496,96748,64833,24577,7338,31073,0.254031091081986,0.670122379790797,8.89,5901.54132224794,7498,59225.65768,12.6600535877747,0.0784699674702526,4317.46774393474,4236,40118.41616,10.5587418583675,0.0225538048832071,105720.293044397,0.96923672487213,13.9313544741197,14.2557907961443,13.900108075306,13.9650935342169,12.7643376903516,12.529809461686
1945,134003,1936102.45488,112551.061780498,1626160.51142565,9022,130351.681290175,6.92127628175057,-0.0187290554947323,0.0369145655450561,36197,1051189.1067,28508.2595896318,413951.044721894,393,5706.51323221676,6.88686740935383,0.0296375130688511,0.0114057701364732,112551.061780498,134003,1936102.45488,1626160.51142565,9022,6.92127628175057,96576,6736,89840,61658,20084,8098,26820,0.223552983081033,0.686308993766696,9.12,6237.49263926743,8050,61845.98262,13.0162051906614,0.114282999377558,4370.10167840642,4235,39170.99428,10.8115713625434,0.0302022082152375,118788.554419765,0.798215481744723,14.0258626620483,14.3017322797318,13.8004859713142,13.8727859240294,12.5916035387375,12.3023791390564
1946,161715,1992172.41432,140052.308933832,1725309.0091816,12964,159703.943228794,8.11752029280052,-0.0938385763432126,0.0372382953880508,39026,1051497.47665,31190.1660309372,420186.297312369,822,11073.7831933365,7.42293745189655,-0.0257211699940058,0.0116886541646776,140052.308933832,161715,1992172.41432,1725309.0091816,12964,8.11752029280052,100771,7752,93019,66853,16641,9525,24393,0.178898934626259,0.718702630645352,10.296,7046.76971436483,9122,66392.08854,13.7395888585493,0.0900277101318086,5543.73168347459,5394,40624.79682,13.2776048675386,-0.145165233170764,147099.078648197,0.66417327003118,14.1231859827431,14.3609167281622,13.7139737680383,13.7940206105078,12.3754662005702,11.9930395244176
1947,192728,2075432.92638,171085.155595539,1842367.30074419,16831,181248.244074041,9.28615892859322,-0.0766609941191812,0.0372049019450107,47724,1066695.7099,38620.6172644474,431611.419303452,1470,16428.2404403759,8.94800636340311,-0.076821648930075,0.0119069052972316,171085.155595539,192728,2075432.92638,1842367.30074419,16831,9.28615892859322,122211,9476,112735,78763,22780,11192,32256,0.202066793808489,0.698656140506497,11.426,8197.73280185443,10596,70306.79086,15.0710903888353,0.0545671959757645,6661.96906682041,6465,41784.57188,15.472217876413,-0.094661458454808,179282.888397393,0.65894086256388,14.2191954231556,14.4265618791462,13.8020739365064,13.8827830637208,12.5507380771169,12.202916962687
1948,211040,2156329.04256,192552.448364779,1967430.04465981,18915,193266.507960682,9.78700355254932,0.00296864908310353,0.0370196344765299,51553,1087312.4437,42292.309895187,445996.884971325,1858,19593.6853373674,9.48264692429547,-0.0194857216959035,0.0120669181503579,192552.448364779,211040,2156329.04256,1967430.04465981,18915,9.78700355254932,140041,11120,128921,87467,29076,12378,40196,0.225533466231258,0.678454247174626,12.067,8821.35038967474,11341,73274.38778,15.4774408133581,0.122223640124266,7237.38552211257,6973,42928.01208,16.2434728796787,0.00486204635841563,201373.798754453,0.66953705909658,14.2828195865342,14.4922387031955,13.8816508245443,13.9643862477566,12.7162184990655,12.3923641025012
1949,215670,2209190.17902,202194.530665119,2071155.80005072,17205,176237.385960213,9.76240081311929,0.0597360259594365,0.0368560146604084,47225,1118942.39,39472.5671857911,467628.678309207,2285,27070.2314573849,8.44100651151486,0.0720526451679766,0.0121938926094784,202194.530665119,215670,2209190.17902,2071155.80005072,17205,9.76240081311929,136291,12008,124283,84902,26426,12955,38434,0.212627632097712,0.683134459258306,12.046,9072.40253878892,11655,75515.87056,15.4338418051338,0.152178965449108,6809.81578327292,6448,43989.77798,14.6579507696802,0.171954372835394,211266.933203907,0.614670434413687,14.3334230674353,14.5436173669304,13.8467540336231,13.9389851160567,12.6731352948589,12.2985411843407
1950,241923,2269313.38854,231543.492069792,2171950.35851608,18927,177541.178411712,10.6606254218438,-0.0311064984215169,0.0370549718879053,53022,1159118.5892,44701.3995904992,488610.607187628,2444,26714.2491041907,9.14867563923631,-0.032754245229361,0.0122582734799248,231543.492069792,241923,2269313.38854,2171950.35851608,18927,10.6606254218438,154866,12848,142018,94387,33268,14363,46116,0.234251996225831,0.664612936388345,12.195,9898.69233575429,12817,78483.46748,16.3308278947616,0.0887096542713573,7664.44812659446,7163,45198.55762,15.8478508544937,-0.0144876927939557,241442.184405547,0.61335345135588,14.456667159895,14.5911361045796,13.9678532434335,14.054459660183,12.8430593946731,12.5164954073088
1951,262117,2342947.43166,256708.234506678,2294600.87946754,22791,203718.62532748,11.1874895893113,0.0102292744316613,0.0373250263562194,59736,1192554.70235,51024.186489785,509317.108041854,2678,26731.4642166642,10.0181567993966,-0.0347564540387963,0.0123308075465587,256708.234506678,262117,2342947.43166,2294600.87946754,22791,11.1874895893113,177643,14636,163007,109808,37834,15365,52470,0.232100461943352,0.673639782340636,13.06,10470.4097478747,13607,80693.38008,16.8625976337959,0.118177306992798,9004.70719807696,8329,46848.37848,17.7786302754443,-0.0492801829774034,267178.644254553,0.634989369597957,14.4913115068121,14.6460694776242,14.0371644857919,14.1231472594915,12.9036129188206,12.5765795103654
1952,277787,2421310.26654,277843.643963093,2421803.99954181,24435,212985.90777432,11.4725900203179,0.032608280772771,0.0373846225143786,62966,1226783.7668,54592.8267384565,531823.473195562,2959,28825.5023819299,10.265215713482,-0.00221372108492991,0.01240707827883,277843.643963093,277787,2421310.26654,2421803.99954181,24435,11.4725900203179,185883,15580,170303,117770,35736,16797,51316,0.209837759757608,0.691532151518176,13.286,11374.2081845402,14631,85649.89834,17.0823320092221,0.14168281509163,9524.16137134523,8705,48106.1627,18.0953946675942,0.0434095411588749,289217.852147633,0.612945459434812,14.5532731394063,14.7000232747759,14.0637938192125,14.1513320592585,12.8642172101143,12.502373199777
1953,292500,2509130.68494,298674.907638712,2562100.42932619,26931,231020.165730322,11.6574238940844,0.0432859634595563,0.0374612214543793,58242,1270660.4054,51496.2992095468,561745.033053488,3351,36554.230782729,9.16720152016787,0.0718021968309997,0.0124715648313704,298674.907638712,292500,2509130.68494,2562100.42932619,26931,11.6574238940844,199043,16728,182315,128198,36232,17885,52960,0.198732962180841,0.703167594547898,13.447,12965.4222313253,16229,92879.46956,17.4731833384514,0.13778114048977,9873.90748976202,8904,50458.38254,17.6462255660722,0.0915310567959765,311640.329870037,0.610412844658967,14.613525148595,14.7563379602514,14.119905392381,14.207690313913,12.8837063437572,12.5041121383824
1954,301967,2583102.4989,314665.674722667,2691730.19135924,26377,225635.564858032,11.6900897323506,0.0576504207453069,0.0374715220863678,60715,1331497.39125,54659.2814880336,599346.872345518,4069,44617.1694391522,9.11980757889449,0.0137726564568417,0.0124884595934726,314665.674722667,301967,2583102.4989,2691730.19135924,26377,11.6900897323506,196164,17724,178440,125945,35178,17317,52902,0.197141896435777,0.705811477247254,13.572,14552.4389309025,17682,99730.19862,17.7298353404202,0.14738230607951,10036.5963223936,8891,52777.93266,16.8460558265451,0.119173003468976,329218.113653569,0.567078058823129,14.6564273431563,14.8056947386314,14.0891690283083,14.1838676621053,12.8733577633812,12.4653375052584
1955,332305,2666869.66722,351730.652776823,2822767.66501256,28956,232382.5343706,12.4604889426937,-0.00429369626546671,0.0376505271749026,67278,1399514.99165,61214.6782099008,636692.974403123,4309,44817.8460939672,9.61447364285546,-0.0176071100465309,0.0124664770621408,351730.652776823,332305,2666869.66722,2822767.66501256,28956,12.4604889426937,221376,18912,202464,137886,45418,19160,64330,0.224326299984195,0.681039592223803,13.801,16548.7424345709,19561,107022.9102,18.2773949647278,0.133639949600279,11319.0847655086,9926,56485.94588,17.572512676139,0.0259854835407519,368279.395211394,0.575622279154799,14.7510501033794,14.8532284031093,14.1987465046288,14.288047024979,13.0522104970872,12.7040929139068
1956,368854,2774787.4506,396368.857473764,2981774.1749496,35341,265860.647550669,13.2930542092599,-0.00340753532465416,0.0378543862954288,77285,1467752.8563,71143.9391454047,675562.656978076,4929,46804.3852539477,10.5310645001672,-0.0344542554089017,0.012462368830807,396368.857473764,368854,2774787.4506,2981774.1749496,35341,13.2930542092599,237233,21356,215877,150770,44304,20803,65660,0.205227977042483,0.698406963224429,14.271,19243.8759991994,22101,116557.10456,18.9615211217117,0.131817738328956,13168.0863204602,11441,60177.62424,19.012049984511,-0.0098704399855845,415612.733472963,0.544636633099484,14.8370411948355,14.908029042046,14.2294047598966,14.3237387394017,13.0391858709254,12.6457709252806
1957,396424,2881691.92146,432968.537807809,3147342.08233384,38305,278447.341865087,13.7566405710418,0.0281228892629996,0.037856466606077,79571,1540924.64015,74379.5074738859,720194.642449711,5479,53051.5269594566,10.3276951937447,0.0210640837301905,0.0124630060599917,432968.537807809,396424,2881691.92146,3147342.08233384,38305,13.7566405710418,247921,23756,224165,158411,43705,22049,67461,0.194967992327081,0.706671425066357,14.744,21836.5574764749,24419,125081.05316,19.5225410908269,0.143002112318893,14218.8672829078,12194,63362.92194,19.2446933106191,0.0568172043815002,454805.095284284,0.517739697981254,14.8927543090133,14.9620688712302,14.2344716324387,14.3351993916333,13.0336388977255,12.5995517566352
1958,404910,2943335.09976,450529.114964628,3274945.43858931,33954,246815.341624685,13.7568433860289,0.0642433972949808,0.0378770347330086,86078,1627224.1733,81397.3654649847,769370.57510373,6151,58139.4542738464,10.5797346686946,-0.00218370426384312,0.0124459709799259,450529.114964628,404910,2943335.09976,3274945.43858931,33954,13.7568433860289,242248,25496,216752,155209,39237,22306,64733,0.181022551118329,0.716067210452499,15.08,24160.7311054249,26398,133068.3087,19.8379315540215,0.160839906148336,14938.1391340371,12587,65829.4858,19.1206111471708,0.0796508376973398,474689.846070053,0.481105422048068,14.9099788054629,15.00181176694,14.1783099452288,14.2895180971933,12.9698272202357,12.4691762815655
1959,422056,3016124.71578,477605.081420107,3413093.26357948,36860,263411.388592156,13.9933205610449,0.0478645807885574,0.0382490535952068,86534,1719735.1583,82946.87413458,824223.170778666,6482,64410.0775192445,10.0636426001247,0.0367981965841513,0.0124224686433061,477605.081420107,422056,3016124.71578,3413093.26357948,36860,13.9933205610449,271655,26688,244967,170794,49776,24397,76464,0.203194716022975,0.697212277572081,15.287,26938.1405885763,28975,141844.81874,20.4272530060551,0.148442730418602,15838.7648542907,13152,68802.43032,19.1156038221761,0.0727925594537321,504543.222008683,0.512907021993186,14.9547068724625,15.0431295534984,14.2870461785465,14.3904555498167,13.1227427127871,12.6934556111066
1960,431682,3106478.41548,496056.627498047,3569732.36358821,40047,288187.001322102,13.8961853991604,0.0725819431500229,0.0385421349944054,90109,1813435.57025,87075.8455461399,876196.803998297,6180,62185.9737881066,9.93793233994827,0.0152422865488129,0.0123902614371149,496056.627498047,431682,3106478.41548,3569732.36358821,40047,13.8961853991604,282484,27560,254924,180409,47915,26600,75475,0.187957979633146,0.707697196027051,15.495,29346.557610916,31150,150558.18842,20.6896750863549,0.168601930808009,16687.1169118048,13718,72690.127,18.8718888880191,0.0835623390539073,525403.185108963,0.513901006193096,14.9790981622816,15.088001182763,14.3133735352507,14.4160299855449,13.0962095493234,12.6418366815262
1961,443252,3190414.46922,516952.128016294,3720889.13105244,40201,289356.510691691,13.8932419056,0.0663383368096337,0.038714315010593,96367,1918105.14185,93661.7698336629,932129.890484917,6711,66788.4421376371,10.0481457348115,0.00248605164632684,0.0123891751276442,516952.128016294,443252,3190414.46922,3720889.13105244,40201,13.8932419056,290423,28564,261859,184516,49723,27620,78287,0.189884632569436,0.704638755971725,15.66,32064.7773610415,33666,160818.49692,20.9341590953604,0.172567559775251,17853.2514542574,14559,76479.81452,19.0363955396266,0.0593311832288765,549016.905377336,0.50654400244919,15.0097660489156,15.1294732114139,14.3296219653654,14.4331542553239,13.1221973355231,12.668283377122
1962,457910,3288030.24198,541517.911658828,3888378.21866323,43511,312431.446919246,13.9265750708015,0.0649380951142526,0.0389536893477543,104767,2020836.38805,102631.490613308,989822.419231177,7179,69237.3764153357,10.3686771100846,-0.00613931481640098,0.0123854494817987,541517.911658828,457910,3288030.24198,3888378.21866323,43511,13.9265750708015,316808,29824,286984,199256,57859,29869,87683,0.201610542748028,0.694310484208179,15.85,34516.7732952932,35890,170573.68254,21.0407604887018,0.181574047910429,19249.1634702116,15620,81184.2542,19.2401841390569,0.0563376179565842,576034.684954121,0.529962156045557,15.0441321083966,15.173502718294,14.4091824297236,14.5080518767936,13.2234840025898,12.8077649809484
1963,473397,3392401.43154,567592.438907842,4067413.61327225,46201,331080.126275789,13.9546279988774,0.0669394767075591,0.039102351447448,113625,2135902.43225,112025.767993537,1052920.17747886,8018,75360.4651343476,10.6395309340329,-0.00390684022950722,0.0123887948468489,567592.438907842,473397,3392401.43154,4067413.61327225,46201,13.9546279988774,337829,31340,306489,210106,64716,31667,96056,0.211152765678377,0.685525418530518,16.032,37625.3014272821,38893,181749.52626,21.3992304686187,0.169993221482827,20563.3427719833,16581,85398.64808,19.415998230402,0.0577311040721138,605217.740335124,0.539980766110529,15.0797423641019,15.2185178795639,14.4635206057299,14.5608785903718,13.3032700947962,12.9083472062109
1964,499570,3521261.007,606184.889670143,4272744.99074819,51757,364813.551532916,14.1872470971874,0.0531573198153778,0.0392097261848601,119850,2248633.6754,118968.124857901,1116043.93764985,8119,76164.6091388093,10.6598065581919,0.0083185808254612,0.0123854108286216,606184.889670143,499570,3521261.007,4272744.99074819,51757,14.1872470971874,364523,33252,331271,225657,71736,33878,104988,0.216547781121801,0.681185494655433,16.276,40761.138846474,41901,192230.82602,21.7972324561725,0.170661788513075,22753.2273299559,18346,92161.28012,19.9064075239757,0.0411769479822149,646946.028516617,0.546485083421103,15.1304188728326,15.2677670336382,14.5261706063482,14.6218234844259,13.3770798927429,12.9962265484805
1965,534604,3698084.04174,655034.029516025,4531149.95650961,61567,425885.21634295,14.4562425830772,0.0521233970317517,0.0391973429128531,131815,2367179.89475,131481.806033289,1180598.14045223,8730,78388.1974022968,11.1368806648234,-0.0129179026863891,0.012395564487405,655034.029516025,534604,3698084.04174,4531149.95650961,61567,14.4562425830772,400741,35828,364913,245400,83491,36022,119319,0.228797000928989,0.672489059035989,16.574,44723.9120801434,45810,205490.30162,22.2930229012528,0.167615382378873,25076.0989481607,20185,99904.00376,20.2043954599563,0.0538112849618519,699757.941596169,0.557090141209332,15.1897774502887,15.326486318778,14.6047492315501,14.6984055958894,13.4868908413301,13.1298291041599
1966,582406,3916621.77522,718922.800479285,4834683.52843087,71377,480003.146344437,14.870110861478,0.042870714181567,0.0389458693967185,146799,2497091.7494,146889.016013532,1249311.47339177,9802,83367.3707846062,11.7575976161287,-0.0186186227335342,0.0124123843185556,718922.800479285,582406,3916621.77522,4834683.52843087,71377,14.870110861478,440080,39392,400688,272851,90864,36973,130256,0.226769955676237,0.680956255240985,17.039,49637.304554983,50490,221748.94432,22.7689922740463,0.172586726588877,27806.0101855644,22327,107516.04852,20.7662021692015,0.0402000024430266,768560.105034268,0.557344960728569,15.255174612011,15.3913262304214,14.6706037003391,14.7643771593043,13.5469223755687,13.1867845138722
1967,632741,4112866.63326,788310.400558808,5124080.06294858,73210,475870.800566052,15.3844278558205,0.0379636638314252,0.0385701080436314,161719,2631893.4704,161810.202661972,1316688.87338576,10188,82902.2275565493,12.2891752131154,-0.0154201110024024,0.0124267069447494,788310.400558808,632741,4112866.63326,5124080.06294858,73210,15.3844278558205,463191,43452,419739,291064,89364,39311,132816,0.2129037330341,0.693440447516195,17.533,55727.5493673346,56339,238197.0081,23.6522702150599,0.154455806416098,30835.328892963,24666,115683.47852,21.3219729520284,0.042792565558265,844037.949926143,0.532453966993789,15.3187325671168,15.4494615669642,14.6884737350215,14.7869801415004,13.5378053571949,13.1415585619987
