"year","GVA_NF","GOS_NF","EC_NF","Wsh_NF","Psh_NF","e_NF","KNC_NF","KNR_NF","pK_NF","IGC_NF","IGp_NF","KGC_NF","KGR_NF"
1929,50825,15725,32147,0.632503689129365,0.367496310870635,0.581018446511338,102600,2408448.64541875,4.26000364156245,7769,4.26000364156245,37550.5906607121,881468.510833001
1930,45259,13477,28791,0.636138668552111,0.363861331447889,0.571984300649508,97578,2450604.02445983,3.98179383637911,6446,3.98179383637911,40798.7522910525,1024632.46384834
1931,35431,9113,23522,0.663881911320595,0.336118088679405,0.506291981974322,87862,2442861.199738,3.59668408542504,4175,3.59668408542504,40223.4511504233,1118348.18391257
1932,25721,5395,17432,0.677734147194899,0.322265852805101,0.475504818724185,82123,2407158.17463178,3.41161627289251,2552,3.41161627289251,39819.2302004044,1167166.14693141
1933,24976,4974,16597,0.664517937219731,0.335482062780269,0.50485027414593,82685,2368228.97255812,3.49142760088291,2380,3.49142760088291,42105.4840902302,1205967.55549456
1934,31484,7882,19585,0.622061999745903,0.377938000254097,0.607556803676283,83912,2344140.18453465,3.57964939783062,2956,3.57964939783062,44958.4354985846,1255945.21982602
1935,34931,9318,21537,0.616558357905585,0.383441642094415,0.621906486511585,83436,2330160.08434244,3.58069819153842,3428,3.58069819153842,47115.4706402907,1315817.98073989
1936,40184,11261,24641,0.61320426040215,0.38679573959785,0.630777971673227,91866,2340268.77217373,3.92544655948519,4422,3.92544655948519,54534.9422243367,1389267.21833882
1937,45751,12441,28781,0.629079145811021,0.370920854188979,0.58962509989229,95067,2371024.99259656,4.00953175512039,5723,4.00953175512039,59714.1396997445,1489304.57087629
1938,40242,10245,25513,0.633989364345709,0.366010635654291,0.577313526437502,93989,2373175.77724151,3.96047359413255,4467,3.96047359413255,61606.9520450536,1555545.07764739
1939,44443,11768,28023,0.630537992484756,0.369462007515244,0.585947257609821,94830,2379843.20964087,3.98471628785623,4824,3.98471628785623,64808.8873985036,1626436.68248137
1940,51078,15041,31010,0.607110693449235,0.392889306550765,0.647146081909062,100547,2405652.62538031,4.17961425266479,5979,4.17961425266479,71706.4121389663,1715622.72985476
1941,66680,21120,39642,0.594511097780444,0.405488902219556,0.682054386761516,112617,2446087.37670543,4.60396472638197,7339,4.60396472638197,83664.1480143753,1817219.57023165
1942,84033,26966,50790,0.604405412159509,0.395594587840491,0.654518606024808,120147,2443076.2782025,4.91785709156812,5984,4.91785709156812,92303.4839863076,1876904.55960109
