"year","GVA_NF","GOS_NF","EC_NF","Wsh_NF","Psh_NF","e_NF","KNC_NF","KNR_NF","pK_NF","IGC_NF","IGp_NF","KGC_NF","KGR_NF"
1943,99680,31048,61991,0.621900080256822,0.378099919743178,0.607975351260667,121044,2423934.29486241,4.99369971605896,5216,4.99369971605896,95657.4030573604,1915561.77776852
1944,103244,31073,64833,0.627959009724536,0.372040990275464,0.592460629617633,122510,2427590.62875883,5.04656751219362,6646,5.04656751219362,99818.751722149,1977953.3609917
1945,96576,26820,61658,0.638440192180252,0.361559807819748,0.566317428395342,134003,2465659.51697451,5.43477309326264,9022,5.43477309326264,112551.061780498,2070943.16265062
1946,100771,24393,66853,0.663415069811751,0.336584930188249,0.507351951296127,161715,2537065.56718696,6.37409620356427,12964,6.37409620356427,140052.308933832,2197210.46656807
1947,122211,32256,78763,0.644483720777999,0.355516279222001,0.551629572261087,192728,2643099.25018316,7.29174282754023,16831,7.29174282754023,171085.155595539,2346286.19853907
1948,140041,40196,87467,0.624581372598025,0.375418627401975,0.601072404449678,211040,2746121.83467642,7.68501955503613,18915,7.68501955503613,192552.448364779,2505555.73718217
1949,136291,38434,84902,0.622946489496739,0.377053510503261,0.605274316270524,215670,2813441.39406346,7.6657008194689,17205,7.6657008194689,202194.530665119,2637652.25681124
1950,154866,46116,94387,0.609475288313768,0.390524711686232,0.640755612531387,241923,2890009.3274238,8.3710110449939,18927,8.3710110449939,231543.492069792,2766015.84713308
1951,177643,52470,109808,0.618138626346099,0.381861373653901,0.617760090339502,262117,2983783.53794378,8.78471902089229,22791,8.78471902089229,256708.234506678,2922213.37866539
1952,185883,51316,117770,0.63357057934292,0.36642942065708,0.578356117856839,277787,3083579.94546959,9.00858758042339,24435,9.00858758042339,277843.643963093,3084208.72287323
1953,199043,52960,128198,0.644071883964771,0.355928116035229,0.552621725767953,292500,3195420.74700718,9.15372413081921,26931,9.15372413081921,298674.907638712,3262878.62044169
1954,196164,52902,125945,0.642039314043351,0.357960685956649,0.557537020127834,301967,3289625.11445612,9.17937422939223,26377,9.17937422939223,314665.674722667,3427964.33459605
1955,221376,64330,137886,0.622858846487424,0.377141153512576,0.605500195813933,332305,3396304.03284581,9.7843124993011,28956,9.7843124993011,351730.652776823,3594842.79352226
1956,237233,65660,150770,0.635535528362412,0.364464471637588,0.573476155733899,368854,3533739.17165835,10.4380652357797,35341,10.4380652357797,396368.857473764,3797340.29746323
1957,247921,67461,158411,0.638957571161781,0.361042428838219,0.565049144314473,396424,3669883.83968388,10.8020857693999,38305,10.8020857693999,432968.537807809,4008193.85302715
1958,242248,64733,155209,0.640702916019947,0.359297083980053,0.560785779175177,404910,3748387.47922467,10.8022450252062,33954,10.8022450252062,450529.114964628,4170698.90484202
1959,271655,76464,170794,0.628716570650273,0.371283429349727,0.590541822312259,422056,3841086.29742217,10.9879332907269,36860,10.9879332907269,477605.081420107,4346632.51753789
1960,282484,75475,180409,0.638652100649948,0.361347899350052,0.565797715191593,431682,3956153.27592716,10.9116601378098,40047,10.9116601378098,496056.627498047,4546115.08453393
1961,290423,78287,184516,0.635335355670866,0.364664644329134,0.573971904875458,443252,4063047.27278136,10.9093488271568,40201,10.9093488271568,516952.128016294,4738615.80747549
1962,316808,87683,199256,0.628948763920103,0.371051236079897,0.589954631228169,457910,4187362.62525965,10.9355229288652,43511,10.9355229288652,541517.911658828,4951916.01884395
1963,337829,96056,210106,0.621930029689577,0.378069970310423,0.607897918193674,473397,4320281.11631778,10.9575508457533,46201,10.9575508457533,567592.438907842,5179920.64921895
1964,364523,104988,225657,0.619047357779893,0.380952642220107,0.615385297154531,499570,4484385.98472772,11.1402096452305,51757,11.1402096452305,606184.889670143,5441413.66253079
1965,400741,119319,245400,0.61236559273945,0.38763440726055,0.63301140994295,534604,4709573.13705432,11.3514321668307,61567,11.3514321668307,655034.029516025,5770496.79625502
1966,440080,130256,272851,0.620003181239775,0.379996818760225,0.612894949991021,582406,4987884.67011127,11.6764127184001,71377,11.6764127184001,718922.800479285,6157051.98006904
1967,463191,132816,291064,0.628388720851657,0.371611279148343,0.591371657092598,632741,5237805.84585488,12.0802683150377,73210,12.0802683150377,788310.400558808,6525603.40549313
1968,510944,144540,320869,0.627992500156573,0.372007499843427,0.592375704726851,696068,5491383.35549486,12.675640270197,79559,12.675640270197,874952.462503753,6902629.32564397
1969,554625,148380,356064,0.641990534144692,0.358009465855308,0.557655365327582,767094,5760876.67150752,13.315577536904,88572,13.315577536904,972484.109528336,7303356.58992712
1970,572890,144156,374485,0.653676971146293,0.346323028853707,0.529807602440685,843414,5990150.31465955,14.080013951168,90918,14.080013951168,1079929.09806224,7669943.38079227
1971,618097,162391,396190,0.64098353494678,0.35901646505322,0.560102476084707,921543,6188667.73738872,14.8908139700652,93782,14.8908139700652,1192127.03550017,8005788.25238623
1972,685949,182360,439924,0.641336309259143,0.358663690740857,0.559244324019603,998403,6424608.81294013,15.5402924764706,106816,15.5402924764706,1302951.05023988,8384340.59212636
1973,768838,203663,495100,0.64395880536602,0.35604119463398,0.552894364774793,1124922,6711738.56304138,16.7605157655344,124968,16.7605157655344,1475833.18040528,8805416.25956477
1974,830040,212677,542933,0.654104621464026,0.345895378535974,0.528807421910254,1372198,6984242.97755698,19.647054153319,140734,19.647054153319,1803688.85744316,9180454.45066614
1975,898280,249065,569021,0.6334561606626,0.3665438393374,0.578641210078363,1518805,7155660.51375974,21.225224381166,143302,21.225224381166,2015907.21579514,9497695.66433388
1976,1014666,287994,640004,0.630753371060034,0.369246628939966,0.585405716214274,1666379,7344499.40558666,22.6888029799887,160253,22.6888029799887,2230289.3645166,9829911.98999652
1977,1147401,329444,723326,0.630403843120234,0.369596156879766,0.586284745743966,1850996,7589688.85511134,24.3882988530344,191207,24.3882988530344,2493290.39253757,10223305.8876403
1978,1303931,371706,829499,0.636152526475711,0.363847473524289,0.57195005660043,2097947,7903488.33481002,26.5445700825524,230684,26.5445700825524,2836070.47010929,10684183.0976702
1979,1450326,399169,942400,0.649784944902043,0.350215055097957,0.538970713073005,2414175,8256647.17351138,29.2391687481215,272473,29.2391687481215,3271585.51080847,11189051.0260099
1980,1574527,422301,1030690,0.654602937898175,0.345397062101825,0.52764361738253,2766412,8574318.06557097,32.2639302489624,296668,32.2639302489624,3762477.59296236,11661560.0267217
1981,1789067,502566,1139850,0.637119794842787,0.362880205157213,0.569563539062157,3125661,8897580.99770747,35.1293346001048,339138,35.1293346001048,4271659.42170986,12159807.3813135
1982,1854861,518686,1183260,0.637923812080797,0.362076187919203,0.567585315146291,3320755,9143200.60416114,36.3193934352561,343827,36.3193934352561,4582901.9340691,12618332.7985328
1983,1985899,567771,1250110,0.62949324210345,0.37050675789655,0.588579405012359,3415779,9353332.26397308,36.5193805116579,342125,36.5193805116579,4764336.31716815,13046049.1126
1984,2226000,652790,1388207,0.623632973944295,0.376367026055705,0.60350725792335,3613437,9680896.76539947,37.3254367603092,401008,37.3254367603092,5072676.14235583,13590399.9594988
1985,2369165,682498,1490088,0.628950706261489,0.371049293738511,0.589949721090298,3801706,10019645.3469796,37.9425206017497,428068,37.9425206017497,5374862.92745954,14165803.54235
1986,2464907,682166,1578176,0.640257827171573,0.359742172828427,0.561870792611217,3959550,10276018.8766581,38.531945566917,417120,38.531945566917,5653299.56899869,14671721.0507339
1987,2641902,739604,1685458,0.637971431188591,0.362028568811409,0.567468308317383,4154780,10485290.222612,39.6248450142088,417524,39.6248450142088,5993395.1067873,15125346.4957104
1988,2873908,814761,1825308,0.635130978444682,0.364869021555318,0.574478389400583,4404530,10696282.1962819,41.1781394616817,443910,41.1781394616817,6415648.78082389,15580229.8615118
1989,3020213,837235,1934822,0.640624353315478,0.359375646684522,0.560977185498201,4650305,10928566.9379369,42.5518279423916,480992,42.5518279423916,6835605.73194094,16064188.2205278
1990,3160697,859646,2037523,0.644643570706082,0.355356429293918,0.551244820303869,4905710,11199135.646272,43.8043627200195,520085,43.8043627200195,7263293.50345098,16581210.3006158
1991,3231237,874387,2071121,0.640968458828616,0.359031541171384,0.560139171009323,5028760,11404320.5014006,44.0952181182773,514912,44.0952181182773,7520035.02404597,17054082.8347302
1992,3376497,885322,2188674,0.648208483525974,0.351791516474026,0.542713533399675,5205412,11610580.7488516,44.8333473802752,532336,44.8333473802752,7855848.51907852,17522333.21426
1993,3534936,944599,2271015,0.64244868931149,0.35755131068851,0.556544540656931,5454732,11875772.4955743,45.9315973089984,578320,45.9315973089984,8285120.69812057,18037954.6619805
1994,3816575,1067155,2398673,0.628488369808008,0.371511630191992,0.591119339734928,5759417,12179893.4443708,47.286267538423,630521,47.286267538423,8796526.44104205,18602708.3526826
1995,4041486,1158262,2524557,0.624660582765844,0.375339417234156,0.600869380251664,6106995,12583810.800693,48.5305691314406,716637,48.5305691314406,9358890.9878939,19284527.5779606
1996,4296356,1256972,2667703,0.620922242011602,0.379077757988398,0.610507616477546,6431219,13046014.4208935,49.2964271885233,781007,49.2964271885233,9881784.10499742,20045639.5495088
1997,4609353,1357903,2862551,0.621030977666497,0.378969022333503,0.610225634407911,6811804,13568224.9326881,50.2040910568133,855906,50.2040910568133,10491172.9546345,20897047.8974755
1998,4875176,1378440,3093832,0.634609294105485,0.365390705894515,0.575772698711501,7180238,14116459.9386867,50.8642962271459,911542,50.8642962271459,11090049.8558468,21803211.0506783
1999,5168284,1433673,3309975,0.640439844250045,0.359560155749955,0.561426898994705,7599121,14713947.9130548,51.6456972996198,987288,51.6456972996198,11772382.2839524,22794507.3829782
2000,5510787,1463591,3597328,0.652779358011841,0.347220641988159,0.531911185190786,8137294,15377464.9760229,52.917005583742,1087247,52.917005583742,12642883.9363379,23891911.1103714
2001,5470157,1446346,3582304,0.654881386402621,0.345118613597379,0.526994079787757,8540556,15853218.5394866,53.8726945492332,1048496,53.8726945492332,13382601.4989319,24841158.6071712
2002,5543551,1536068,3540451,0.638661211919941,0.361338788080059,0.565775377204769,8810698,16093031.0273989,54.7485304974528,935180,54.7485304974528,13968046.9350587,25513099.2706892
2003,5733743,1648317,3594306,0.626869045229268,0.373130954770732,0.595229510230904,9081233,16338650.6338525,55.5812912798584,953330,55.5812912798584,14537806.3342606,26155934.8469632
2004,6133641,1840566,3761333,0.613230053731544,0.386769946268456,0.630709378829261,9838424,16611585.2052971,59.2262802039069,1017506,59.2262802039069,15852348.4375542,26765733.696219
2005,6575529,2071120,3928746,0.597479837743853,0.402520162256147,0.673696645189075,10724500,16950333.7868773,63.2701404871613,1143620,63.2701404871613,17354822.1163049,27429719.5844326
2006,7021572,2282281,4127501,0.587831471357126,0.412168528642874,0.701167849505064,11601575,17392965.2668087,66.7026859539559,1271805,66.7026859539559,18781361.0662261,28156828.7657721
2007,7257367,2318987,4307101,0.593479839175833,0.406520160824167,0.684977203924403,12248970,17872375.1641688,68.5357703578046,1371569,68.5357703578046,19835248.889807,28941454.6393119
2008,7327703,2325994,4364267,0.595584591788177,0.404415408211823,0.679022617085527,13060201,18299951.1515855,71.3674090811356,1415006,71.3674090811356,21174256.6459833,29669364.3759869
2009,6904035,2200647,4094885,0.593114751011546,0.406885248988454,0.686014381356253,12692474,18397811.8529309,68.9890412047997,1182561,68.9890412047997,20759475.099061,30090974.9382293
2010,7287190,2482378,4166597,0.57177005128177,0.42822994871823,0.748954842524967,13078839,18578692.8415714,70.3969817011829,1249146,70.3969817011829,21499009.4215782,30539675.0003231
2011,7661063,2617490,4372725,0.57077261993538,0.42922738006462,0.75201116008896,13738372,18880017.7703294,72.7667323575846,1389556,72.7667323575846,22623700.2002838,31090718.886631
2012,8110944,2807524,4608338,0.568162965987683,0.431837034012317,0.760058398494208,14229170,19271460.5757109,73.8354518802481,1529893,73.8354518802481,23457828.3472614,31770413.4665649
2013,8417763,2917301,4773788,0.567108862532718,0.432891137467282,0.763329875562132,14783467,19661612.9103054,75.1894926801829,1572655,75.1894926801829,24387067.5381681,32434142.9485341
2014,8851699,3064114,5032917,0.568582031539934,0.431417968460066,0.758761171702216,15515241,20176510.7543073,76.8975428354867,1744503,76.8975428354867,25560338.1455041,33239473.2042186
2015,9222330,3147261,5303853,0.575109869197914,0.424890130802086,0.738798190673837,15792586,20634627.8836823,76.5343871913902,1760602,76.5343871913902,26051434.2643378,34038861.7722786
2016,9346389,3112813,5448417,0.582943530383766,0.417056469616234,0.715432023650172,16251521,21070591.9312144,77.1289247737017,1775302,77.1289247737017,26841959.2516286,34801417.6657896
2017,9771449,3217945,5727599,0.586156566953376,0.413843433046624,0.706028826389557,16888542,21507846.4495334,78.5227011901343,1868618,78.5227011901343,27957166.4161366,35603928.5358273
2018,10337804,3417287,6047036,0.584943959084541,0.415056040915459,0.709565479682939,17670681,22064684.5941117,80.0858082726262,2028676,80.0858082726262,29248044.129944,36520882.7391471
2019,10799812,3526559,6344263,0.587441985101222,0.412558014898778,0.70229575917644,18471301,22565387.259457,81.8567870678079,2069383,81.8567870678079,30607540.0301756,37391572.6802484
2020,10498662,3640692,6350094,0.60484793205077,0.39515206794923,0.653308124257688,18843167,22884133.5438391,82.3416231333477,1988702,82.3416231333477,31378927.4844458,38108220.7155783
2021,12072724,4371397,6998733,0.579714486970795,0.420285513029205,0.724987079804302,20906670,23288050.9001612,89.7742369665435,2185960,89.7742369665435,34837248.6481878,38805396.5428531
2022,13445428,4747192,7593396,0.56475673366441,0.43524326633559,0.770673885571094,23313722,23785097.2316099,98.0181908569897,2491698,98.0181908569897,38786548.42115,39570765.4691773
2023,14163359,5032026,8015626,0.565941031361275,0.434058968638725,0.766968543692033,24166378,24382585.2059781,99.1132720170908,2742568,99.1132720170908,40161881.5889362,40521194.3583204
2024,14849197,5232117,8451105,0.56912875490843,0.43087124509157,0.75707164921037,24954909,24954909,100,2851190,100,41512608.2513652,41512608.2513652
