"year","GVA_NF","CCA_NF","NVA_NF","EC_NF","Wages_NF","Supplements_NF","TPI_NF","NOS_NF","NetInt_NF","BusTransfer_NF","Profits_IVA_CC_NF","CorpTax_NF","PAT_IVA_CC_NF","Dividends_NF","Retained_IVA_CC_NF","PBT_NF","PAT_NF","Retained_NF","IVA_NF","CCAdj_NF","GOS_NF","ProfSh","WageSh","RetRate","DivPay","Py_fred"
1929,50825,5016,45809,32147,31763,384,2953,10709,1358,310,9041,1149,7892,5077,2815,10679,9314,3741,472,-550,15725,0.233775022375516,0.701761662555393,0.401653424951686,0.545093407773245,8.778
1930,45259,4872,40387,28791,28419,372,2991,8605,1606,306,6693,740,5953,4957,996,4422,3580,-1751,3260,-321,13477,0.213063609577339,0.712877906256964,-0.489106145251397,1.38463687150838,8.457
1931,35431,4560,30871,23522,23183,339,2796,4553,1778,337,2438,450,1988,3757,-1769,566,68,-4002,2414,-25,9113,0.14748469437336,0.761944867351236,-58.8529411764706,55.25,7.587
1932,25721,4076,21645,17432,17139,293,2894,1319,1765,352,-798,345,-1143,2396,-3539,-1312,-1695,-4275,1047,109,5395,0.0609378609378609,0.805359205359205,2.52212389380531,-1.41356932153392,6.7
1933,24976,3860,21116,16597,16324,273,3405,1114,1738,331,-955,488,-1443,1981,-3424,1834,1313,-727,-2143,136,4974,0.0527562038264823,0.785991665088085,-0.553693830921554,1.50875856816451,6.514
1934,31484,3944,27540,19585,19277,308,4017,3938,1684,319,1935,681,1254,2677,-1423,3155,2411,-96,-625,-73,7882,0.142992011619463,0.711147421931736,-0.0398175031107424,1.11032766486935,6.871
1935,34931,4020,30911,21537,21207,330,4076,5298,1670,312,3316,863,2453,3170,-717,4212,3261,576,-227,-126,9318,0.171395296172883,0.69674226003688,0.176632934682613,0.972094449555351,7.012
1936,40184,4080,36104,24641,24059,582,4282,7181,1600,318,5263,1257,4006,4298,-292,7003,5594,1175,-738,-139,11261,0.198897629071571,0.68250055395524,0.210046478369682,0.768323203432249,7.097
1937,45751,4556,41195,28781,27562,1219,4529,7885,1590,326,5969,1359,4610,4424,186,7357,5855,1317,-31,-546,12441,0.191406724117004,0.698652749120039,0.224935952177626,0.755593509820666,7.402
1938,40242,4632,35610,25513,24183,1330,4484,5613,1524,297,3792,912,2880,2745,135,4302,3273,355,963,-558,10245,0.157624262847515,0.716456051670879,0.108463183623587,0.838680109990834,7.19
1939,44443,4636,39807,28023,26588,1435,4652,7132,1476,306,5350,1330,4020,3425,595,7454,6013,2431,-714,-472,11768,0.179164468560806,0.703971663275303,0.404290703475802,0.569599201729586,7.12
1940,51078,4844,46234,31010,29469,1541,5027,10197,1335,317,8545,2675,5870,3710,2160,10370,7536,3754,-200,-564,15041,0.220551974737206,0.67071851883895,0.498142250530786,0.492303609341826,7.205
1941,66680,5364,61316,39642,37755,1887,5918,15756,1237,367,14152,7352,6800,4144,2656,18371,10761,6561,-2471,-598,21120,0.256963924587383,0.646519668601996,0.609701700585447,0.385094322089025,7.692
1942,84033,6124,77909,50790,48561,2229,6277,20842,1220,419,19203,11112,8091,3761,4330,22098,10683,6654,-1204,-483,26966,0.267517231642044,0.651914412968977,0.622858747542825,0.35205466629224,8.304
1943,99680,6304,93376,61991,59278,2713,6641,24744,1060,494,23190,13732,9458,3943,5515,25474,11400,7192,-773,-173,31048,0.264993145990404,0.663885795065113,0.630877192982456,0.345877192982456,8.683
1944,103244,6496,96748,64833,61781,3052,7338,24577,990,630,22957,12557,10400,4055,6345,24363,11414,7090,-287,473,31073,0.254031091081986,0.670122379790797,0.621166987909585,0.355265463465919,8.89
1945,96576,6736,89840,61658,58611,3047,8098,20084,942,667,18475,10184,8291,4068,4223,20051,9362,4990,-564,623,26820,0.223552983081033,0.686308993766696,0.533005767998291,0.434522537919248,9.12
1946,100771,7752,93019,66853,63608,3245,9525,16641,660,475,15506,8573,6933,4856,2077,24872,15768,10619,-5263,-2057,24393,0.178898934626259,0.718702630645352,0.673452562151192,0.307965499746322,10.296
1947,122211,9476,112735,78763,74759,4004,11192,22780,768,572,21441,10777,10664,5359,5305,31650,20457,14750,-5899,-2573,32256,0.202066793808489,0.698656140506497,0.721024588160532,0.261964119861172,11.426
1948,140041,11120,128921,87467,83441,4026,12378,29076,857,605,27614,11681,15933,5877,10056,35241,22987,16620,-2152,-2957,40196,0.225533466231258,0.678454247174626,0.723017357636925,0.255666246139122,12.067
1949,136291,12008,124283,84902,80689,4213,12955,26426,999,588,24840,9262,15578,6040,9538,28917,18907,12308,1856,-2840,38434,0.212627632097712,0.683134459258306,0.650975829058021,0.319458401650182,12.046
1950,154866,12848,142018,94387,88948,5439,14363,33268,932,601,31735,16764,14971,7375,7596,42512,24784,16733,-4965,-2757,46116,0.234251996225831,0.664612936388345,0.675153324725629,0.297571013557134,12.195
1951,177643,14636,163007,109808,103053,6755,15365,37834,1096,727,36011,21104,14907,7042,7865,43636,21332,13669,-1199,-2983,52470,0.232100461943352,0.673639782340636,0.640774423401463,0.330114382148884,13.06
1952,185883,15580,170303,117770,110547,7223,16797,35736,1258,824,33654,17677,15977,7053,8924,39394,20287,12534,981,-2598,51316,0.209837759757608,0.691532151518176,0.617834080938532,0.347661063735397,13.286
