year,gdpdef_2005base,Py_2011base
1946,10.296,11.254796077874094
1947,11.426,12.490025251145047
1948,12.067,13.19071719810671
1949,12.046,13.16776161170079
1950,12.195,13.330636962866608
1951,13.06,14.276188498158088
1952,13.286,14.52323433281228
1953,13.447,14.699227161924334
1954,13.572,14.835867557197668
1955,13.801,15.08619276133842
1956,14.271,15.599960647566164
1957,14.744,16.117007903280463
1958,15.08,16.48429728577519
1959,15.287,16.710573780347833
1960,15.495,16.937943398082663
1961,15.66,17.118308719843466
1962,15.85,17.326002120658934
1963,16.032,17.524950536176913
1964,16.276,17.791672587750462
1965,16.574,18.117423290082098
1966,17.039,18.625725560498903
1967,17.533,19.165728402619127
1968,18.28,19.982291404772578
1969,19.176,20.961729758091842
1970,20.189,22.069063521386955
1971,21.212,23.187328516303936
1972,22.13,24.19081557919131
1973,23.342,25.51568085176157
1974,25.443,27.812332615515796
1975,27.8,30.38882390878981
1976,29.33,32.06130234693543
1977,31.152,34.05297274843957
1978,33.343,36.448005596790594
1979,36.11,39.472677386561145
1980,39.371,43.03735201845193
1981,43.097,47.11032892075951
1982,45.759,50.020222778500454
1983,47.552,51.98019260830118
1984,49.267,53.85489883145135
1985,50.826,55.559077841300386
1986,51.849,56.677342836217356
1987,53.134,58.08200609962725
1988,55.008,60.1305189055651
1989,57.165,62.488385566401774
1990,59.305,64.82766913348127
1991,61.31,67.01938107366557
1992,62.707,68.54647413124037
1993,64.194,70.17194827341197
1994,65.564,71.66952700560772
1995,66.939,73.17257135361442
1996,68.164,74.51164722729311
1997,69.34,75.79716006602465
1998,70.119,76.64870300936806
1999,71.111,77.73308118625727
2000,72.722,79.49410260054
2001,74.36,81.2846383402018
2002,75.515,82.54719559252742
2003,77.006,84.17704222734777
2004,79.077,86.44090029623638
2005,81.556,89.150752615297165
2006,84.071,91.89995736819668
2007,86.349,94.39009193165795
2008,88.013,96.2090488735366
2009,88.556,96.80261475060395
2010,89.632,97.97881527311684
2011,91.481,100
