"year","asset","K_net_cc","K_gross_cc","K_net_chain","K_net_real","IG_cc","IG_real","D_cc","D_real","p_K"
1940,"Nondefense_Total",1459,1485,6.1,52974.352,5.145,186.808115860178,26,944.025464016449,0.0275416299570781
1941,"Nondefense_Total",1619,1648,6.187,53729.88784,5.249,174.199000168104,29,962.425415293391,0.0301322050926507
1942,"Nondefense_Total",1679,1710,6.107,53035.14224,5.265,166.307340020012,31,979.207510089339,0.0316582539253316
1943,"Nondefense_Total",1748,1780,5.947,51645.65104,5.17,152.750581165217,32,945.458142608696,0.0338460250727822
1944,"Nondefense_Total",1774,1807,5.817,50516.68944,5.049,143.776079471567,33,939.712937722661,0.0351171072306119
1945,"Nondefense_Total",1842,1875,5.655,49109.8296,4.935,131.572751941368,33,879.817794136808,0.0375077660623771
1946,"Nondefense_Total",1884,1921,4.79,41597.8928,4.564,100.771116103609,37,816.943754564756,0.0452907556894324
1947,"Nondefense_Total",2422,2466,4.492,39009.96544,4.152,66.8742264685714,44,708.686407663088,0.0620866994544049
1948,"Nondefense_Total",2563,2610,4.505,39122.8616,4.053,61.866936427936,47,717.430548263753,0.065511567793906
1949,"Nondefense_Total",2614,2662,4.791,41606.57712,4.191,66.7074080757154,48,764.007537016067,0.0628266053335944
1950,"Nondefense_Total",2991,3043,5.16,44811.0912,4.476,67.0593260485456,52,779.062769107322,0.0667468682396201
1951,"Nondefense_Total",3490,3566,5.481,47598.75792,4.739,64.6333850380745,76,1036.53455642407,0.0733212409841807
1952,"Nondefense_Total",3615,3693,5.728,49743.78496,4.919,67.6873245416985,78,1073.30988295436,0.0726723952129275
1953,"Nondefense_Total",3824,3906,6.063,52653.03216,5.108,70.3325544647699,82,1129.06606619247,0.0726263966789183
1954,"Nondefense_Total",4071,4147,6.452,56031.23264,5.371,73.9237903486711,76,1046.02645066077,0.0726559065040765
1955,"Nondefense_Total",4584,4663,6.716,58323.89312,5.645,71.8233805982548,79,1005.14562750436,0.0785955764401483
1956,"Nondefense_Total",5114,5197,7.171,62275.25872,5.95,72.4555708611654,83,1010.72476999609,0.0821192895077867
1957,"Nondefense_Total",5536,5623,7.718,67025.58176,6.442,77.9947250176879,87,1053.32832606936,0.0825953293448892
1958,"Nondefense_Total",6026,6121,8.451,73391.18832,7.126,86.7881858560106,95,1157.01342356455,0.0821079497136012
