"year","asset","K_net_cc","K_gross_cc","K_net_chain","K_net_real","IG_cc","IG_real","D_cc","D_real","p_K"
1987,"Nondefense_Total",140569,143039,44.719,388354.10608,44.258,122.272876856836,2470,6823.94156618885,0.361960895479867
1988,"Nondefense_Total",149214,151853,45.856,398228.17792,45.601,121.701738049579,2639,7043.06674662485,0.374694730994087
1989,"Nondefense_Total",158849,161655,47.147,409439.63504,46.787,120.595359143693,2806,7232.57694994769,0.387966836636325
1990,"Nondefense_Total",168195,171174,48.723,423126.12336,48.205,121.268734365283,2979,7494.23420131062,0.397505591629232
1991,"Nondefense_Total",174447,177570,50.382,437533.41024,49.807,124.921761703117,3123,7832.84802937007,0.398705552346987
1992,"Nondefense_Total",184124,187365,51.949,451141.73968,51.405,125.952842259838,3241,7941.11782441659,0.408128939988132
1993,"Nondefense_Total",196870,200336,53.575,465262.444,53.022,125.306777598253,3466,8191.19028244019,0.423137527085681
1994,"Nondefense_Total",212174,215882,55.188,479270.25216,54.645,123.435118955589,3708,8375.83349048083,0.442702210378723
1995,"Nondefense_Total",224603,228579,57.043,495379.66576,56.353,124.290994797813,3976,8769.38220354029,0.453395679161395
1996,"Nondefense_Total",240142,244357,59.343,515353.60176,58.432,125.397230213958,4215,9045.54568304753,0.465975204558353
1997,"Nondefense_Total",262259,266815,61.452,533668.83264,60.653,123.422325663233,4556,9270.96954349647,0.491426487663958
1998,"Nondefense_Total",285426,290391,63.834,554354.88288,62.948,122.257717122933,4965,9643.0317963297,0.514879563281101
1999,"Nondefense_Total",310166,315593,66.311,575865.94352,65.457,121.52994546465,5427,10075.973754322,0.538607992867402
2000,"Nondefense_Total",332110,337960,68.609,595822.51088,67.863,121.749730679141,5850,10495.2024589684,0.557397536909927
2001,"Nondefense_Total",352341,358573,70.613,613225.88816,69.965,121.769391768527,6232,10846.3781819689,0.574569676203998
2002,"Nondefense_Total",377517,384111,73.53,638558.0496,72.418,122.4927535341,6594,11153.5421691272,0.591202319407736
2003,"Nondefense_Total",403589,410656,76.509,664428.63888,75.398,124.127740137304,7067,11634.4032938583,0.607422643130364
2004,"Nondefense_Total",457885,465681,79.28,688492.8896,78.254,117.665620369216,7796,11722.35510515,0.665054072331846
2005,"Nondefense_Total",519927,528763,81.258,705670.47456,80.541,109.314203131472,8836,11992.6534171377,0.736784403972952
2006,"Nondefense_Total",577564,587495,83.297,723377.80304,82.477,103.299428394654,9931,12438.2145736061,0.798426489688768
2007,"Nondefense_Total",615408,625849,85.392,741571.45344,84.53,101.859311155011,10441,12581.4866647282,0.829870132062456
2008,"Nondefense_Total",668887,680407,87.458,759513.25856,86.81,98.5717258305119,11520,13080.8234254982,0.880678503582909
2009,"Nondefense_Total",656197,668252,89.429,776630.05328,88.888,105.201779611843,12055,14267.4765234989,0.844928672575358
2010,"Nondefense_Total",670745,682773,91.394,793694.74208,90.921,107.587115289202,12028,14232.7715566098,0.845091903018292
2011,"Nondefense_Total",709786,722334,93.232,809656.52224,92.869,105.936143519183,12548,14313.5678092658,0.876650753132084
2012,"Nondefense_Total",728581,741694,94.553,821128.50896,94.446,106.442939298769,13113,14778.6699598157,0.887292295968123
2013,"Nondefense_Total",760477,773974,95.811,832053.38352,95.733,104.743426250262,13497,14767.342756414,0.913976212418972
2014,"Nondefense_Total",789181,803250,96.971,842127.19472,96.94,103.443709689104,14069,15012.8899485868,0.93712803119058
2015,"Nondefense_Total",813431,828022,98.033,851349.94256,98.067,102.638496463783,14591,15271.1748284648,0.955460215988295
2016,"Nondefense_Total",835857,850832,99.022,859938.73504,99.077,101.931490735327,14975,15406.442199113,0.971995987552672
2017,"Nondefense_Total",868432,883886,100,868432,100,100,15454,15454,1
2018,"Nondefense_Total",926520,942765,101.122,878175.80704,100.99,95.7205184485706,16245,15397.3643152493,1.05505070006762
2019,"Nondefense_Total",967206,984381,102.146,887068.55072,102.08,93.6222042227794,17175,15751.9725462993,1.09033963521191
2020,"Nondefense_Total",1006661,1024419,103.136,895666.02752,103.067,91.7027782524642,17758,15799.9935595997,1.12392450876733
2021,"Nondefense_Total",1171094,1190250,104.103,904063.76496,104.019,80.3008202308049,19156,14788.0917172949,1.2953665940276
2022,"Nondefense_Total",1400231,1423365,104.809,910194.89488,104.857,68.1604007427576,23134,15037.8392552043,1.53838590820113
2023,"Nondefense_Total",1418611,1444228,105.673,917698.14736,105.651,68.3455344465335,25617,16571.6136706406,1.54583618162574
2024,"Nondefense_Total",1471606,1497594,106.675,926399.836,106.58,67.0938379708156,25988,16359.867340829,1.58852143838247
