"year","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_WITH_RC_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_WITH_RC_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_WITH_RC_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_WITH_RC_D_real","TOTAL_ALL_D_real","ME_Ret_real","NRC_Ret_real","RC_Ret_real","IP_Ret_real","NR_Ret_real","TOTAL_PRODUCTIVE_Ret_real","TOTAL_WITH_RC_Ret_real","TOTAL_ALL_Ret_real"
1935,40425.16716,2975943.12624,1936854.52366,339895.30992,3016368.2934,3016368.2934,4953222.81706,5293118.12698,92120.2951805395,2827766.50845419,2764050.68124217,160447.256275584,2919886.80363473,2919886.80363473,5683937.4848769,5844384.74115249,7577.60455551464,54285.0408557279,76612.7086152649,25893.8427011782,61862.6454112426,61862.6454112426,138475.354026508,164369.196727686,6850.2898325523,76050.0975319332,92137.1579159277,24884.4566292945,82900.3873644855,82900.3873644855,175037.545280413,199922.001909708,6038.76361607321,74958.9585837422,54845.6729107532,33638.3533936015,80997.7221998155,80997.7221998155,135843.395110569,169481.74850417
1936,43071.78204,2970851.69232,1942513.27655,346699.54564,3013923.47436,3013923.47436,4956436.75091,5303136.29655,95625.8299630944,2817184.33421929,2798508.99980001,158475.47962012,2912810.16418239,2912810.16418239,5711319.1639824,5869794.64360252,9646.88779459086,63832.7338823168,89739.3321826822,30117.6745996523,73479.6216769077,73479.6216769077,163218.95385959,193336.628459242,7032.46537341529,69453.4329007906,84610.7865593094,23734.7491562207,76485.8982742059,76485.8982742059,161096.684833515,184831.433989736,6141.35301203597,74414.9081172156,55281.0136248435,32089.4512551169,80556.2611292515,80556.2611292515,135837.274754095,167926.726009212
1937,46913.12388,2982307.41864,1960270.05286,359754.18394,3029220.54252,3029220.54252,4989490.59538,5349244.77932,100749.24741546,2830045.88459832,2851601.92784569,165897.878652572,2930795.13201378,2930795.13201378,5782397.05985947,5948294.93851204,11498.4727832382,86997.9802269077,109063.108041675,39117.4949564762,98496.4530101459,98496.4530101459,207559.561051821,246677.056008297,7660.27289205913,76235.3434978057,91549.3242685591,26223.2095819341,83895.6163898648,83895.6163898648,175444.940658424,201668.150240358,6375.05533087296,74136.4298478761,55970.1799960003,31695.0959240239,80511.4851787491,80511.4851787491,136481.665174749,168176.761098773
1938,48281.97024,2977215.98472,1958123.62935,360782.7312,3025497.95496,3025497.95496,4983621.58431,5344404.31551,103646.658069796,2826640.54400509,2885436.88110398,161609.180191191,2930287.20207489,2930287.20207489,5815724.08317887,5977333.26337006,9614.02714870064,71069.5511067204,90866.9918152074,28890.8772691333,80683.578255421,80683.578255421,171550.570070628,200441.447339762,8261.54536337496,76433.904232342,93428.8805712309,27868.3558728641,84695.449595717,84695.449595717,178124.330166948,205992.686039812,6716.61649436398,74474.8916999559,57032.0385569137,33179.5757305144,81191.5081943199,81191.5081943199,138223.546751234,171403.122481748
1939,49206.14244,2975518.84008,1961831.08814,365134.2773,3024724.98252,3024724.98252,4986556.07066,5351690.34796,105877.492093236,2826657.94808103,2924570.37899373,161266.59100471,2932535.44017427,2932535.44017427,5857105.819168,6018372.41017271,9140.61122809272,74402.6815497581,96842.2355118298,31979.2468517576,83543.2927778508,83543.2927778508,180385.528289681,212364.775141438,8211.88602309934,76069.8769623405,93078.2619174068,27634.1416797451,84281.7629854399,84281.7629854399,177360.024902847,204994.166582592,6909.77720465309,74385.2774738181,57708.7376220796,32321.8360382382,81295.0546784712,81295.0546784712,139003.792300551,171325.628338789
1940,51011.62668,2982731.7048,1979587.86445,377199.92785,3033743.33148,3033743.33148,5013331.19593,5390531.12378,109111.804212105,2832230.58374366,2975062.00241254,168551.444276951,2941342.38795577,2941342.38795577,5916404.3903683,6084955.83464525,10292.8115917517,79958.3711384494,108983.03099868,39538.1714731829,90251.1827302011,90251.1827302011,199234.213728881,238772.385202064,8466.92821676275,73496.1516612893,91910.868792123,27943.2504271614,81963.0798780521,81963.0798780521,173873.948670175,201817.199097337,7058.4994728824,74385.7354758165,58491.4075798746,32253.3182009421,81444.2349486989,81444.2349486989,139935.642528574,172188.960729516
1941,55581.59124,2999844.57992,2001442.35837,399551.051,3055426.17116,3055426.17116,5056868.52953,5456419.58053,114874.419329611,2843824.77380948,3027770.42813254,184054.058110784,2958699.1931391,2958699.1931391,5986469.62127164,6170523.67938242,13036.7353983127,86126.5738485499,112209.665768255,49212.9026892226,99163.3092468626,99163.3092468626,211372.975015117,260585.87770434,8646.35715420742,71069.6744281498,91311.2658840589,28753.0940712032,79716.0315823572,79716.0315823572,171027.297466416,199780.391537619,7274.12028080702,74532.3837827279,59501.2400482507,33710.2888553902,81806.504063535,81806.504063535,141307.744111786,175018.032967176
1942,55412.82936,2981175.98888,1980758.64091,406315.72721,3036588.81824,3036588.81824,5017347.45915,5423663.18636,116584.116730929,2825319.32167298,3042372.12437423,185035.777449543,2941903.43840391,2941903.43840391,5984275.56277815,6169311.34022769,9367.99202329246,56332.0419111183,75157.1048043452,37792.5309609162,65700.0339344108,65700.0339344108,140857.138738756,178649.669699672,9758.32502426298,73815.2863198634,96754.1616366972,31703.812971709,83573.6113441264,83573.6113441264,180327.772980824,212031.585952533,7658.29462197407,74837.494047618,60555.4085626508,36810.8116221567,82495.7886695921,82495.7886695921,143051.197232243,179862.0088544
1943,53146.5984,2946525.95248,1955196.6882,403704.79955,2999672.55088,2999672.55088,4954869.23908,5358574.03863,115542.995278922,2794212.75516599,3050378.80563019,178189.183050658,2909755.75044491,2909755.75044491,5960134.55607511,6138323.73912576,6731.15299672131,43243.9419580841,68854.1237434433,30160.5610910241,49975.0949548054,49975.0949548054,118829.218698249,148989.779789273,9063.86990163935,77292.9090038757,94579.1423007261,32899.8761412102,86356.778905515,86356.778905515,180935.921206241,213835.797347451,7772.27444872863,74350.5084650785,60847.4424874847,37007.1554899086,82122.7829138072,82122.7829138072,142970.225401292,179977.3808912
1944,55463.7258,2926301.64552,1943098.66478,408807.97634,2981765.37132,2981765.37132,4924864.0361,5333672.01244,119433.764152565,2777680.16728767,3072400.27009445,181532.28024938,2897113.93144024,2897113.93144024,5969514.20153469,6151046.48178407,11593.6352255708,56999.3267313127,83029.0405768612,38980.9338088533,68592.9619568835,68592.9619568835,151622.002533745,190602.936342598,9483.14337625571,76458.3113858092,95831.6334499758,34062.6472792575,85941.4547620649,85941.4547620649,181773.088212041,215835.735491298,7702.86635192814,73531.9146096313,61007.5761126039,35637.8366101317,81234.7809615594,81234.7809615594,142242.357074163,177880.193684295
1945,58611.2688,2927433.07528,1965928.80575,424869.1374,2986044.34408,2986044.34408,4951973.14983,5376842.28723,123786.404102567,2779835.78769684,3124288.70991237,192738.703739755,2903622.19179941,2903622.19179941,6027910.90171177,6220649.60545153,12314.8908935065,75252.4669167383,113336.445219807,47512.8795402514,87567.3578102448,87567.3578102448,200903.803030052,248416.682570303,9460.44598441558,73994.0644599367,92174.0384360255,32399.2101409189,83454.5104443523,83454.5104443523,175628.548880378,208027.759021297,7962.25094350431,73096.8465075703,61448.005401889,36306.456049876,81059.0974510746,81059.0974510746,142507.102852964,178813.55890284
1946,61493.61456,2991500.28544,2022321.20524,459088.11355,3052993.9,3052993.9,5075315.10524,5534403.21879,127977.301395762,2831508.05753604,3201372.83236718,219423.352421731,2959485.3589318,2959485.3589318,6160858.19129898,6380281.54372071,12443.3242333663,124825.843199645,139569.896653057,65232.3894299263,137269.167433011,137269.167433011,276839.064086068,342071.453515994,9563.98213247525,69024.8995417108,88534.799307742,33279.3082532756,78588.8816741861,78588.8816741861,167123.680981928,200402.989235204,8252.42694017113,73153.5733604431,62485.7741982474,38547.7407479511,81406.0003006143,81406.0003006143,143891.774498862,182439.515246813
1947,72286.3386,3043828.91184,2091006.75756,497658.6358,3116115.25044,3116115.25044,5207122.008,5704780.6438,141022.267000715,2877287.56908452,3298803.39967612,248188.557603865,3018309.83608524,3018309.83608524,6317113.23576135,6565301.79336522,21576.7856980036,120292.881483642,161458.023956281,72649.8756664808,141869.667181646,141869.667181646,303327.691137927,375977.566804408,10829.4579658822,72548.1824936047,95701.3500437261,36175.2060202427,83377.6404594869,83377.6404594869,179078.990503213,215254.196523456,8531.82009305081,74513.369935159,64027.4566473436,43884.6704843461,83045.1900282098,83045.1900282098,147072.646675553,190957.317159899
1948,85444.40772,3109876.12408,2171790.3333,524915.13819,3195320.5318,3195320.5318,5367110.8651,5892026.00329,156722.977873829,2946916.37807653,3419404.32238237,266044.943765771,3103639.35595036,3103639.35595036,6523043.67833273,6789088.6220985,25102.1953398286,145346.902915282,186576.990699775,67494.097682679,170449.098255111,170449.098255111,357026.088954886,424520.186637565,12386.0873472203,80304.0471849176,106795.526691212,40915.2763995238,92690.1345321379,92690.1345321379,199485.66122335,240400.937622874,9401.48446671433,75718.093923277,65976.0679935223,49637.7115207731,85119.5783899913,85119.5783899913,151095.646383514,200733.357904287
1949,96681.80592,3170407.61624,2238134.3327,534290.74206,3267089.42216,3267089.42216,5505223.75486,6039514.49692,172660.175073485,3013279.05273272,3534651.24406361,267879.188865516,3185939.2278062,3185939.2278062,6720590.47186981,6988469.66073533,26385.3957245777,143913.105658203,183635.008128885,55043.2338528993,170298.501382781,170298.501382781,353933.509511666,408976.743364565,15004.4610116554,82873.4440894534,116934.146669373,45490.8398072394,97877.9051011088,97877.9051011088,214812.051770482,260302.891577722,10448.1985249219,77550.4310020139,68388.0864476474,53208.9887531543,87998.6295269359,87998.6295269359,156386.715974583,209595.704727738
1950,106820.91252,3239990.54648,2319893.55549,545130.0478,3346811.459,3346811.459,5666705.01449,6211835.06229,186755.957753423,3077224.95718847,3657330.66498663,267318.406695564,3263980.91494189,3263980.91494189,6921311.57992852,7188629.98662409,25606.4610181706,143242.721632926,193372.445804298,53015.0556031514,168849.182651096,168849.182651096,362221.628455394,415236.684058546,15873.1763880593,78420.0797237857,116216.028153008,42956.2790644754,94293.2561118451,94293.2561118451,210509.284264853,253465.563329328,11510.6783382323,79296.8171771768,70693.0248812721,53575.8377731033,90807.4955154092,90807.4955154092,161500.520396681,215076.358169785
1951,113967.8442,3320180.63072,2392481.69601,570606.37224,3434148.47492,3434148.47492,5826630.17093,6397236.54317,198937.880016437,3159100.73984576,3781651.05945859,285877.577188508,3358038.61986219,3358038.61986219,7139689.67932078,7425567.25650929,24632.3194465753,162855.386793826,197467.00777169,72022.8518320567,187487.706240401,187487.706240401,384954.714012091,456977.565844148,17584.0797828407,84447.0679825691,125835.765672295,46932.9916561039,102031.14776541,102031.14776541,227866.913437705,274799.905093809,12450.3971835615,80979.6041365386,73146.6132997326,53463.6813391129,93430.0013201002,93430.0013201002,166576.614619833,220040.295958946
