"year","ME_p_K","NRC_p_K","RC_p_K","IP_p_K","NR_p_K","TOTAL_PRODUCTIVE_p_K","TOTAL_WITH_RC_p_K","TOTAL_ALL_p_K"
1937,0.0620082347839591,0.0312191155808002,0.0502461382074863,0.0552182598196359,0.0316959424552582,0.0316959424552582,0.0389839395989855,0.0400757506608721
1938,0.0613686638153232,0.0307586014820528,0.0499631374309476,0.0537886055007502,0.0312470877215483,0.0312470877215483,0.0386008441342431,0.0396261187398189
1939,0.0613744514454159,0.0305902953037773,0.0499472154317331,0.0550044223415888,0.0310910911052979,0.0310910911052979,0.0385095439174684,0.0396349538573089
1940,0.061887851955871,0.0323418294192398,0.0523659504392856,0.0589051014050983,0.0328386383140062,0.0328386383140062,0.0405492859049559,0.0418337256240288
1941,0.0669646175462752,0.0360632016485618,0.0576599168681459,0.0658363929569541,0.0366253326806828,0.0366253326806828,0.044950545712749,0.046479929971838
1942,0.0691717070626043,0.0388943827645552,0.061258346925224,0.0706224201485789,0.0394468949106605,0.0394468949106605,0.0480576643262512,0.0497481113278871
1943,0.0711616568860219,0.0399131050928011,0.0629737155054987,0.0711856783274154,0.0404667502672547,0.0404667502672547,0.0493480227634423,0.0509932302941289
1944,0.071073479885118,0.0406496029492073,0.0638933072469876,0.0711629950581115,0.0412155165466945,0.0412155165466945,0.0501630092098209,0.0517725873199456
1945,0.07356947031319,0.0437062083777141,0.068045190450814,0.0782735131186773,0.0442923763882512,0.0442923763882512,0.0537222218196261,0.0556622240363655
1946,0.0788374538509157,0.0530098562155663,0.0811206447200018,0.0889742051566998,0.0535300774757526,0.0535300774757526,0.0645238755051671,0.0665520717300623
1947,0.0852304891812573,0.0622896376542357,0.0937395344569448,0.10017911157084,0.0628218099354183,0.0628218099354183,0.0752373382836241,0.0774131430416981
1948,0.0969636307521707,0.064280695443822,0.0983561795651906,0.10553515410323,0.065154652851907,0.065154652851907,0.0785895821051092,0.0809901381517227
1949,0.0979708633891021,0.063204806528206,0.0975249773040578,0.102592082708864,0.0642336259842118,0.0642336259842118,0.0777681378748769,0.079964209084404
1950,0.106027927798121,0.0692042142664888,0.105940636551356,0.115023929157919,0.0703795247762118,0.0703795247762118,0.0849378957911608,0.0875781463198487
1951,0.109530895206667,0.0733595629546159,0.111724992690971,0.121044915304502,0.0745599678843137,0.0745599678843137,0.0898203566464674,0.0926054548713687
1952,0.112885959116412,0.075585431858264,0.114641143346128,0.122303176861927,0.0768343450716862,0.0768343450716862,0.0923902829068586,0.0951167340972435
1953,0.114845286569,0.0754765417640182,0.115891305689511,0.1233923244757,0.0767981576586652,0.0767981576586652,0.0929586568383023,0.0957751058199502
1954,0.113339995914802,0.0752250091179641,0.115807961239098,0.123018852710273,0.0764818022427278,0.0764818022427278,0.0927752735067622,0.0956050844821361
1955,0.117674625006385,0.0805863917638791,0.12313489162057,0.131276911110034,0.0817987733635062,0.0817987733635062,0.0990231138981125,0.102056295153425
1956,0.120822114320537,0.0856086151636211,0.131084045798057,0.141055430638064,0.0867105651252721,0.0867105651252721,0.105260677157121,0.108711615082196
1957,0.127101105411986,0.0878196756117884,0.135248607425448,0.145645347281834,0.0890043301501338,0.0890043301501338,0.108401302492467,0.112065232413462
1958,0.130894886991476,0.0866112646169926,0.13519756375172,0.144375954664527,0.0879239481146381,0.0879239481146381,0.107765788978125,0.111354486738947
1959,0.133419131332413,0.0873054924626013,0.137111677077499,0.146827308776366,0.0886556245909234,0.0886556245909234,0.1090571977481,0.112726131215151
1960,0.136113858717299,0.0860530790856502,0.135859975813369,0.146570889803268,0.0874658344288919,0.0874658344288919,0.107893525902078,0.111661039546797
1961,0.137276524647712,0.0864606712675103,0.136082557354434,0.146782061257001,0.0878496454882308,0.0878496454882308,0.108248507441442,0.111998874879122
1962,0.139508152482274,0.0869227579294918,0.136457987968557,0.148249544086466,0.0883290334588448,0.0883290334588448,0.108749715051681,0.112599584854946
1963,0.141193612085599,0.0873137852681827,0.136931138942511,0.14921253283717,0.0887578252905242,0.0887578252905242,0.109268039791705,0.113177859525535
1964,0.143260326179898,0.089565304470478,0.13950855599995,0.151965890253818,0.0910036522022163,0.0910036522022163,0.111738918282352,0.115720651630665
1965,0.146647204024043,0.0920083342239692,0.142399507197791,0.154352903112378,0.0934931286102687,0.0934931286102687,0.114505045822531,0.118533861464024
1966,0.150925422648431,0.0950748188731155,0.146509932598954,0.159602357953828,0.0966251379318221,0.0966251379318221,0.118181671212537,0.122513279651742
1967,0.155104976391126,0.0984497208876961,0.151719913193072,0.164231960779787,0.100046564578226,0.100046564578226,0.122464569603955,0.12694009948641
1968,0.160063468925549,0.104386961698517,0.159498551752045,0.172283759417873,0.105944488874077,0.105944488874077,0.129316706733343,0.134003908656868
1969,0.166411214162271,0.110859945044422,0.168160813110922,0.180040536922123,0.112399616066014,0.112399616066014,0.136889046127284,0.141666497121051
1970,0.17401557424684,0.118325825883081,0.178272498578359,0.189516497764612,0.119865482540761,0.119865482540761,0.145600776310409,0.150505222535983
1971,0.180047623198691,0.128303303434643,0.189534740634445,0.199590782439482,0.129728379291505,0.129728379291505,0.156167210156475,0.161013551277926
1972,0.183593725361549,0.136145251089997,0.198826282646535,0.207538712800686,0.137460637379052,0.137460637379052,0.164733902983429,0.169512673767161
1973,0.195525026422732,0.149616593420746,0.214818130651765,0.221312939162536,0.150945664784848,0.150945664784848,0.179536745056792,0.18420643721437
1974,0.234832776995308,0.176117542846653,0.251702857577319,0.254660629617979,0.177860331755992,0.177860331755992,0.211034333198007,0.215995064183202
1975,0.256320534211061,0.185682993214906,0.269614028060453,0.274980977089329,0.187835591727386,0.187835591727386,0.224568095979917,0.230357198515096
1976,0.276979480278073,0.197784114367968,0.287510565052365,0.292011177093466,0.200235177828176,0.200235177828176,0.239521233617628,0.245591304982507
1977,0.298725003380486,0.2136250256414,0.30871104314572,0.314777654335648,0.216296163266192,0.216296163266192,0.258127268251309,0.264718906626544
1978,0.324083721741991,0.234781395917932,0.336104585481478,0.341402242264048,0.237607615393134,0.237607615393134,0.282524878636985,0.289413873224381
1979,0.366198543029993,0.261800271942498,0.369998693710779,0.378680797219184,0.265129876242456,0.265129876242456,0.313332002672671,0.320976620095694
1980,0.408799366190787,0.288320727057179,0.40753919062186,0.419955825929366,0.292012772634966,0.292012772634966,0.34534532089116,0.35408379896292
1981,0.456997916092334,0.316690567310537,0.445447656579112,0.44860777597189,0.320790449011238,0.320790449011238,0.378553562172021,0.386756308314485
1982,0.4894376945409,0.326692214975741,0.459536643598678,0.468166628210859,0.331081302528856,0.331081302528856,0.390779668185118,0.399741120505416
1983,0.503350880614936,0.327703682798825,0.460955778732484,0.477961036808386,0.332101118260078,0.332101118260078,0.392319622880435,0.402095666008969
1984,0.511044879042706,0.337516325805427,0.471914915510089,0.48886611805434,0.341568988480102,0.341568988480102,0.402948885474769,0.412669845273041
1985,0.518431297695829,0.343379880606933,0.478979339953543,0.502738805324101,0.347119010967459,0.347119010967459,0.409598165384902,0.420060209172986
1986,0.536944071900299,0.348560099337228,0.485856314499836,0.520206314062056,0.352256287669428,0.352256287669428,0.415997357797988,0.427561121886833
1987,0.549982749655815,0.359189690753232,0.498581060233618,0.539439350608315,0.362631887416031,0.362631887416031,0.427849689998225,0.4400557479906
1988,0.57011473840977,0.374294030066783,0.517694881450549,0.559219171375792,0.377644862729921,0.377644862729921,0.445236526165807,0.457519470633234
1989,0.590289121511427,0.387983653618493,0.534978881410193,0.576370597523131,0.391326910001669,0.391326910001669,0.461003632784265,0.473383987578128
1990,0.613287573825343,0.398343845482254,0.549713372099771,0.59573563906975,0.401789639415026,0.401789639415026,0.473736186344225,0.486783061025678
1991,0.63566204872842,0.398128523380217,0.551720090933768,0.603886424318285,0.401782145997291,0.401782145997291,0.474879839808271,0.488682869585639
1992,0.653927992138106,0.406625870443692,0.560696895901911,0.615075666422806,0.410236859595516,0.410236859595516,0.483887823432156,0.497955222080896
1993,0.670678153485888,0.42145046522088,0.575296997381329,0.627526462262521,0.424999459956938,0.424999459956938,0.499062229526512,0.512773733111749
1994,0.686159390252825,0.439243521163313,0.592887831441133,0.64760707156673,0.44275076573859,0.44275076573859,0.517282726954556,0.531226669478156
1995,0.704774398678179,0.452830479840103,0.607534282226156,0.663879255563548,0.456421918057854,0.456421918057854,0.531974512086126,0.546209467886588
1996,0.713813406717587,0.465287513209299,0.617258065136933,0.673280480328896,0.468840370988886,0.468840370988886,0.543584428420754,0.557757785603705
1997,0.717092723904786,0.483917919304318,0.629875257214065,0.684039137182973,0.487340029223721,0.487340029223721,0.559736986462208,0.573415880786511
1998,0.72536247450794,0.501359908658192,0.639401391243897,0.697290982629857,0.504692651796338,0.504692651796338,0.573815720320313,0.587441418793357
1999,0.732781460085983,0.517598363457686,0.650829067157722,0.710424379005368,0.52071295894292,0.52071295894292,0.588359061528761,0.601757937147277
2000,0.736936764272002,0.539809085852043,0.668601014035688,0.72352031496047,0.542599802142852,0.542599802142852,0.60890261138852,0.621405038903879
2001,0.745267761202136,0.563241743913899,0.683041295075476,0.728417090865449,0.565784375480925,0.565784375480925,0.627892692404784,0.638815155910216
2002,0.752998711808682,0.583949505238054,0.695381960454713,0.733832184889468,0.586333384870176,0.586333384870176,0.644388403792341,0.654008329966778
2003,0.766329802765371,0.602929339115022,0.705921357195818,0.745121775735849,0.605270765590497,0.605270765590497,0.659165357641202,0.668282429432888
2004,0.795541768784595,0.663397401363243,0.755836511952108,0.776680874859401,0.665343427289821,0.665343427289821,0.714120067262851,0.720675606131387
2005,0.814915116542766,0.735610084627375,0.811292428687075,0.810518564123557,0.736801789277651,0.736801789277651,0.777248361418998,0.780712800710723
2006,0.837685178509707,0.79489660641533,0.859966005968435,0.837961442412597,0.795540407613854,0.795540407613854,0.830795484536044,0.831536961040337
2007,0.862128555492109,0.827384322005705,0.882263842788419,0.866979250389282,0.827906400820844,0.827906400820844,0.857822139457102,0.858770990681062
2008,0.904681099380364,0.872250590536272,0.917725106972227,0.901431938293512,0.872742043649317,0.872742043649317,0.897567653428309,0.897968552658711
2009,0.914433514175961,0.825281804495713,0.881258921365086,0.887336953860519,0.826644220274234,0.826644220274234,0.85676929315688,0.859922318140956
2010,0.927564874435691,0.8424493397724,0.895390365753206,0.898924309008096,0.843771819537808,0.843771819537808,0.872346934261276,0.875077751997264
2011,0.953203453171184,0.87809031186747,0.924330038564442,0.924630328659976,0.879295155663242,0.879295155663242,0.904350623797318,0.906436770592257
2012,0.962418242304654,0.895646332750548,0.937458832531953,0.936022416432743,0.896788995654774,0.896788995654774,0.91953289015571,0.921231156529742
2013,0.973410352891864,0.924869695936188,0.955735415134156,0.956051085092413,0.92576736628029,0.92576736628029,0.942607806106534,0.943999849483048
2014,0.98244516971754,0.958115261454582,0.977999743661929,0.967195306477007,0.958595975435263,0.958595975435263,0.969557307381711,0.969312441227198
2015,0.985564372318404,0.961891943457195,0.97568085622097,0.966432087272482,0.96235830189612,0.96235830189612,0.969929242710121,0.969565761375469
2016,0.992435777045698,0.97653252403664,0.983798200766902,0.974124674500362,0.976835450288082,0.976835450288082,0.980816006501369,0.980117996345837
2017,1,1,1,1,1,1,1,1
2018,1.0216090592378,1.03278562381552,1.02156567683294,1.03084995222135,1.032583191265,1.032583191265,1.02620601073409,1.02669100348
2019,1.02660483418735,1.07123150409107,1.04557937039417,1.05238869211426,1.07043428287068,1.07043428287068,1.05596877768562,1.05559503161726
2020,1.03896304740004,1.07052730490571,1.04745266620534,1.08820797234682,1.06996864011952,1.06996864011952,1.05682272734688,1.06010152923356
2021,1.1334498347242,1.21225812086889,1.15109495193207,1.16980587373871,1.21084642864387,1.21084642864387,1.17580155417932,1.17517455763835
2022,1.23254945207469,1.38051067458201,1.26969600411581,1.27220047392364,1.37784045362332,1.37784045362332,1.3141232847555,1.30972977104841
2023,1.25405966551668,1.38594695244694,1.2812413865307,1.28812178653643,1.38359581252416,1.38359581252416,1.32303489471154,1.31938968203983
2024,1.26486635802909,1.39457374229528,1.29321146281122,1.30870756371344,1.39227903405007,1.39227903405007,1.3334281949778,1.33085566499729
