"year","ME_p_K","NRC_p_K","RC_p_K","IP_p_K","NR_p_K","TOTAL_PRODUCTIVE_p_K","TOTAL_WITH_RC_p_K","TOTAL_ALL_p_K"
1925,0.0627752727871179,0.0351400388988626,0.0557987504055794,0.0565498119200207,0.0355747986995425,0.0355747986995425,0.0435885021575665,0.0444160888052537
1926,0.0644060385369478,0.03506159025961,0.0559834962381799,0.0565425551188042,0.0355344559175466,0.0355344559175466,0.0436630421673186,0.0444787947401978
1927,0.064783235665586,0.0347141339333259,0.0555518889634479,0.0562780961406448,0.0352069016064445,0.0352069016064445,0.0432935245485283,0.0441108906943009
1928,0.0647654457831401,0.0347414722780032,0.0554785736650468,0.0566682623548943,0.0352388674267595,0.0352388674267595,0.0432821075698421,0.0441300086978397
1929,0.0646974562680001,0.0333853275714054,0.0536499362877555,0.0534835925116271,0.0339109547820181,0.0339109547820181,0.0417569495452429,0.0425138492989352
1930,0.0635567191768944,0.0309741483895944,0.0504245681843462,0.0483907455207384,0.0315186893435848,0.0315186893435848,0.0390243341470377,0.0396292581120338
1931,0.0609082048660619,0.0272657467991579,0.045238490780096,0.0431829454950064,0.0277988588089211,0.0277988588089211,0.0347031026920723,0.0352461917237418
1932,0.0630904472301208,0.0256751553906113,0.0428238410812507,0.040663441777028,0.0262250669797081,0.0262250669797081,0.0327670113141059,0.0332647728139067
1933,0.0632683351988754,0.0266098898736683,0.0435247162034602,0.0458466156462011,0.027110400362586,0.027110400362586,0.0335481631716362,0.0343250365429336
1934,0.0600726887694929,0.0272193749521514,0.0444711483954194,0.0480840838130653,0.027648777585118,0.027648777585118,0.0342301172899247,0.0351112573966159
1935,0.0591215860788045,0.0274292876366673,0.0445748500702345,0.0485443591554221,0.0278540257115938,0.0278540257115938,0.0343923555010016,0.0353011203448447
1936,0.0604339982400227,0.0304232622024353,0.0489417504362436,0.0534237792720748,0.0308521436562836,0.0308521436562836,0.0379417733849772,0.0389539299856183
