"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_WITH_RC_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_WITH_RC_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_WITH_RC_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_WITH_RC_D_cc","TOTAL_ALL_D_cc","ME_Ret_cc","NRC_Ret_cc","RC_Ret_cc","IP_Ret_cc","NR_Ret_cc","TOTAL_PRODUCTIVE_Ret_cc","TOTAL_WITH_RC_Ret_cc","TOTAL_ALL_Ret_cc","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_WITH_RC_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_WITH_RC_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_WITH_RC_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_WITH_RC_D_real","TOTAL_ALL_D_real","ME_Ret_real","NRC_Ret_real","RC_Ret_real","IP_Ret_real","NR_Ret_real","TOTAL_PRODUCTIVE_Ret_real","TOTAL_WITH_RC_Ret_real","TOTAL_ALL_Ret_real","adj_depression","adj_wwii","adj_gpim","adj_quality"
1925,2684,93999,99527,17362,96683,96683,196210,213572,4819.36,87810.0613157895,119689.5644,24588.84,92629.4213157895,92629.4213157895,212318.985715789,236907.825715789,686,4522,8498,1671,5208,5208,13706,15377,402,2310,4663,1182,2712,2712,7375,8557,295.24,2251.02868421053,2269.2156,5729.46,2546.26868421053,2546.26868421053,4815.48428421053,10544.9442842105,42755.68836,2674982.81008,1783677.93681,307021.35711,2717738.49844,2717738.49844,4501416.43525,4808437.79236,76771.6297521049,2498860.67481364,2145022.30838546,434817.361280996,2575632.30456575,2575632.30456575,4720654.61295121,5155471.9742322,10927.8696777049,128685.116513811,152297.317381327,29549.169895796,139612.986191516,139612.986191516,291910.303572844,321459.47346864,6403.79535049181,65736.9790240832,83568.1796833526,20901.9262817659,72140.774374575,72140.774374575,155708.954057928,176610.880339694,4703.1257196,64058.7988729684,40667.856959268,101317.0478463,68761.9245925684,68761.9245925684,109429.781551836,210746.829398136,FALSE,FALSE,TRUE,FALSE
1926,2909,96690,103527,17787,99599,99599,203126,220913,5235.91944140113,90592.3967515324,126343.131365663,21334.547693475,95828.3161929336,95828.3161929336,222171.447558597,243505.995252072,621,5284,8659,1666,5905,5905,14564,16230,467,2374,4989,1254,2841,2841,7830,9084,329.637102957224,2305.63234463601,2401.71696664619,4917.13692336875,2635.26944759324,2635.26944759324,5036.98641423942,9954.12333760817,45166.57236,2757718.61128,1849241.41857,314577.22352,2802885.18364,2802885.18364,4652126.60221,4966703.82573,81295.4741564713,2583807.41092319,2256792.44519028,377318.422357249,2665102.88507966,2665102.88507966,4921895.33026994,5299213.75262719,9641.9530545067,150706.227552007,154670.582972535,29464.5333324518,160348.180606513,160348.180606513,315018.763579048,344483.2969115,7250.87290894466,67709.4216897168,89115.5489606164,22177.9860737662,74960.2945986615,74960.2945986615,164075.843559278,186253.829633044,5118.10865014033,65759.4914424643,42900.4461677092,86963.4722561992,70877.6000926046,70877.6000926046,113778.046260314,200741.518516513,FALSE,FALSE,TRUE,FALSE
1927,3064,98545,105764,18109,101609,101609,207373,225482,5553.47827010262,92610.2513491099,131081.701662184,18666.8099592461,98163.7296192125,98163.7296192125,229245.431281396,247912.241240642,638,5276,8220,1679,5914,5914,14134,15813,500,2445,5166,1285,2945,2945,8111,9396,351.105590721616,2360.38517159756,2507.38166657518,4246.95248981153,2711.49076231918,2711.49076231918,5218.87242889436,9465.82491870589,47296.18656,2838757.26784,1903877.65337,321777.05434,2886053.4544,2886053.4544,4789931.10777,5111708.16211,85724.0027153001,2667796.68267061,2359626.36209244,331688.725087569,2753520.68538591,2753520.68538591,5113147.04747834,5444835.77256591,9848.22683592689,151984.203613819,147969.765805959,29833.9872017704,161832.430449746,161832.430449746,309802.196255705,339636.183457475,7718.04610966057,70432.4067164118,92994.1374882703,22833.0396392346,78150.4528260724,78150.4528260724,171144.590314343,193977.629953577,5419.69827709809,67994.9318663996,45135.8489038057,75463.6844714497,73414.6301434977,73414.6301434977,118550.479047303,194014.163518753,FALSE,FALSE,TRUE,FALSE
1928,3182,101325,108504,18860,104507,104507,213011,231871,5827.82303349342,95401.1533234459,136428.530852305,16955.9789547382,101228.976356939,101228.976356939,237657.507209244,254613.486163983,646,5157,8138,1919,5803,5803,13941,15860,528,2492,5284,1317,3020,3020,8304,9621,370.130216678102,2439.03117090394,2618.17409902663,3759.24473868456,2809.16138758205,2809.16138758205,5427.33548660868,9186.58022529324,49131.13716,2916543.06384,1955782.07643,332814.15763,2965674.201,2965674.201,4921456.27743,5254270.43506,89983.5238223673,2746030.81182169,2459121.09557819,299214.732376098,2836014.33564406,2836014.33564406,5295135.43122224,5594350.16359834,9974.45462142049,148439.305010835,146687.260727598,33863.752306043,158413.759632256,158413.759632256,305101.020359854,338964.772665897,8152.49541812697,71729.8328654259,95243.9771055087,23240.5220359867,79882.3282835529,79882.3282835529,175126.305389062,198366.827425048,5714.93351435334,70205.1758597528,47192.5272418487,66337.7450175139,75920.1093741061,75920.1093741061,123112.636615955,189450.381633469,FALSE,FALSE,TRUE,FALSE
1929,3318,100283,108131,18712,103601,103601,211732,230444,6125.59142418228,94752.5819061068,137935.056299612,15093.463055903,100878.173330289,100878.173330289,238813.229629901,253906.692685804,692,5488,8642,2291,6180,6180,14822,17113,552,2558,5423,1361,3110,3110,8533,9894,388.113673155877,2412.55626773262,2638.6338020329,3200.61576397576,2800.66994088849,2800.66994088849,5439.3037429214,8639.91950689716,51284.8602,3003804.58408,2015491.67589,349864.30644,3055089.44428,3055089.44428,5070581.12017,5420445.42661,94680.5605278803,2838150.43310411,2571019.94604033,282207.352705819,2932830.99363199,2932830.99363199,5503850.93967232,5786058.29237814,10695.9382936709,164383.590014569,161081.272373708,42835.5668049401,175079.52830824,175079.52830824,336160.800681948,378996.367486888,8532.02014177215,76620.485287403,101081.201120414,25447.0564912805,85152.5054291752,85152.5054291752,186233.706549589,211680.76304087,5998.90158815782,72263.9687321497,49182.4219115637,59842.9464752197,78262.8703203075,78262.8703203075,127445.292231871,187288.238707091,FALSE,FALSE,TRUE,FALSE
1930,3315,95051,103608,17292,98366,98366,201974,219266,6231.41341051602,90134.8902283541,134363.719160976,12611.9793510948,96366.3036388702,96366.3036388702,230730.022799846,243342.002150941,615,4539,7314,1687,5154,5154,12468,14155,559,2486,5306,1314,3045,3045,8351,9665,401.17238646543,2313.40243860417,2592.85141144849,2731.24483777371,2714.5748250696,2714.5748250696,5307.42623651809,8038.6710742918,52158.13596,3068720.36656,2054712.6873,357341.05383,3120878.50252,3120878.50252,5175591.18982,5532932.24365,98044.9194234274,2910003.82301502,2664647.8888973,260627.919974695,3008048.74243844,3008048.74243844,5672696.63133575,5933324.55131044,9676.3962640724,146541.559203121,145048.34177778,34862.0378100399,156217.955467193,156217.955467193,301266.297244973,336128.335055013,8795.29351482353,80260.4794401759,105226.483657766,27153.9523902741,89055.7729549994,89055.7729549994,194282.256612765,221436.209003039,6312.03736852536,74688.1692922134,51420.3989208066,56441.4705411638,81000.2066607387,81000.2066607387,132420.605581545,188862.076122709,FALSE,FALSE,TRUE,FALSE
1931,3023,84045,92855,15320,87068,87068,179923,195243,5947.62403576407,79959.4424907272,122965.755975001,10096.7450101953,85907.0665264913,85907.0665264913,208872.822501493,218969.567511688,374,2704,4832,1093,3078,3078,7910,9003,533,2315,4959,1216,2848,2848,7807,9023,398.116002554577,2087.98493218182,2410.89297908166,2250.93625254883,2486.10093473639,2486.10093473639,4896.99391381805,7147.93016636688,49632.06528,3082438.9524,2052566.26379,354769.68568,3132071.01768,3132071.01768,5184637.28147,5539406.96715,97648.9792933972,2932596.82486293,2718166.62878382,233813.254155229,3030245.80415633,3030245.80415633,5748412.43294014,5982225.68709537,6140.38783153159,99172.0498219954,106811.697664458,25310.9181754726,105312.437653527,105312.437653527,212124.135317985,237435.053493458,8750.87356739663,84905.0648439051,109619.041539331,28159.2648685953,93655.9384113017,93655.9384113017,203274.979950633,231434.244819228,6536.32796156183,76579.0479740794,53292.9577779461,52125.583994939,83115.3759356412,83115.3759356412,136408.333713587,188533.917708526,FALSE,FALSE,TRUE,FALSE
1932,2880,78572,86520,14024,81452,81452,167972,181996,5988.00325683955,74751.4349875173,117039.289028529,8283.12131763086,80739.4382443569,80739.4382443569,197778.727272886,206061.848590517,238,1438,2965,677,1676,1676,4641,5318,480,2028,4403,1089,2508,2508,6911,8000,410.714518345682,1981.44418885182,2328.04671486794,1901.53032940772,2392.1587071975,2392.1587071975,4720.20542206544,6621.73575147316,45648.74916,3060234.64336,2020369.91114,344879.80818,3105883.39252,3105883.39252,5126253.30366,5471133.11184,94911.409250254,2911430.67491821,2733040.42966318,203699.464571891,3006342.08416846,3006342.08416846,5739382.51383164,5943081.97840353,3772.36190975,56007.4507095617,69237.1334550405,16648.8612477082,59779.8126193117,59779.8126193117,129016.946074352,145665.80732206,7608.12486,78986.8637266976,102816.559393775,26780.8122581303,86594.9885866976,86594.9885866976,189411.547980473,216192.360238603,6509.93195289314,77173.6006542877,54363.3325756763,46762.6508310457,83683.5326071808,83683.5326071808,138046.865182857,184809.516013903,FALSE,FALSE,TRUE,FALSE
1933,2650,80518,86161,15603,83168,83168,169329,184932,5817.5610643332,76561.0904334882,118940.712892199,8330.14484765157,82378.6514978214,82378.6514978214,201319.364390021,209649.509237672,213,1127,2365,859,1340,1340,3705,4564,454,1999,4094,1046,2453,2453,6547,7593,400.325790309514,2038.75920090509,2379.09618147345,1867.78621191289,2439.0849912146,2439.0849912146,4818.18117268805,6685.96738460095,41885.09136,3025867.4644,1979587.86445,340330.46453,3067752.55576,3067752.55576,5047340.42021,5387670.88474,91950.5949705566,2877166.75254823,2732716.5635314,181695.960110456,2969117.34751878,2969117.34751878,5701833.91105019,5883529.87116064,3366.61300365283,42352.6743383939,54336.9424614878,18736.388452943,45719.2873420467,45719.2873420467,100056.229803535,118792.618256478,7175.78546318491,75122.4454325194,94061.4978593366,22815.2064281472,82298.2308957043,82298.2308957043,176359.728755041,199174.935183188,6327.42728335027,76616.5967083738,54660.8085932636,40739.8929143782,82944.0239917241,82944.0239917241,137604.832584988,178344.725499366,FALSE,FALSE,TRUE,FALSE
1934,2385,81600,86811,16296,83985,83985,170796,187092,5441.47150891355,77532.7679891194,121952.502943037,8087.34701955723,82974.2394980329,82974.2394980329,204926.74244107,213014.089460627,286,1279,2856,1098,1565,1565,4421,5519,423,2047,4081,1169,2470,2470,6551,7720,368.247964922396,2060.91264835458,2430.54087638851,1747.33675488931,2429.16061327697,2429.16061327697,4859.70148966548,6607.03824455479,39701.90196,2997864.57784,1952074.61764,338906.32217,3037566.4798,3037566.4798,4989641.09744,5328547.41961,90581.4542410981,2848440.42618221,2742283.64553766,168191.766968008,2939021.8804233,2939021.8804233,5681305.52596097,5849497.29292897,4760.89893524528,46988.5881747226,64221.413276887,22834.9988796429,51749.4871099678,51749.4871099678,115970.900386855,138805.899266498,7041.46940422642,75203.784201452,91767.3625990812,24311.5789529167,82245.2536056784,82245.2536056784,174012.61620476,198324.195157676,6130.03966470377,75714.9145407428,54654.3312706281,36339.1920220912,81844.9542054465,81844.9542054465,136499.285476075,172838.477498166,FALSE,FALSE,TRUE,FALSE
