"year","VAcorp","GVAcorp","DEPCcorp","NOScorp","ECcorp","Pcorp","GVAcorpnipa","VAcorpnipa","NOScorpnipa","Pcorpnipa","Tcorp","CorpImpIntAdj","KGCcorp","KNCcorp","KNCcorpbea","KNRcorpbea","IGCcorpbea","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","exploit_rate","profit_share","rcorp","R_obs","R_net","Py","uK","y_ext","k_ext","vintage"
1947,117183,126979,9796,23522,82136,23178,127503,117707,24046,23178,11525,-524,445528.930228945,167161.929090606,199192,1340214.16396,17308,9816,0.0513127696005001,0.0587401037646087,14.862699213045,0.286378689003604,0.197793195258698,NA,0.285007305664189,0.759616742225884,11.426,NA,9.2356006341073,10.5711260022678,"current"
1948,133941,145429,11488,30081,91111,30132,146063,134575,30715,30132,12749,-634,475479.704150553,185932.060410304,218012,1392137.31691,19456,11506,0.0548216171377721,0.0577633639905217,15.6602367706011,0.330157719704536,0.22496472327368,0.180256354804734,0.305857429308807,0.782162041764479,12.067,NA,9.31468022937427,10.5816050227907,"current"
1949,129810,142222,12412,27641,88798,27933,143022,130610,28441,27933,13371,-800,477130.565790762,192074.575991412,222118,1426155.93436,17762,12432,0.0573379531479729,0.0570243839788636,15.5745942395617,0.311279533322823,0.215183730067021,0.150232294195843,0.298077738457798,0.740451979476758,12.046,NA,9.28509446726551,10.5868128006255,"current"
1950,147945,161233,13288,34470,98654,34790,162114,148826,35351,34790,14821,-881,525508.674038827,217707.871037431,249086,1465068.45818,19541,13307,0.0548809655331227,0.059909597601275,17.0016628649169,0.349402963894013,0.235154956233736,0.18112756371023,0.306813203977842,0.74059334295855,12.195,NA,9.40356983038832,10.6710959437535,"current"
1951,169633,184769,15136,39227,114553,39454,185791,170655,40249,39454,15853,-1022,560380.002323676,239246.428899763,270446,1512694.52261,23560,15158,0.0578701564156298,0.0608544839934802,17.8784279282887,0.342435379256763,0.232584461749777,0.181224499656315,0.329720902305285,0.77229574898864,13.06,NA,9.471838435036,10.6668162843127,"current"
1952,177641,193757,16116,37295,123015,37777,195027,178911,38565,37777,17331,-1270,583305.362533326,256193.594997154,286492,1562946.58558,25179,16140,0.05820816827104,0.0596791965863795,18.330248944092,0.303174409624842,0.212659239702546,0.157899953507049,0.332170784713007,0.756291350695759,13.286,NA,9.5008090895099,10.689755256896,"current"
1953,190268,207568,17300,37815,133985,38496,209184,191884,39431,38496,18468,-1616,602959.96348936,272415.369033573,301404,1620241.09918,27907,17321,0.0595743699943508,0.0604589307903886,18.6024166497529,0.282233085793186,0.202325141379528,0.150261367777081,0.344248395529934,0.761954073062664,13.447,NA,9.5574328507589,10.7108500451233,"current"
1954,186595,204935,18340,36446,132212,37498,206865,188525,38376,37498,17937,-1930,613935.944657099,283580.751695865,310857,1668702.7086,27377,18362,0.060835720815478,0.0609215537949065,18.628662756879,0.275663328593471,0.200959296872907,0.137650089761928,0.333805182419254,0.722668935653959,13.572,NA,9.52868692483037,10.7196370301024,"current"
1955,211180,230740,19560,46737,144625,47814,233051,213491,49048,47814,19818,-2311,665507.35717965,314433.564836525,342231,1724684.22293,30232,19585,0.0591472897634431,0.0630032458654623,19.8431107242691,0.323159896283492,0.22641348612558,0.168608058600817,0.346712921368521,0.733827510176792,13.801,NA,9.6357250760546,10.7835639185662,"current"
1956,225063,247151,22088,45370,158175,46825,250053,227965,48272,46825,21518,-2902,726735.713570105,352017.97260962,380295,1795705.54708,36751,22116,0.0605496308109834,0.0646230177862321,21.1780266880836,0.286834202623676,0.208052856311344,0.148918580064264,0.340083740739622,0.702097674638008,14.271,NA,9.66590613587562,10.8380886541394,"current"
