"year","KNC","KNR","KGC","KGR","IG_cc","IG_R","DEP","pK","z","rho","Ret_R","sfc_max_resid","account"
1925,97064,1696791.81474,12187.1160111919,213044.98777175,7140,124815.519216636,7140,5.72044249369939,0.0735597131789335,0.0524016283524288,4879.0373213905,3.72529029846191e-09,"NF_corp"
1926,99885,1749821.83662,19050.1956994746,333728.271780799,7262,127218.362892671,4441,5.70829543383345,0.0458506789127792,0.0306746427220506,6535.07888362207,3.72529029846191e-09,"NF_corp"
1927,101334,1793563.1604,25237.4172411429,446690.171387271,6842,121100.115888614,5393,5.64987072868962,0.0545504173057406,0.0243857562283101,8138.21628214178,3.72529029846191e-09,"NF_corp"
1928,103575,1837304.48418,31627.7553908097,561040.953937561,7007,124296.33136036,4766,5.63733452412631,0.0471371755412551,0.0222649824131615,9945.54881006967,3.72529029846191e-09,"NF_corp"
1929,102600,1891178.93316,37550.5906607121,692152.884846524,7769,143202.428184406,8744,5.4251873369044,0.0877231614031146,0.0215501153535916,12090.4972754435,3.72529029846191e-09,"NF_corp"
1930,97578,1924280.47548,40798.7522910525,804569.087884741,6446,127117.915359447,11468,5.07088240219554,0.119583572566569,0.0212405563035237,14701.7123212289,3.72529029846191e-09,"NF_corp"
1931,87862,1918200.60036,40223.4511504233,878157.202718959,4175,91148.4772313742,13891,4.58043856223955,0.157600675883979,0.0218257980098687,17560.3623971567,3.72529029846191e-09,"NF_corp"
1932,82123,1890165.62064,39819.2302004044,916490.385947353,2552,58737.5359384494,8291,4.34475154469234,0.099482787637869,0.0232354214562935,20404.3527100548,3.72529029846191e-09,"NF_corp"
1933,82685,1859597.35962,42105.4840902302,946958.300050964,2380,53526.5370489883,1818,4.44639263291363,0.021631478751722,0.0251596997621995,23058.6229453778,3.72529029846191e-09,"NF_corp"
1934,83912,1840682.19258,44958.4354985846,986202.112075761,2956,64842.4130191925,1729,4.55874459688146,0.020395333481987,0.0270324479895445,25598.6009943952,3.72529029846191e-09,"NF_corp"
1935,83436,1829704.64028,47115.4706402907,1033215.82122245,3428,75174.1155721732,3904,4.5600802535666,0.046511303634066,0.0285543967921706,28160.406425488,3.72529029846191e-09,"NF_corp"
1936,91866,1837642.25502,54534.9422243367,1090890.14658868,4422,88455.5118509398,-4008,4.99912318347295,-0.0438180336995967,0.0297916329313357,30781.1864847077,3.72529029846191e-09,"NF_corp"
1937,95067,1861792.87008,59714.1396997445,1169442.1780002,5723,112079.276672955,2522,5.10620711507586,0.0268773029959792,0.030733841868747,33527.2452614306,3.72529029846191e-09,"NF_corp"
1938,93989,1863481.72428,61606.9520450536,1221456.0131989,4467,88565.3944861501,5545,5.04373070985254,0.0590497817264569,0.0312555507019206,36551.5592874498,3.72529029846191e-09,"NF_corp"
1939,94830,1868717.1723,64808.8873985036,1277122.01623158,4824,95061.6011723632,3983,5.07460419402494,0.0421194793862446,0.0322529814532676,39395.5981396865,3.72529029846191e-09,"NF_corp"
1940,100547,1888983.4227,71706.4121389663,1347153.30971388,5979,112327.885310584,262,5.32281007825279,0.00263400590545585,0.033118677221688,42296.5918282851,3.72529029846191e-09,"NF_corp"
1941,112617,1920733.88166,83664.1480143753,1426929.89310164,7339,125169.965080785,-4731,5.86322764831276,-0.0427157508538014,0.0336957801058744,45393.3816930198,3.72529029846191e-09,"NF_corp"
1942,120147,1918369.48578,92303.4839863076,1473796.15895957,5984,95545.6482717631,-1546,6.2629749321283,-0.0128517307644599,0.0341147681110155,48679.3824138387,3.72529029846191e-09,"NF_corp"
1943,121044,1903338.6834,95657.4030573604,1504150.8508696,5216,82018.229508397,4319,6.35956180871472,0.0354016703446049,0.035054737579748,51663.5375983682,3.72529029846191e-09,"NF_corp"
1944,122510,1906209.73554,99818.751722149,1553142.40733173,6646,103409.271915753,5180,6.42688984931109,0.0423460424830322,0.0361783629761313,54417.7154536171,3.72529029846191e-09,"NF_corp"
1945,134003,1936102.45488,112551.061780498,1626160.51142565,9022,130351.681290175,-2471,6.92127628175057,-0.0187290554947323,0.0369145655450561,57333.5771962535,3.72529029846191e-09,"NF_corp"
1946,161715,1992172.41432,140052.308933832,1725309.0091816,12964,159703.943228794,-14748,8.11752029280052,-0.0938385763432126,0.0372382953880508,60555.4454728523,3.72529029846191e-09,"NF_corp"
1947,192728,2075432.92638,171085.155595539,1842367.30074419,16831,181248.244074041,-14182,9.28615892859322,-0.0766609941191812,0.0372049019450107,64189.9525114449,3.72529029846191e-09,"NF_corp"
1948,211040,2156329.04256,192552.448364779,1967430.04465981,18915,193266.507960682,603,9.78700355254932,0.00296864908310353,0.0370196344765299,68203.764045061,3.72529029846191e-09,"NF_corp"
1949,215670,2209190.17902,202194.530665119,2071155.80005072,17205,176237.385960213,12575,9.76240081311929,0.0597360259594365,0.0368560146604084,72511.6305693101,3.72529029846191e-09,"NF_corp"
1950,241923,2269313.38854,231543.492069792,2171950.35851608,18927,177541.178411712,-7326,10.6606254218438,-0.0311064984215169,0.0370549718879053,76746.6199463513,3.72529029846191e-09,"NF_corp"
1951,262117,2342947.43166,256708.234506678,2294600.87946754,22791,203718.62532748,2597,11.1874895893113,0.0102292744316613,0.0373250263562194,81068.1043760128,3.72529029846191e-09,"NF_corp"
1952,277787,2421310.26654,277843.643963093,2421803.99954181,24435,212985.90777432,8765,11.4725900203179,0.032608280772771,0.0373846225143786,85782.7877000553,3.72529029846191e-09,"NF_corp"
