"year","gdp_nominal","gdp_real_2017","gdp_deflator","gnp_nominal","nfia"
1929,104.556,1191.11414900889,8.778,105.322,0.766000000000005
1930,92.16,1089.74813763746,8.457,92.869,0.709000000000003
1931,77.391,1020.04744958482,7.587,77.906,0.515000000000001
1932,59.522,888.388059701492,6.7,59.886,0.364000000000004
1933,57.154,877.402517654283,6.514,57.454,0.299999999999997
1934,66.8,972.202008441275,6.871,67.079,0.278999999999996
1935,74.241,1058.77067883628,7.012,74.582,0.340999999999994
1936,84.83,1195.29378610681,7.097,85.092,0.262
1937,93.003,1256.45771413132,7.402,93.372,0.369
1938,87.352,1214.90959666203,7.19,87.731,0.378999999999991
1939,93.437,1312.31741573034,7.12,93.81,0.373000000000005
1940,102.899,1428.16099930604,7.205,103.179,0.280000000000001
1941,129.309,1681.08424336973,7.692,129.725,0.415999999999997
1942,165.952,1998.45857418112,8.304,166.363,0.411000000000001
1943,203.084,2338.86905447426,8.683,203.415,0.330999999999989
1944,224.447,2524.71316085489,8.89,224.771,0.323999999999984
1945,228.007,2500.07675438597,9.12,228.272,0.264999999999986
1946,227.535,2209.9358974359,10.296,228.187,0.652000000000015
1947,249.616,2184.63154209697,11.426,250.726,1.10999999999999
1948,274.468,2274.533852656,12.067,275.924,1.45599999999996
1949,272.475,2261.95417565997,12.046,273.755,1.27999999999997
1950,299.827,2458.60598605986,12.195,301.267,1.44
1951,346.914,2656.30934150077,13.06,348.806,1.892
1952,367.341,2764.87279843444,13.286,369.326,1.98500000000001
1953,389.218,2894.45973079497,13.447,391.117,1.899
1954,390.549,2877.608311229,13.572,392.644,2.09500000000003
1955,425.478,3082.95051083255,13.801,427.927,2.44900000000001
1956,449.353,3148.71417560087,14.271,452.149,2.79599999999999
1957,474.039,3215.13157894737,14.744,477.093,3.05400000000003
1958,481.229,3191.17374005305,15.08,483.858,2.62900000000002
1959,521.654,3412.40269510041,15.287,524.415,2.76099999999997
1960,542.382,3500.36786060019,15.495,545.494,3.11200000000008
1961,562.209,3590.09578544061,15.66,565.728,3.51900000000001
1962,603.922,3810.2334384858,15.85,608.015,4.09299999999996
1963,637.45,3976.11027944112,16.032,641.927,4.47699999999998
1964,684.46,4205.33300565249,16.276,689.38,4.91999999999996
1965,742.289,4478.63521177748,16.574,747.568,5.279
1966,813.414,4773.83649275192,17.039,818.484,5.07000000000005
1967,859.959,4904.80237266868,17.533,865.352,5.39300000000003
1968,940.651,5145.7932166302,18.28,946.736,6.08500000000004
1969,1017.615,5306.71151439299,19.176,1023.73,6.11500000000001
1970,1073.303,5316.27619000446,20.189,1079.696,6.3929999999998
1971,1164.85,5491.46709409768,21.212,1172.444,7.59400000000005
1972,1279.11,5779.9819249887,22.13,1287.668,8.55799999999999
