"year","gdp_nominal","gdp_real_2017","gdp_deflator","gnp_nominal","nfia"
1973,1425.376,6106.48616228258,23.342,1437.994,12.6179999999999
1974,1545.243,6073.35219903313,25.443,1560.763,15.52
1975,1684.904,6060.80575539568,27.8,1697.908,13.0039999999999
1976,1873.412,6387.3576542789,29.33,1890.259,16.847
1977,2081.826,6682.80046224961,31.152,2102.118,20.2919999999999
1978,2351.599,7052.75170200642,33.343,2373.18,21.5809999999997
1979,2627.333,7275.91525893105,36.11,2659.264,31.931
1980,2857.307,7257.389957075,39.371,2891.492,34.1850000000004
1981,3207.041,7441.44836067476,43.097,3239.976,32.9349999999999
1982,3343.789,7307.39089578007,45.759,3380.299,36.5099999999998
1983,3634.038,7642.24007402423,47.552,3671.122,37.0839999999998
1984,4037.613,8195.37012604786,49.267,4073.903,36.29
1985,4338.979,8536.92795026168,50.826,4364.344,25.3649999999998
1986,4579.631,8832.63129472121,51.849,4596.588,16.9569999999994
1987,4855.215,9137.68020476531,53.134,4872.702,17.4870000000001
1988,5236.438,9519.41172193136,55.008,5259.095,22.6570000000002
1989,5641.58,9868.94078544564,57.165,5666.369,24.7889999999998
1990,5963.144,10055.0442627097,59.305,5997.836,34.692
1991,6158.129,10044.2488990377,61.31,6189.716,31.5870000000004
1992,6520.327,10398.0847433301,62.707,6551.404,31.0770000000002
1993,6858.559,10684.1122223261,64.194,6889.717,31.1579999999994
1994,7287.236,11114.6909889574,65.564,7310.202,22.9660000000003
1995,7639.749,11413.0013893246,66.939,7667.701,27.9520000000002
1996,8073.122,11843.6740801596,68.164,8103.991,30.8689999999997
1997,8577.552,12370.2797807903,69.34,8600.853,23.3009999999995
1998,9062.817,12924.9090831301,70.119,9080.228,17.4110000000001
1999,9631.172,13543.8567872762,71.111,9662.075,30.9030000000002
2000,10250.952,14096.08096587,72.722,10289.432,38.4800000000014
2001,10581.929,14230.6737493276,74.36,10632.293,50.3639999999996
2002,10929.108,14472.7643514534,75.515,10974.902,45.7939999999999
2003,11456.45,14877.3472196972,77.006,11514.946,58.4959999999992
2004,12217.196,15449.746449663,79.077,12293.909,76.7129999999997
2005,13039.197,15988.0290843102,81.556,13113.997,74.7999999999993
2006,13815.583,16433.2326248052,84.071,13862.043,46.4599999999991
2007,14474.228,16762.4732191456,86.349,14569.892,95.6640000000007
2008,14769.862,16781.4550123277,88.013,14915.076,145.214
2009,14478.067,16349.0525769005,88.556,14628.31,150.243
2010,15048.971,16789.7302302749,89.632,15254.604,205.633
2011,15599.732,17052.4283731048,91.481,15837.664,237.932000000001
2012,16253.97,17442.6892740248,93.185,16486.66,232.690000000001
2013,16880.683,17812.0764790917,94.771,17110.921,230.237999999998
2014,17608.138,18261.7251428631,96.421,17843.297,235.159
2015,18295.019,18799.6002712812,97.316,18515.147,220.128000000001
2016,18804.913,19141.6139900856,98.241,19036.279,231.365999999998
2017,19612.102,19612.102,100,19905.052,292.950000000001
2018,20656.516,20193.8743388959,102.291,20946.823,290.307000000001
2019,21539.982,20715.7041325652,103.979,21821.877,281.895
2020,21375.281,20284.5791776194,105.377,21586.878,211.597000000002
2021,23725.645,21532.358920371,110.186,23876.486,150.841
2022,26054.614,22075.8784304754,118.023,26206.644,152.029999999999
2023,27811.517,22723.68412452,122.39,27897.176,85.6589999999997
2024,29298.013,23358.4311318047,125.428,29289.74,-8.27299999999741
