variable_id,year,value,unit,frequency,source_dataset,source_table,source_line,source_line_description,source_vintage_or_retrieval_date,transformation_status,candidate_status,allowed_use,prohibited_use,notes
CORP__IPP__cfc_current_cost,1925,183.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1926,194.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1927,202.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1928,215.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1929,235.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1930,246.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1931,249.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1932,242.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1933,229.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1934,244.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1935,266.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1936,293.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1937,328.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1938,346.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
