variable_id,year,value,unit,frequency,source_dataset,source_table,source_line,source_line_description,source_vintage_or_retrieval_date,transformation_status,candidate_status,allowed_use,prohibited_use,notes
CORP__IPP__cfc_current_cost,1925,183.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1939,375.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1940,412.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1941,492.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1942,619.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1943,730.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1944,801.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1945,838.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1946,930.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1947,1107.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1948,1248.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1949,1298.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1950,1383.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1951,1546.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1952,1687.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1953,1922.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1954,2164.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1955,2445.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1956,2832.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1957,3267.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1958,3669.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1959,4063.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1960,4490.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1961,4916.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1962,5349.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1963,5809.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1964,6391.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1965,6985.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1966,7816.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1967,8780.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1968,9964.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1969,11363.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1970,12875.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1971,14155.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1972,15352.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1973,17038.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1974,19667.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1975,22192.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1976,24172.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1977,26549.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1978,29522.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1979,33537.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1980,38678.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1981,44537.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1982,50469.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1983,56282.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1984,63048.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
CORP__IPP__cfc_current_cost,1985,70445.0,Millions of current dollars,A,FixedAssets,FAAt404,20,Intellectual property products,2026-06-09; BEA API snapshot downloaded 2026-06-09; release vintage not separately exposed in API observation rows,source_level_staged_observation,READY_AS_BASELINE,provider source inspection; downstream source-of-truth construction if separately imported and validated,adjusted Shaikh construction; model-input panel construction; econometrics; handoff without downstream import pass,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.
