"date","year","value","series_id"
1929-01-01,1929,8.778,"A191RD3A086NBEA"
1930-01-01,1930,8.457,"A191RD3A086NBEA"
1931-01-01,1931,7.587,"A191RD3A086NBEA"
1932-01-01,1932,6.7,"A191RD3A086NBEA"
1933-01-01,1933,6.514,"A191RD3A086NBEA"
1934-01-01,1934,6.871,"A191RD3A086NBEA"
1935-01-01,1935,7.012,"A191RD3A086NBEA"
1936-01-01,1936,7.097,"A191RD3A086NBEA"
1937-01-01,1937,7.402,"A191RD3A086NBEA"
1938-01-01,1938,7.19,"A191RD3A086NBEA"
1939-01-01,1939,7.12,"A191RD3A086NBEA"
1940-01-01,1940,7.205,"A191RD3A086NBEA"
1941-01-01,1941,7.692,"A191RD3A086NBEA"
1942-01-01,1942,8.304,"A191RD3A086NBEA"
1943-01-01,1943,8.683,"A191RD3A086NBEA"
1944-01-01,1944,8.89,"A191RD3A086NBEA"
1945-01-01,1945,9.12,"A191RD3A086NBEA"
1946-01-01,1946,10.296,"A191RD3A086NBEA"
1947-01-01,1947,11.426,"A191RD3A086NBEA"
1948-01-01,1948,12.067,"A191RD3A086NBEA"
1949-01-01,1949,12.046,"A191RD3A086NBEA"
1950-01-01,1950,12.195,"A191RD3A086NBEA"
1951-01-01,1951,13.06,"A191RD3A086NBEA"
1952-01-01,1952,13.286,"A191RD3A086NBEA"
1953-01-01,1953,13.447,"A191RD3A086NBEA"
1954-01-01,1954,13.572,"A191RD3A086NBEA"
1955-01-01,1955,13.801,"A191RD3A086NBEA"
1956-01-01,1956,14.271,"A191RD3A086NBEA"
1957-01-01,1957,14.744,"A191RD3A086NBEA"
1958-01-01,1958,15.08,"A191RD3A086NBEA"
1959-01-01,1959,15.287,"A191RD3A086NBEA"
1960-01-01,1960,15.495,"A191RD3A086NBEA"
1961-01-01,1961,15.66,"A191RD3A086NBEA"
1962-01-01,1962,15.85,"A191RD3A086NBEA"
1963-01-01,1963,16.032,"A191RD3A086NBEA"
1964-01-01,1964,16.276,"A191RD3A086NBEA"
1965-01-01,1965,16.574,"A191RD3A086NBEA"
1966-01-01,1966,17.039,"A191RD3A086NBEA"
1967-01-01,1967,17.533,"A191RD3A086NBEA"
1968-01-01,1968,18.28,"A191RD3A086NBEA"
1969-01-01,1969,19.176,"A191RD3A086NBEA"
1970-01-01,1970,20.189,"A191RD3A086NBEA"
1971-01-01,1971,21.212,"A191RD3A086NBEA"
1972-01-01,1972,22.13,"A191RD3A086NBEA"
1973-01-01,1973,23.342,"A191RD3A086NBEA"
1974-01-01,1974,25.443,"A191RD3A086NBEA"
1975-01-01,1975,27.8,"A191RD3A086NBEA"
1976-01-01,1976,29.33,"A191RD3A086NBEA"
1977-01-01,1977,31.152,"A191RD3A086NBEA"
1978-01-01,1978,33.343,"A191RD3A086NBEA"
1979-01-01,1979,36.11,"A191RD3A086NBEA"
1980-01-01,1980,39.371,"A191RD3A086NBEA"
1981-01-01,1981,43.097,"A191RD3A086NBEA"
1982-01-01,1982,45.759,"A191RD3A086NBEA"
1983-01-01,1983,47.552,"A191RD3A086NBEA"
1984-01-01,1984,49.267,"A191RD3A086NBEA"
1985-01-01,1985,50.826,"A191RD3A086NBEA"
1986-01-01,1986,51.849,"A191RD3A086NBEA"
1987-01-01,1987,53.134,"A191RD3A086NBEA"
1988-01-01,1988,55.008,"A191RD3A086NBEA"
1989-01-01,1989,57.165,"A191RD3A086NBEA"
1990-01-01,1990,59.305,"A191RD3A086NBEA"
1991-01-01,1991,61.31,"A191RD3A086NBEA"
1992-01-01,1992,62.707,"A191RD3A086NBEA"
1993-01-01,1993,64.194,"A191RD3A086NBEA"
1994-01-01,1994,65.564,"A191RD3A086NBEA"
1995-01-01,1995,66.939,"A191RD3A086NBEA"
1996-01-01,1996,68.164,"A191RD3A086NBEA"
1997-01-01,1997,69.34,"A191RD3A086NBEA"
1998-01-01,1998,70.119,"A191RD3A086NBEA"
1999-01-01,1999,71.111,"A191RD3A086NBEA"
2000-01-01,2000,72.722,"A191RD3A086NBEA"
2001-01-01,2001,74.36,"A191RD3A086NBEA"
2002-01-01,2002,75.515,"A191RD3A086NBEA"
2003-01-01,2003,77.006,"A191RD3A086NBEA"
2004-01-01,2004,79.077,"A191RD3A086NBEA"
2005-01-01,2005,81.556,"A191RD3A086NBEA"
2006-01-01,2006,84.071,"A191RD3A086NBEA"
2007-01-01,2007,86.349,"A191RD3A086NBEA"
2008-01-01,2008,88.013,"A191RD3A086NBEA"
2009-01-01,2009,88.556,"A191RD3A086NBEA"
2010-01-01,2010,89.632,"A191RD3A086NBEA"
2011-01-01,2011,91.481,"A191RD3A086NBEA"
2012-01-01,2012,93.185,"A191RD3A086NBEA"
2013-01-01,2013,94.771,"A191RD3A086NBEA"
2014-01-01,2014,96.421,"A191RD3A086NBEA"
2015-01-01,2015,97.316,"A191RD3A086NBEA"
2016-01-01,2016,98.241,"A191RD3A086NBEA"
2017-01-01,2017,100,"A191RD3A086NBEA"
2018-01-01,2018,102.291,"A191RD3A086NBEA"
2019-01-01,2019,103.979,"A191RD3A086NBEA"
2020-01-01,2020,105.377,"A191RD3A086NBEA"
2021-01-01,2021,110.186,"A191RD3A086NBEA"
2022-01-01,2022,118.023,"A191RD3A086NBEA"
2023-01-01,2023,122.39,"A191RD3A086NBEA"
2024-01-01,2024,125.428,"A191RD3A086NBEA"
