"date","year","value","series_id"
1929-01-01,1929,105.322,"GNPA"
1930-01-01,1930,92.869,"GNPA"
1931-01-01,1931,77.906,"GNPA"
1932-01-01,1932,59.886,"GNPA"
1933-01-01,1933,57.454,"GNPA"
1934-01-01,1934,67.079,"GNPA"
1935-01-01,1935,74.582,"GNPA"
1936-01-01,1936,85.092,"GNPA"
1937-01-01,1937,93.372,"GNPA"
1938-01-01,1938,87.731,"GNPA"
1939-01-01,1939,93.81,"GNPA"
1940-01-01,1940,103.179,"GNPA"
1941-01-01,1941,129.725,"GNPA"
1942-01-01,1942,166.363,"GNPA"
1943-01-01,1943,203.415,"GNPA"
1944-01-01,1944,224.771,"GNPA"
1945-01-01,1945,228.272,"GNPA"
1946-01-01,1946,228.187,"GNPA"
1947-01-01,1947,250.726,"GNPA"
1948-01-01,1948,275.924,"GNPA"
1949-01-01,1949,273.755,"GNPA"
1950-01-01,1950,301.267,"GNPA"
1951-01-01,1951,348.806,"GNPA"
1952-01-01,1952,369.326,"GNPA"
1953-01-01,1953,391.117,"GNPA"
1954-01-01,1954,392.644,"GNPA"
1955-01-01,1955,427.927,"GNPA"
1956-01-01,1956,452.149,"GNPA"
1957-01-01,1957,477.093,"GNPA"
1958-01-01,1958,483.858,"GNPA"
1959-01-01,1959,524.415,"GNPA"
1960-01-01,1960,545.494,"GNPA"
1961-01-01,1961,565.728,"GNPA"
1962-01-01,1962,608.015,"GNPA"
1963-01-01,1963,641.927,"GNPA"
1964-01-01,1964,689.38,"GNPA"
1965-01-01,1965,747.568,"GNPA"
1966-01-01,1966,818.484,"GNPA"
1967-01-01,1967,865.352,"GNPA"
1968-01-01,1968,946.736,"GNPA"
1969-01-01,1969,1023.73,"GNPA"
1970-01-01,1970,1079.696,"GNPA"
1971-01-01,1971,1172.444,"GNPA"
1972-01-01,1972,1287.668,"GNPA"
1973-01-01,1973,1437.994,"GNPA"
1974-01-01,1974,1560.763,"GNPA"
1975-01-01,1975,1697.908,"GNPA"
1976-01-01,1976,1890.259,"GNPA"
1977-01-01,1977,2102.118,"GNPA"
1978-01-01,1978,2373.18,"GNPA"
1979-01-01,1979,2659.264,"GNPA"
1980-01-01,1980,2891.492,"GNPA"
1981-01-01,1981,3239.976,"GNPA"
1982-01-01,1982,3380.299,"GNPA"
1983-01-01,1983,3671.122,"GNPA"
1984-01-01,1984,4073.903,"GNPA"
1985-01-01,1985,4364.344,"GNPA"
1986-01-01,1986,4596.588,"GNPA"
1987-01-01,1987,4872.702,"GNPA"
1988-01-01,1988,5259.095,"GNPA"
1989-01-01,1989,5666.369,"GNPA"
1990-01-01,1990,5997.836,"GNPA"
1991-01-01,1991,6189.716,"GNPA"
1992-01-01,1992,6551.404,"GNPA"
1993-01-01,1993,6889.717,"GNPA"
1994-01-01,1994,7310.202,"GNPA"
1995-01-01,1995,7667.701,"GNPA"
1996-01-01,1996,8103.991,"GNPA"
1997-01-01,1997,8600.853,"GNPA"
1998-01-01,1998,9080.228,"GNPA"
1999-01-01,1999,9662.075,"GNPA"
2000-01-01,2000,10289.432,"GNPA"
2001-01-01,2001,10632.293,"GNPA"
2002-01-01,2002,10974.902,"GNPA"
2003-01-01,2003,11514.946,"GNPA"
2004-01-01,2004,12293.909,"GNPA"
2005-01-01,2005,13113.997,"GNPA"
2006-01-01,2006,13862.043,"GNPA"
2007-01-01,2007,14569.892,"GNPA"
2008-01-01,2008,14915.076,"GNPA"
2009-01-01,2009,14628.31,"GNPA"
2010-01-01,2010,15254.604,"GNPA"
2011-01-01,2011,15837.664,"GNPA"
2012-01-01,2012,16486.66,"GNPA"
2013-01-01,2013,17110.921,"GNPA"
2014-01-01,2014,17843.297,"GNPA"
2015-01-01,2015,18515.147,"GNPA"
2016-01-01,2016,19036.279,"GNPA"
2017-01-01,2017,19905.052,"GNPA"
2018-01-01,2018,20946.823,"GNPA"
2019-01-01,2019,21821.877,"GNPA"
2020-01-01,2020,21586.878,"GNPA"
2021-01-01,2021,23876.486,"GNPA"
2022-01-01,2022,26206.644,"GNPA"
2023-01-01,2023,27897.176,"GNPA"
2024-01-01,2024,29289.74,"GNPA"
