"date","year","value","series_id"
1929-01-01,1929,104.556,"GDPA"
1930-01-01,1930,92.16,"GDPA"
1931-01-01,1931,77.391,"GDPA"
1932-01-01,1932,59.522,"GDPA"
1933-01-01,1933,57.154,"GDPA"
1934-01-01,1934,66.8,"GDPA"
1935-01-01,1935,74.241,"GDPA"
1936-01-01,1936,84.83,"GDPA"
1937-01-01,1937,93.003,"GDPA"
1938-01-01,1938,87.352,"GDPA"
1939-01-01,1939,93.437,"GDPA"
1940-01-01,1940,102.899,"GDPA"
1941-01-01,1941,129.309,"GDPA"
1942-01-01,1942,165.952,"GDPA"
1943-01-01,1943,203.084,"GDPA"
1944-01-01,1944,224.447,"GDPA"
1945-01-01,1945,228.007,"GDPA"
1946-01-01,1946,227.535,"GDPA"
1947-01-01,1947,249.616,"GDPA"
1948-01-01,1948,274.468,"GDPA"
1949-01-01,1949,272.475,"GDPA"
1950-01-01,1950,299.827,"GDPA"
1951-01-01,1951,346.914,"GDPA"
1952-01-01,1952,367.341,"GDPA"
1953-01-01,1953,389.218,"GDPA"
1954-01-01,1954,390.549,"GDPA"
1955-01-01,1955,425.478,"GDPA"
1956-01-01,1956,449.353,"GDPA"
1957-01-01,1957,474.039,"GDPA"
1958-01-01,1958,481.229,"GDPA"
1959-01-01,1959,521.654,"GDPA"
1960-01-01,1960,542.382,"GDPA"
1961-01-01,1961,562.209,"GDPA"
1962-01-01,1962,603.922,"GDPA"
1963-01-01,1963,637.45,"GDPA"
1964-01-01,1964,684.46,"GDPA"
1965-01-01,1965,742.289,"GDPA"
1966-01-01,1966,813.414,"GDPA"
1967-01-01,1967,859.959,"GDPA"
1968-01-01,1968,940.651,"GDPA"
1969-01-01,1969,1017.615,"GDPA"
1970-01-01,1970,1073.303,"GDPA"
1971-01-01,1971,1164.85,"GDPA"
1972-01-01,1972,1279.11,"GDPA"
1973-01-01,1973,1425.376,"GDPA"
1974-01-01,1974,1545.243,"GDPA"
1975-01-01,1975,1684.904,"GDPA"
1976-01-01,1976,1873.412,"GDPA"
1977-01-01,1977,2081.826,"GDPA"
1978-01-01,1978,2351.599,"GDPA"
1979-01-01,1979,2627.333,"GDPA"
1980-01-01,1980,2857.307,"GDPA"
1981-01-01,1981,3207.041,"GDPA"
1982-01-01,1982,3343.789,"GDPA"
1983-01-01,1983,3634.038,"GDPA"
1984-01-01,1984,4037.613,"GDPA"
1985-01-01,1985,4338.979,"GDPA"
1986-01-01,1986,4579.631,"GDPA"
1987-01-01,1987,4855.215,"GDPA"
1988-01-01,1988,5236.438,"GDPA"
1989-01-01,1989,5641.58,"GDPA"
1990-01-01,1990,5963.144,"GDPA"
1991-01-01,1991,6158.129,"GDPA"
1992-01-01,1992,6520.327,"GDPA"
1993-01-01,1993,6858.559,"GDPA"
1994-01-01,1994,7287.236,"GDPA"
1995-01-01,1995,7639.749,"GDPA"
1996-01-01,1996,8073.122,"GDPA"
1997-01-01,1997,8577.552,"GDPA"
1998-01-01,1998,9062.817,"GDPA"
1999-01-01,1999,9631.172,"GDPA"
2000-01-01,2000,10250.952,"GDPA"
2001-01-01,2001,10581.929,"GDPA"
2002-01-01,2002,10929.108,"GDPA"
2003-01-01,2003,11456.45,"GDPA"
2004-01-01,2004,12217.196,"GDPA"
2005-01-01,2005,13039.197,"GDPA"
2006-01-01,2006,13815.583,"GDPA"
2007-01-01,2007,14474.228,"GDPA"
2008-01-01,2008,14769.862,"GDPA"
2009-01-01,2009,14478.067,"GDPA"
2010-01-01,2010,15048.971,"GDPA"
2011-01-01,2011,15599.732,"GDPA"
2012-01-01,2012,16253.97,"GDPA"
2013-01-01,2013,16880.683,"GDPA"
2014-01-01,2014,17608.138,"GDPA"
2015-01-01,2015,18295.019,"GDPA"
2016-01-01,2016,18804.913,"GDPA"
2017-01-01,2017,19612.102,"GDPA"
2018-01-01,2018,20656.516,"GDPA"
2019-01-01,2019,21539.982,"GDPA"
2020-01-01,2020,21375.281,"GDPA"
2021-01-01,2021,23725.645,"GDPA"
2022-01-01,2022,26054.614,"GDPA"
2023-01-01,2023,27811.517,"GDPA"
2024-01-01,2024,29298.013,"GDPA"
